date,network,time,program,episode,source,archive_url
1979-01-01,,,"TV Guide - 1979-06-23 - Los Angeles, CA Edition",,Internet Archive,https://archive.org/details/tv-guide-1979-06-23-los-angeles-ca
1979-01-01,,,TV Guide 1979-04-21 St Louis Edition,,Internet Archive,https://archive.org/details/tv-guide-1979-04-21-st-louis
1979-01-01,,,TV Guide North Texas 1979 07 07-13,,Internet Archive,https://archive.org/details/tv-guide-north-texas-1979-07-07-13_202310
1979-01-01,,,Weekly Reader Books presents A kid's TV guide : a children's book about watching TV intelligently,,Internet Archive,https://archive.org/details/weeklyreaderboo00berr
1980-01-01,,,CIA Reading Room nsa-rdp96x00790r000100030058-2: TV GUIDE ARTICLE ON BREZHNEV,,Internet Archive,https://archive.org/details/cia-readingroom-document-nsa-rdp96x00790r000100030058-2
1980-01-01,,,TV Guide - Apr 26 - May 02 - 1980,,Internet Archive,https://archive.org/details/tvguideapril26may021980
1980-01-01,,,TV Guide - Aug 9 - 15 -1980,,Internet Archive,https://archive.org/details/tvguideaug091980
1980-01-01,,,TV Guide - Dec 27 - Jan 2 -1981,,Internet Archive,https://archive.org/details/tvguidedec271980jan21981
1980-01-01,,,TV Guide - Feb 16 - Feb 22 - 1980,,Internet Archive,https://archive.org/details/tvguidefeb16221980_201907
1980-01-01,,,TV Guide - Feb 23 - Feb 29 - 1980,,Internet Archive,https://archive.org/details/tvguidefeb23291980
1980-01-01,,,TV Guide - Jan 05 - Jan 11 - 1980,,Internet Archive,https://archive.org/details/tvguide0105111980
1980-01-01,,,TV Guide - Jan 12 - Jan 18 - 1980,,Internet Archive,https://archive.org/details/tvguidejan12181980
1980-01-01,,,TV Guide - Jan 19 - Jan 25 - 1980,,Internet Archive,https://archive.org/details/tvguidejan19251980
1980-01-01,,,TV Guide - Jan 26 - Feb 01 - 1980,,Internet Archive,https://archive.org/details/tvguidejan26feb011980
