week_date,top_song,top_artist,tv_programs,magazine_titles,radio_top_tracks
1970-03-23,Bridge Over Troubled Water,Simon,,,
1970-03-30,Bridge Over Troubled Water,Simon,,,
1970-04-06,Let It Be,The Beatles,,,
1970-04-13,Let It Be,The Beatles,,,
1970-04-20,ABC,Jackson 5,,,
1970-04-27,ABC,Jackson 5,"TV Guide May 2, 1970 North Texas edition, David Wade, Isaac Asimov","TV Guide May 2, 1970 North Texas edition, David Wade, Isaac Asimov",
1970-05-04,American Woman/No Sugar Tonight,The Guess Who,,,
1970-05-11,American Woman/No Sugar Tonight,The Guess Who,,,
1970-05-18,American Woman/No Sugar Tonight,The Guess Who,,,
1970-05-25,Everything Is Beautiful,Ray Stevens,,,
1970-06-01,Everything Is Beautiful,Ray Stevens,,,
1970-06-08,The Long And Winding Road/For You Blue,The Beatles,,,
1970-06-15,The Long And Winding Road/For You Blue,The Beatles,,,
1970-06-22,The Love You Save/I Found That Girl,Jackson 5,,,
1970-06-29,The Love You Save/I Found That Girl,Jackson 5,,,
1970-07-06,Mama Told Me (Not To Come),Three Dog Night,,,
1970-07-13,Mama Told Me (Not To Come),Three Dog Night,,,
1970-07-20,(They Long To Be) Close To You,Carpenters,,,
1970-07-27,(They Long To Be) Close To You,Carpenters,,,
1970-08-03,(They Long To Be) Close To You,Carpenters,,,
1970-08-10,(They Long To Be) Close To You,Carpenters,,,
1970-08-17,Make It With You,Bread,,,
1970-08-24,War,Edwin Starr,,,
1970-08-31,War,Edwin Starr,,,
1970-09-07,War,Edwin Starr,,,
1970-09-14,Ain't No Mountain High Enough,Diana Ross,,,
1970-09-21,Ain't No Mountain High Enough,Diana Ross,,,
1970-09-28,Ain't No Mountain High Enough,Diana Ross,,,
1970-10-05,Cracklin' Rosie,Neil Diamond,,,
1970-10-12,I'll Be There,Jackson 5,,,
1970-10-19,I'll Be There,Jackson 5,,,
1970-10-26,I'll Be There,Jackson 5,,,
1970-11-02,I'll Be There,Jackson 5,,,
1970-11-09,I'll Be There,Jackson 5,,,
1970-11-16,I Think I Love You,The Partridge Family Starring Shirley Jones,,,
1970-11-23,I Think I Love You,The Partridge Family Starring Shirley Jones,,,
1970-11-30,I Think I Love You,The Partridge Family Starring Shirley Jones,,,
1970-12-07,The Tears Of A Clown,Smokey Robinson,,,
1970-12-14,The Tears Of A Clown,Smokey Robinson,,,
1970-12-21,My Sweet Lord/Isn't It A Pity,George Harrison,,,
1970-12-28,My Sweet Lord/Isn't It A Pity,George Harrison,TV Guide (TVガイド) 1971 Nov 19 -- Full Scan,"A CRIME AGAINST THE PEOPLE; A good life for more people; All male or female persons seventeen years of age or over listed in the City of Everett, January 1, 1971; Alpha Land - The Letter People (1971); Billboard",
1971-01-04,My Sweet Lord/Isn't It A Pity,George Harrison,,,
1971-01-11,My Sweet Lord/Isn't It A Pity,George Harrison,,,
1971-01-18,Knock Three Times,Dawn,,,
1971-01-25,Knock Three Times,Dawn,,,
1971-02-01,Knock Three Times,Dawn,,,
1971-02-08,One Bad Apple,The Osmonds,,,
1971-02-15,One Bad Apple,The Osmonds,,,
1971-02-22,One Bad Apple,The Osmonds,,,
1971-03-01,One Bad Apple,The Osmonds,,,
1971-03-08,One Bad Apple,The Osmonds,,,
1971-03-15,Me And Bobby McGee,Janis Joplin,,,
1971-03-22,Me And Bobby McGee,Janis Joplin,,,
1971-03-29,Just My Imagination (Running Away With Me),The Temptations,,,
