week_date,top_song,top_artist,tv_programs,magazine_titles,radio_top_tracks
1975-06-30,Love Will Keep Us Together,The Captain,,,
1975-07-07,Love Will Keep Us Together,The Captain,,,
1975-07-14,Listen To What The Man Said,Wings,,,
1975-07-21,The Hustle,Van Mccoy,,,
1975-07-28,One Of These Nights,Eagles,,,
1975-08-04,Jive Talkin',Bee Gees,,,
1975-08-11,Jive Talkin',Bee Gees,,,
1975-08-18,Fallin' In Love,"Hamilton, Joe Frank",,,
1975-08-25,Get Down Tonight,Kc And The Sunshine Band,,,
1975-09-01,Rhinestone Cowboy,Glen Campbell,,,
1975-09-08,Rhinestone Cowboy,Glen Campbell,,,
1975-09-15,Fame,David Bowie,,,
1975-09-22,I'm Sorry,John Denver,,,
1975-09-29,Fame,David Bowie,,,
1975-10-06,Bad Blood,Neil Sedaka,,,
1975-10-13,Bad Blood,Neil Sedaka,,,
1975-10-20,Bad Blood,Neil Sedaka,,,
1975-10-27,Island Girl,Elton John,,,
1975-11-03,Island Girl,Elton John,,,
1975-11-10,Island Girl,Elton John,,,
1975-11-17,That's The Way (I Like It),Kc And The Sunshine Band,,,
1975-11-24,"Fly, Robin, Fly",Silver Convention,,,
1975-12-01,"Fly, Robin, Fly",Silver Convention,,,
1975-12-08,"Fly, Robin, Fly",Silver Convention,,,
1975-12-15,That's The Way (I Like It),Kc And The Sunshine Band,,,
1975-12-22,Let's Do It Again,The Staple Singers,,,
1975-12-29,Saturday Night,Bay City Rollers,From the Magazine Rack No. 101 — The Rose-Colored Rearview Mirror (Saturday Review); President Ford Talks About Television (TV Guide); The Nation’s River (National Geographic) (VOA Radio Script); From the Magazine Rack No. 102 — Candidate Carter Talks About Television (TV Guide); Lobbying: Key to Lasting Political Influence (Black Enterprise); North Sea Oil Fuels Scottish Nationalism (Fortune) (VOA Radio Script); From the Magazine Rack No. 104 — Why Don’t People Vote? (TV Guide); On Predicting Earthquakes (Current); Born Again: The Year of the Evangelicals (Newsweek) (VOA Radio Script); From the Magazine Rack No. 69 — Covering the Economy (TV Guide); Senior Volunteers (Parks and Recreation) (VOA Radio Script); From the Magazine Rack No. 72 — Legal Richts Still Cloudy For Eighteen-Year-Olds (U.S. News And World Report); Anatomy of a Newscast (TV Guide) (VOA Radio Script),1976 National Lampoon Dirty Duck; 1976 National Lampoon Excerpt Court Upholds; 1976 National Lampoon Trots Bonnie Girl Band; A sheriff for all the people; ALLEGATIONS CONCERNING CIA CONTAINED IN THE 20 MAY 1976 ISSUE OF ROLLING STONE MAGAZINE,
1976-01-05,Convoy,C.w. Mccall,,,
1976-01-12,I Write The Songs,Barry Manilow,,,
1976-01-19,Theme From Mahogany (Do You Know Where You're Going To),Diana Ross,,,
1976-01-26,Love Rollercoaster,Ohio Players,,,
1976-02-02,50 Ways To Leave Your Lover,Paul Simon,,,
1976-02-09,50 Ways To Leave Your Lover,Paul Simon,,,
1976-02-16,50 Ways To Leave Your Lover,Paul Simon,,,
1976-02-23,Theme From S.W.A.T.,Rhythm Heritage,,,
1976-03-01,Love Machine (Part 1),The Miracles,,,
1976-03-08,"December, 1963 (Oh, What a Night)",The 4 Seasons,,,
1976-03-15,"December, 1963 (Oh, What a Night)",The 4 Seasons,,,
1976-03-22,"December, 1963 (Oh, What a Night)",The 4 Seasons,,,
1976-03-29,Disco Lady,Johnnie Taylor,,,
1976-04-05,Disco Lady,Johnnie Taylor,,,
1976-04-12,Disco Lady,Johnnie Taylor,,,
1976-04-19,Disco Lady,Johnnie Taylor,,,
1976-04-26,Let Your Love Flow,The Bellamy Brothers,,,
1976-05-03,Welcome Back,John Sebastian,,,
1976-05-10,Boogie Fever,The Sylvers,,,
1976-05-17,Silly Love Songs,Wings,,,
1976-05-24,Love Hangover,Diana Ross,,,
1976-05-31,Love Hangover,Diana Ross,,,
1976-06-07,Silly Love Songs,Wings,,,
1976-06-14,Silly Love Songs,Wings,,,
1976-06-21,Silly Love Songs,Wings,,,
1976-06-28,Silly Love Songs,Wings,,,
1976-07-05,Afternoon Delight,Starland Vocal Band,,,
1976-07-12,Afternoon Delight,Starland Vocal Band,,,
1976-07-19,Kiss And Say Goodbye,The Manhattans,,,
1976-07-26,Kiss And Say Goodbye,The Manhattans,,,
1976-08-02,Don't Go Breaking My Heart,Elton John,,,
1976-08-09,Don't Go Breaking My Heart,Elton John,,,
1976-08-16,Don't Go Breaking My Heart,Elton John,,,
1976-08-23,Don't Go Breaking My Heart,Elton John,,,
1976-08-30,You Should Be Dancing,Bee Gees,,,
1976-09-06,"(Shake, Shake, Shake) Shake Your Booty",Kc And The Sunshine Band,,,
1976-09-13,Play That Funky Music,Wild Cherry,,,
1976-09-20,Play That Funky Music,Wild Cherry,,,
1976-09-27,Play That Funky Music,Wild Cherry,,,
1976-10-04,A Fifth Of Beethoven,Walter Murphy,,,
1976-10-11,Disco Duck (Part I),Rick Dees,,,
1976-10-18,If You Leave Me Now,Chicago,,,
1976-10-25,If You Leave Me Now,Chicago,,,
1976-11-01,Rock'n Me,Steve Miller,,,
1976-11-08,Tonight's The Night (Gonna Be Alright),Rod Stewart,,,
1976-11-15,Tonight's The Night (Gonna Be Alright),Rod Stewart,,,
1976-11-22,Tonight's The Night (Gonna Be Alright),Rod Stewart,,,
1976-11-29,Tonight's The Night (Gonna Be Alright),Rod Stewart,,,
1976-12-06,Tonight's The Night (Gonna Be Alright),Rod Stewart,,,
1976-12-13,Tonight's The Night (Gonna Be Alright),Rod Stewart,,,
1976-12-20,Tonight's The Night (Gonna Be Alright),Rod Stewart,,,
1976-12-27,Tonight's The Night (Gonna Be Alright),Rod Stewart,"Country Style - Press, Radio & TV Guide (1977); TV Guide - 1977-02-26 - Los Angeles, CA Edition; The Programming Pirate of Pickle Lake Ontario TV Guide Canada by Gordon Donaldson 1977","All male or female persons seventeen years of age or over listed in the City of Everett, January 1, 1977; Billboard; Black people in Britain 1555-1833; CBS' '60 MINUTES' ON THE SEVENTEEN NAMES IN THE BOOK OF HONOR; CIA Reading Room cia-rdp86b00985r000200280028-1: THOMAS BARGER'S SUGGESTIONS ON PEOPLE TO WORK ON NATIONAL INTELLIGENCE ESTIMATES",
1977-01-03,You Don't Have To Be A Star (To Be In My Show),Marilyn Mccoo,,,
1977-01-10,You Make Me Feel Like Dancing,Leo Sayer,,,
1977-01-17,I Wish,Stevie Wonder,,,
1977-01-24,Car Wash,Rose Royce,,,
1977-01-31,Torn Between Two Lovers,Mary Macgregor,,,
1977-02-07,Torn Between Two Lovers,Mary Macgregor,,,
1977-02-14,Blinded By The Light,Manfred Mann's Earth Band,,,
1977-02-21,New Kid In Town,Eagles,,,
1977-02-28,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,,,
1977-03-07,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,,,
1977-03-14,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,,,
1977-03-21,Rich Girl,Daryl Hall undefined John Oates,,,
1977-03-28,Rich Girl,Daryl Hall undefined John Oates,,,
1977-04-04,Dancing Queen,Abba,,,
1977-04-11,Don't Give Up On Us,David Soul,,,
1977-04-18,Don't Leave Me This Way,Thelma Houston,,,
1977-04-25,Southern Nights,Glen Campbell,,,
1977-05-02,Hotel California,Eagles,,,
1977-05-09,When I Need You,Leo Sayer,,,
1977-05-16,Sir Duke,Stevie Wonder,,,
1977-05-23,Sir Duke,Stevie Wonder,,,
1977-05-30,Sir Duke,Stevie Wonder,,,
1977-06-06,I'm Your Boogie Man,Kc And The Sunshine Band,,,
1977-06-13,Dreams,Fleetwood Mac,,,
1977-06-20,Got To Give It Up (Pt. I),Marvin Gaye,,,
1977-06-27,Gonna Fly Now,Bill Conti,,,
1977-07-04,Undercover Angel,Alan O'day,,,
1977-07-11,Da Doo Ron Ron,Shaun Cassidy,,,
1977-07-18,Looks Like We Made It,Barry Manilow,,,
1977-07-25,I Just Want To Be Your Everything,Andy Gibb,,,
1977-08-01,I Just Want To Be Your Everything,Andy Gibb,,,
1977-08-08,I Just Want To Be Your Everything,Andy Gibb,,,
1977-08-15,Best Of My Love,The Emotions,,,
1977-08-22,Best Of My Love,The Emotions,,,
1977-08-29,Best Of My Love,The Emotions,,,
1977-09-05,Best Of My Love,The Emotions,,,
1977-09-12,I Just Want To Be Your Everything,Andy Gibb,,,
1977-09-19,Best Of My Love,The Emotions,,,
1977-09-26,Star Wars Theme/Cantina Band,Meco,,,
1977-10-03,Star Wars Theme/Cantina Band,Meco,,,
1977-10-10,You Light Up My Life,Debby Boone,,,
1977-10-17,You Light Up My Life,Debby Boone,,,
1977-10-24,You Light Up My Life,Debby Boone,,,
1977-10-31,You Light Up My Life,Debby Boone,,,
1977-11-07,You Light Up My Life,Debby Boone,,,
1977-11-14,You Light Up My Life,Debby Boone,,,
1977-11-21,You Light Up My Life,Debby Boone,,,
1977-11-28,You Light Up My Life,Debby Boone,,,
1977-12-05,You Light Up My Life,Debby Boone,,,
1977-12-12,You Light Up My Life,Debby Boone,,,
1977-12-19,How Deep Is Your Love,Bee Gees,,,
1977-12-26,How Deep Is Your Love,Bee Gees,"Get the Johnny Carson show before it's bleeped - TV Guide Oklahoma 1978; Pay TV Without Paying - TV Guide Canada 1978; TV Guide The First 25 Years; TV guide, the first 25 years; The TV guide quiz book","1978 National Lampoon Weed Issue; A Handbook on Legal Rights of Developmentally Disabled People in Massachusetts.; All male or female persons seventeen years of age or over listed in the City of Everett, January 1, 1978; Anna Elizabeth, seventeen; Article About Ted Bundy Published In Rolling Stone, December 14, 1978",
1978-01-02,How Deep Is Your Love,Bee Gees,,,
1978-01-09,Baby Come Back,Player,,,
1978-01-16,Baby Come Back,Player,,,
1978-01-23,Baby Come Back,Player,,,
1978-01-30,Stayin' Alive,Bee Gees,,,
1978-02-06,Stayin' Alive,Bee Gees,,,
1978-02-13,Stayin' Alive,Bee Gees,,,
1978-02-20,Stayin' Alive,Bee Gees,,,
1978-02-27,(Love Is) Thicker Than Water,Andy Gibb,,,
1978-03-06,(Love Is) Thicker Than Water,Andy Gibb,,,
1978-03-13,Night Fever,Bee Gees,,,
1978-03-20,Night Fever,Bee Gees,,,
1978-03-27,Night Fever,Bee Gees,,,
1978-04-03,Night Fever,Bee Gees,,,
1978-04-10,Night Fever,Bee Gees,,,
1978-04-17,Night Fever,Bee Gees,,,
1978-04-24,Night Fever,Bee Gees,,,
1978-05-01,Night Fever,Bee Gees,,,
1978-05-08,If I Can't Have You,Yvonne Elliman,,,
1978-05-15,With A Little Luck,Wings,,,
1978-05-22,With A Little Luck,Wings,,,
1978-05-29,"Too Much, Too Little, Too Late",Johnny Mathis/deniece Williams,,,
1978-06-05,You're The One That I Want,John Travolta,,,
1978-06-12,Shadow Dancing,Andy Gibb,,,
1978-06-19,Shadow Dancing,Andy Gibb,,,
1978-06-26,Shadow Dancing,Andy Gibb,,,
1978-07-03,Shadow Dancing,Andy Gibb,,,
1978-07-10,Shadow Dancing,Andy Gibb,,,
1978-07-17,Shadow Dancing,Andy Gibb,,,
1978-07-24,Shadow Dancing,Andy Gibb,,,
1978-07-31,Miss You,The Rolling Stones,,,
1978-08-07,Three Times A Lady,Commodores,,,
1978-08-14,Three Times A Lady,Commodores,,,
1978-08-21,Grease,Frankie Valli,,,
1978-08-28,Grease,Frankie Valli,,,
1978-09-04,Boogie Oogie Oogie,A Taste Of Honey,,,
1978-09-11,Boogie Oogie Oogie,A Taste Of Honey,,,
1978-09-18,Boogie Oogie Oogie,A Taste Of Honey,,,
1978-09-25,Kiss You All Over,Exile,,,
1978-10-02,Kiss You All Over,Exile,,,
1978-10-09,Kiss You All Over,Exile,,,
1978-10-16,Kiss You All Over,Exile,,,
1978-10-23,Hot Child In The City,Nick Gilder,,,
1978-10-30,You Needed Me,Anne Murray,,,
1978-11-06,MacArthur Park,Donna Summer,,,
1978-11-13,MacArthur Park,Donna Summer,,,
1978-11-20,MacArthur Park,Donna Summer,,,
1978-11-27,You Don't Bring Me Flowers,Barbra Streisand,,,
1978-12-04,Le Freak,Chic,,,
1978-12-11,You Don't Bring Me Flowers,Barbra Streisand,,,
1978-12-18,Le Freak,Chic,,,
1978-12-25,Le Freak,Chic,,,
1979-01-01,Too Much Heaven,Bee Gees,"A kid's TV guide : a children's book about watching TV intelligently; TV Guide - 1979-06-23 - Los Angeles, CA Edition; TV Guide 1979-04-21 St Louis Edition; TV Guide North Texas 1979 07 07-13; Weekly Reader Books presents A kid's TV guide : a children's book about watching TV intelligently","A kid's TV guide : a children's book about watching TV intelligently; Accounting for a simplified firm owning depreciable assets : seventeen essays and a synthesis based on a common case , papers from Accounting Researchers International Association symposium, held at Jesse H. Jones Graduate School of Administration, Rice University, May 1978; All male or female persons seventeen years of age or over listed in the City of Everett as of January 1, 1979; Aristocracy and people : Britain, 1815-1865; Billboard",
1979-01-08,Too Much Heaven,Bee Gees,,,
1979-01-15,Le Freak,Chic,,,
1979-01-22,Le Freak,Chic,,,
1979-01-29,Le Freak,Chic,,,
1979-02-05,Da Ya Think I'm Sexy?,Rod Stewart,,,
1979-02-12,Da Ya Think I'm Sexy?,Rod Stewart,,,
1979-02-19,Da Ya Think I'm Sexy?,Rod Stewart,,,
1979-02-26,Da Ya Think I'm Sexy?,Rod Stewart,,,
1979-03-05,I Will Survive,Gloria Gaynor,,,
1979-03-12,I Will Survive,Gloria Gaynor,,,
1979-03-19,Tragedy,Bee Gees,,,
1979-03-26,Tragedy,Bee Gees,,,
1979-04-02,I Will Survive,Gloria Gaynor,,,
1979-04-09,What A Fool Believes,The Doobie Brothers,,,
1979-04-16,Knock On Wood,Amii Stewart,,,
1979-04-23,Heart Of Glass,Blondie,,,
1979-04-30,Reunited,Peaches,,,
1979-05-07,Reunited,Peaches,,,
1979-05-14,Reunited,Peaches,,,
1979-05-21,Reunited,Peaches,,,
1979-05-28,Hot Stuff,Donna Summer,,,
1979-06-04,Love You Inside Out,Bee Gees,,,
1979-06-11,Hot Stuff,Donna Summer,,,
1979-06-18,Hot Stuff,Donna Summer,,,
1979-06-25,Ring My Bell,Anita Ward,,,
1979-07-02,Ring My Bell,Anita Ward,,,
1979-07-09,Bad Girls,Donna Summer,,,
1979-07-16,Bad Girls,Donna Summer,,,
1979-07-23,Bad Girls,Donna Summer,,,
1979-07-30,Bad Girls,Donna Summer,,,
1979-08-06,Bad Girls,Donna Summer,,,
1979-08-13,Good Times,Chic,,,
1979-08-20,My Sharona,The Knack,,,
1979-08-27,My Sharona,The Knack,,,
1979-09-03,My Sharona,The Knack,,,
1979-09-10,My Sharona,The Knack,,,
1979-09-17,My Sharona,The Knack,,,
1979-09-24,My Sharona,The Knack,,,
1979-10-01,Sad Eyes,Robert John,,,
1979-10-08,Don't Stop 'Til You Get Enough,Michael Jackson,,,
1979-10-15,Rise,Herb Alpert,,,
1979-10-22,Rise,Herb Alpert,,,
1979-10-29,Pop Muzik,M,,,
1979-11-05,Heartache Tonight,Eagles,,,
1979-11-12,Still,Commodores,,,
1979-11-19,No More Tears (Enough Is Enough),Barbra Streisand/donna Summer,,,
1979-11-26,No More Tears (Enough Is Enough),Barbra Streisand/donna Summer,,,
1979-12-03,Babe,Styx,,,
1979-12-10,Babe,Styx,,,
1979-12-17,Escape (The Pina Colada Song),Rupert Holmes,,,
1979-12-24,Escape (The Pina Colada Song),Rupert Holmes,,,
1979-12-31,Please Don't Go,Kc And The Sunshine Band,CIA Reading Room nsa-rdp96x00790r000100030058-2: TV GUIDE ARTICLE ON BREZHNEV; TV Guide - Apr 26 - May 02 - 1980; TV Guide - Aug 9 - 15 -1980; TV Guide - Dec 27 - Jan 2 -1981; TV Guide - Feb 16 - Feb 22 - 1980,Arabia felix : images of Yemen and its people; Billboard; Billboard art; Bulletin of the Institute of Archaeology. Number seventeen: 1980; CIA Reading Room nsa-rdp96x00790r000100030058-2: TV GUIDE ARTICLE ON BREZHNEV,
1980-01-07,Escape (The Pina Colada Song),Rupert Holmes,,,
1980-01-14,Rock With You,Michael Jackson,,,
1980-01-21,Rock With You,Michael Jackson,,,
1980-01-28,Rock With You,Michael Jackson,,,
1980-02-04,Rock With You,Michael Jackson,,,
1980-02-11,Do That To Me One More Time,Captain,,,
1980-02-18,Crazy Little Thing Called Love,Queen,,,
1980-02-25,Crazy Little Thing Called Love,Queen,,,
1980-03-03,Crazy Little Thing Called Love,Queen,,,
1980-03-10,Crazy Little Thing Called Love,Queen,,,
1980-03-17,Another Brick In The Wall (Part II),Pink Floyd,,,
1980-03-24,Another Brick In The Wall (Part II),Pink Floyd,,,
1980-03-31,Another Brick In The Wall (Part II),Pink Floyd,,,
1980-04-07,Another Brick In The Wall (Part II),Pink Floyd,,,
1980-04-14,Call Me,Blondie,,,
1980-04-21,Call Me,Blondie,,,
1980-04-28,Call Me,Blondie,,,
1980-05-05,Call Me,Blondie,,,
1980-05-12,Call Me,Blondie,,,
1980-05-19,Call Me,Blondie,,,
1980-05-26,Funkytown,"Lipps, Inc",,,
1980-06-02,Funkytown,"Lipps, Inc",,,
1980-06-09,Funkytown,"Lipps, Inc",,,
1980-06-16,Funkytown,"Lipps, Inc",,,
1980-06-23,Coming Up (Live At Glasgow),Paul Mccartney And Wings,,,
1980-06-30,Coming Up (Live At Glasgow),Paul Mccartney And Wings,,,
1980-07-07,Coming Up (Live At Glasgow),Paul Mccartney And Wings,,,
1980-07-14,It's Still Rock And Roll To Me,Billy Joel,,,
1980-07-21,It's Still Rock And Roll To Me,Billy Joel,,,
1980-07-28,Magic,Olivia Newton-john,,,
1980-08-04,Magic,Olivia Newton-john,,,
1980-08-11,Magic,Olivia Newton-john,,,
1980-08-18,Magic,Olivia Newton-john,,,
1980-08-25,Sailing,Christopher Cross,,,
1980-09-01,Upside Down,Diana Ross,,,
1980-09-08,Upside Down,Diana Ross,,,
1980-09-15,Upside Down,Diana Ross,,,
1980-09-22,Upside Down,Diana Ross,,,
1980-09-29,Another One Bites The Dust,Queen,,,
1980-10-06,Another One Bites The Dust,Queen,,,
1980-10-13,Another One Bites The Dust,Queen,,,
1980-10-20,Woman In Love,Barbra Streisand,,,
1980-10-27,Woman In Love,Barbra Streisand,,,
1980-11-03,Woman In Love,Barbra Streisand,,,
1980-11-10,Lady,Kenny Rogers,,,
1980-11-17,Lady,Kenny Rogers,,,
1980-11-24,Lady,Kenny Rogers,,,
1980-12-01,Lady,Kenny Rogers,,,
1980-12-08,Lady,Kenny Rogers,,,
1980-12-15,Lady,Kenny Rogers,,,
1980-12-22,(Just Like) Starting Over,John Lennon,,,
1980-12-29,(Just Like) Starting Over,John Lennon,TV Guide ( Elvis Presley 1981 Los Angeles Edition); TV Guide issues from 1981; TV Guide v30n50 (#1550) [1982-12-11] {EXciter}; Television today : a close-up view : readings from TV guide,"All about glaucoma : questions and answers for people with glaucoma; Art in Los Angeles : seventeen artists in the sixties : [catalog of exhibition] : Los Angeles County Museum of Art; Billboard; British politics and people, 1760-1980; ERIC ED213923: Productivity, People, and Public Policy.",
1981-01-05,(Just Like) Starting Over,John Lennon,,,
1981-01-12,(Just Like) Starting Over,John Lennon,,,
1981-01-19,(Just Like) Starting Over,John Lennon,,,
1981-01-26,The Tide Is High,Blondie,,,
1981-02-02,Celebration,Kool,,,
1981-02-09,Celebration,Kool,,,
1981-02-16,9 To 5,Dolly Parton,,,
1981-02-23,I Love A Rainy Night,Eddie Rabbitt,,,
1981-03-02,I Love A Rainy Night,Eddie Rabbitt,,,
1981-03-09,9 To 5,Dolly Parton,,,
1981-03-16,Keep On Loving You,Reo Speedwagon,,,
1981-03-23,Rapture,Blondie,,,
1981-03-30,Rapture,Blondie,,,
1981-04-06,Kiss On My List,Daryl Hall undefined John Oates,,,
1981-04-13,Kiss On My List,Daryl Hall undefined John Oates,,,
1981-04-20,Kiss On My List,Daryl Hall undefined John Oates,,,
1981-04-27,Morning Train (Nine To Five),Sheena Easton,,,
1981-05-04,Morning Train (Nine To Five),Sheena Easton,,,
1981-05-11,Bette Davis Eyes,Kim Carnes,,,
1981-05-18,Bette Davis Eyes,Kim Carnes,,,
1981-05-25,Bette Davis Eyes,Kim Carnes,,,
1981-06-01,Bette Davis Eyes,Kim Carnes,,,
1981-06-08,Bette Davis Eyes,Kim Carnes,,,
1981-06-15,Medley,Stars On 45,,,
1981-06-22,Bette Davis Eyes,Kim Carnes,,,
1981-06-29,Bette Davis Eyes,Kim Carnes,,,
1981-07-06,Bette Davis Eyes,Kim Carnes,,,
1981-07-13,Bette Davis Eyes,Kim Carnes,,,
1981-07-20,The One That You Love,Air Supply,,,
1981-07-27,Jessie's Girl,Rick Springfield,,,
1981-08-03,Jessie's Girl,Rick Springfield,,,
1981-08-10,Endless Love,Diana Ross,,,
1981-08-17,Endless Love,Diana Ross,,,
1981-08-24,Endless Love,Diana Ross,,,
1981-08-31,Endless Love,Diana Ross,,,
1981-09-07,Endless Love,Diana Ross,,,
1981-09-14,Endless Love,Diana Ross,,,
1981-09-21,Endless Love,Diana Ross,,,
1981-09-28,Endless Love,Diana Ross,,,
1981-10-05,Endless Love,Diana Ross,,,
1981-10-12,Arthur's Theme (Best That You Can Do),Christopher Cross,,,
1981-10-19,Arthur's Theme (Best That You Can Do),Christopher Cross,,,
1981-10-26,Arthur's Theme (Best That You Can Do),Christopher Cross,,,
1981-11-02,Private Eyes,Daryl Hall undefined John Oates,,,
1981-11-09,Private Eyes,Daryl Hall undefined John Oates,,,
1981-11-16,Physical,Olivia Newton-john,,,
1981-11-23,Physical,Olivia Newton-john,,,
1981-11-30,Physical,Olivia Newton-john,,,
1981-12-07,Physical,Olivia Newton-john,,,
1981-12-14,Physical,Olivia Newton-john,,,
1981-12-21,Physical,Olivia Newton-john,,,
1981-12-28,Physical,Olivia Newton-john,"Mazes and Monsters - TV Guide article; TV Guide (1982 Vermont-Canada Edition; Nell Carter & Dolph Sweet); TV Guide - 1982-07-10 - Los Angeles, CA Edition; TV Guide - July 10 - 16 - 1982; TV Guide April 17 23 1982 Western Washington","A Community of People: A Multi-Ethnic Bibliography.; All male and female persons seventeen years of age or over listed in the city of Everett as of January 1, 1982; Billboard; Billboard Magazine (March 27, 1982); CIA Reading Room cia-rdp83t00233r000100140002-7: THE SOVIET POLITICAL SUCCESSION: INSTITUTIONS, PEOPLE, AND POLICIES",
1982-01-04,Physical,Olivia Newton-john,,,
1982-01-11,Physical,Olivia Newton-john,,,
1982-01-18,Physical,Olivia Newton-john,,,
1982-01-25,I Can't Go For That (No Can Do),Daryl Hall undefined John Oates,,,
1982-02-01,Centerfold,The J. Geils Band,,,
1982-02-08,Centerfold,The J. Geils Band,,,
1982-02-15,Centerfold,The J. Geils Band,,,
1982-02-22,Centerfold,The J. Geils Band,,,
1982-03-01,Centerfold,The J. Geils Band,,,
1982-03-08,Centerfold,The J. Geils Band,,,
1982-03-15,I Love Rock 'N Roll,Joan Jett,,,
1982-03-22,I Love Rock 'N Roll,Joan Jett,,,
1982-03-29,I Love Rock 'N Roll,Joan Jett,,,
1982-04-05,I Love Rock 'N Roll,Joan Jett,,,
1982-04-12,I Love Rock 'N Roll,Joan Jett,,,
1982-04-19,I Love Rock 'N Roll,Joan Jett,,,
1982-04-26,I Love Rock 'N Roll,Joan Jett,,,
1982-05-03,Chariots Of Fire - Titles,Vangelis,,,
1982-05-10,Ebony And Ivory,Paul Mccartney And Stevie Wonder,,,
1982-05-17,Ebony And Ivory,Paul Mccartney And Stevie Wonder,,,
1982-05-24,Ebony And Ivory,Paul Mccartney And Stevie Wonder,,,
1982-05-31,Ebony And Ivory,Paul Mccartney And Stevie Wonder,,,
1982-06-07,Ebony And Ivory,Paul Mccartney And Stevie Wonder,,,
1982-06-14,Ebony And Ivory,Paul Mccartney And Stevie Wonder,,,
1982-06-21,Ebony And Ivory,Paul Mccartney And Stevie Wonder,,,
1982-06-28,Don't You Want Me,The Human League,,,
1982-07-05,Don't You Want Me,The Human League,,,
1982-07-12,Don't You Want Me,The Human League,,,
1982-07-19,Eye Of The Tiger,Survivor,,,
1982-07-26,Eye Of The Tiger,Survivor,,,
1982-08-02,Eye Of The Tiger,Survivor,,,
1982-08-09,Eye Of The Tiger,Survivor,,,
1982-08-16,Eye Of The Tiger,Survivor,,,
1982-08-23,Eye Of The Tiger,Survivor,,,
1982-08-30,Abracadabra,The Steve Miller Band,,,
1982-09-06,Hard To Say I'm Sorry,Chicago,,,
1982-09-13,Hard To Say I'm Sorry,Chicago,,,
1982-09-20,Abracadabra,The Steve Miller Band,,,
1982-09-27,Jack & Diane,John Cougar,,,
1982-10-04,Jack & Diane,John Cougar,,,
1982-10-11,Jack & Diane,John Cougar,,,
1982-10-18,Jack & Diane,John Cougar,,,
1982-10-25,Who Can It Be Now?,Men At Work,,,
1982-11-01,Up Where We Belong,Joe Cocker And Jennifer Warnes,,,
1982-11-08,Up Where We Belong,Joe Cocker And Jennifer Warnes,,,
1982-11-15,Up Where We Belong,Joe Cocker And Jennifer Warnes,,,
1982-11-22,Truly,Lionel Richie,,,
1982-11-29,Truly,Lionel Richie,,,
1982-12-06,Mickey,Toni Basil,,,
1982-12-13,Maneater,Daryl Hall undefined John Oates,,,
1982-12-20,Maneater,Daryl Hall undefined John Oates,,,
1982-12-27,Maneater,Daryl Hall undefined John Oates,C Channel Pay TV Guide; CBS NEWS-TV GUIDE DISPUTE; CIA Reading Room cia-rdp90-00845r000201170001-6: CBS NEWS-TV GUIDE DISPUTE; TV Guide December 10 16 1983 Western Wash St Edition,"Animals helping people; Begassat v. Cosmopolitan National Bank of Chicago, 459 U.S. 1207 (1983) (No. 82-1061); Bexhill-on-Sea: It's Beginning, the People & District; C Channel Pay TV Guide; CBS NEWS-TV GUIDE DISPUTE",
1983-01-03,Maneater,Daryl Hall undefined John Oates,,,
1983-01-10,Down Under,Men At Work,,,
1983-01-17,Down Under,Men At Work,,,
1983-01-24,Down Under,Men At Work,,,
1983-01-31,Africa,Toto,,,
1983-02-07,Down Under,Men At Work,,,
1983-02-14,"Baby, Come To Me",Patti Austin A Duet,,,
1983-02-21,"Baby, Come To Me",Patti Austin A Duet,,,
1983-02-28,Billie Jean,Michael Jackson,,,
1983-03-07,Billie Jean,Michael Jackson,,,
1983-03-14,Billie Jean,Michael Jackson,,,
1983-03-21,Billie Jean,Michael Jackson,,,
1983-03-28,Billie Jean,Michael Jackson,,,
1983-04-04,Billie Jean,Michael Jackson,,,
1983-04-11,Billie Jean,Michael Jackson,,,
1983-04-18,Come On Eileen,Dexys Midnight Runners,,,
1983-04-25,Beat It,Michael Jackson,,,
1983-05-02,Beat It,Michael Jackson,,,
1983-05-09,Beat It,Michael Jackson,,,
1983-05-16,Let's Dance,David Bowie,,,
1983-05-23,Flashdance...What A Feeling,Irene Cara,,,
1983-05-30,Flashdance...What A Feeling,Irene Cara,,,
1983-06-06,Flashdance...What A Feeling,Irene Cara,,,
1983-06-13,Flashdance...What A Feeling,Irene Cara,,,
1983-06-20,Flashdance...What A Feeling,Irene Cara,,,
1983-06-27,Flashdance...What A Feeling,Irene Cara,,,
1983-07-04,Every Breath You Take,The Police,,,
1983-07-11,Every Breath You Take,The Police,,,
1983-07-18,Every Breath You Take,The Police,,,
1983-07-25,Every Breath You Take,The Police,,,
1983-08-01,Every Breath You Take,The Police,,,
1983-08-08,Every Breath You Take,The Police,,,
1983-08-15,Every Breath You Take,The Police,,,
1983-08-22,Every Breath You Take,The Police,,,
1983-08-29,Sweet Dreams (Are Made Of This),Eurythmics,,,
1983-09-05,Maniac,Michael Sembello,,,
1983-09-12,Maniac,Michael Sembello,,,
1983-09-19,Tell Her About It,Billy Joel,,,
1983-09-26,Total Eclipse Of The Heart,Bonnie Tyler,,,
1983-10-03,Total Eclipse Of The Heart,Bonnie Tyler,,,
