date,rank,artist,album,length,track_length
1978-01-07,1,"Fleetwood Mac",Rumours,58,
1978-01-07,2,"Rod Stewart","Foot Loose + Fancy Free",8,334894.75
1978-01-07,3,"Earth, Wind & Fire","All 'n' All",11,212600.818181818
1978-01-07,4,"Electric Light Orchestra","Out Of The Blue",17,250202.705882353
1978-01-07,5,"Linda Ronstadt","Simple Dreams",10,198135.6
1978-01-07,6,"Debby Boone","You Light Up My Life",12,198186.25
1978-01-07,7,KISS,"Alive Ii",20,223676.55
1978-01-07,8,"Shaun Cassidy","Born Late",10,192200.9
1978-01-07,9,Queen,"News Of The World",16,222138.0
1978-01-07,10,"Neil Diamond","I'm Glad Your Here With Me Tonight",,
1978-01-07,11,Commodores,"Commodores Live!",12,364219.666666667
1978-01-07,12,"Boz Scaggs","Down Two Then Left",10,257314.4
1978-01-07,13,"Bob Welch","French Kiss",12,181677.5
1978-01-07,14,"Olivia Newton-John","Olivia Newton-John's Greatest Hits",,
1978-01-07,15,"Billy Joel","The Stranger",21,296449.238095238
1978-01-07,16,"Lynyrd Skynyrd","Street Survivors",23,260330.043478261
1978-01-07,17,"Steely Dan",Aja,7,343028.142857143
1978-01-07,18,Styx,"The Grand Illusion",8,312237.875
1978-01-07,19,"Randy Newman","Little Criminals",12,192984.166666667
1978-01-07,20,Aerosmith,"Draw The Line",9,237785.0
1978-01-07,21,Kansas,"Point Of Know Return",12,252448.583333333
1978-01-07,22,Soundtrack,"Saturday Night Fever",21,224416.142857143
1978-01-07,23,LTD,"Something To Love",9,261106.333333333
1978-01-07,24,"Diana Ross","Baby It's Me",10,213145.2
1978-01-07,25,"George Duke","Reach For It",11,292194.727272727
1978-01-07,26,Foreigner,Foreigner,12,240737.833333333
1978-01-07,27,"Donna Summer","Once Upon A Time",16,256053.625
1978-01-07,28,"High Inergy","Turnin' On",,
1978-01-07,29,"Dolly Parton","Here You Come Again",10,178703.6
1978-01-07,30,"Paul Simon","Greatest Hits, Ect.",11,
1978-01-07,31,"Jackson Browne","Running On Empty",10,260547.7
1978-01-07,32,Santana,Moonflower,16,294902.1875
1978-01-07,33,War,Galaxy,5,383439.6
1978-01-07,34,"The Babys","Broken Heart",10,225057.0
1978-01-07,35,"The Steve Miller Band","Book Of Dreams",,
1978-01-07,36,"James Taylor",JT,12,189260.75
1978-01-07,37,"Eric Clapton",Slowhand,27,280855.407407407
1978-01-07,38,"Millie Jackson","Feelin Bitchy",11,287607.0
1978-01-07,39,"Gino Vannelli","A Pauper In Paridise",,
1978-01-07,40,"Emerson, Lake & Palmer","Works Volume II",,
1978-01-07,41,"Joni Mitchell","Don Juan's Reckless Daughter",10,358365.0
1978-01-07,42,"Santa Esmeralda","Don't Let Me Be Misunderstood",7,483053.428571429
1978-01-07,43,"Neil Young",Decade,35,266146.423076923
1978-01-07,44,"Steve Martin","Lets Get Small",10,228936.9
1978-01-07,45,"Crystal Gayle","We Must Believe In Magic",10,179463.7
1978-01-07,46,"John Denver","I Want To Live",11,235995.909090909
1978-01-07,47,"Natalie Cole",Thankful,8,266833.0
1978-01-07,48,"Rita Coolidge",Anytime...anywhere,,
1978-01-07,49,"Bill Withers",Menagerie,9,256205.555555556
1978-01-07,50,"Rose Royce","Rose Royce II/In Full Bloom",,
1978-01-07,51,"Shaun Cassidy","Shaun Cassidy",10,181727.2
1978-01-07,52,Parliament,"Funkentelechy Vs. The Placebo Syndrome",6,443361.666666667
1978-01-07,53,"The Salsoul Orchestra","Christmas Jollies",9,316703.444444444
1978-01-07,54,"Chuck Mangione","Feels So Good",6,394279.5
1978-01-07,55,ConFunkShun,Secrets,,
1978-01-07,56,Player,Player,1,249608.0
1978-01-07,57,"Stevie Wonder","Looking Back",,
1978-01-07,58,"Robin Trower","In City Dreams",9,272704.777777778
1978-01-07,59,"The Blackbyrds",Action,7,288761.714285714
1978-01-07,60,Barkays,"Flying High On Your Love",,
1978-01-07,61,"The Beatles","Love Songs",12,222003.583333333
1978-01-07,62,"Joan Armatrading","Show Some Emotion",10,218408.4
1978-01-07,63,Carpenters,Passage,8,297269.875
1978-01-07,64,"Elton John","Elton John's Greatest Hits, Volume II",17,
1978-01-07,65,"Stevie Wonder","Songs In The Key Of Life",21,300142.428571429
1978-01-07,66,"Deniece Williams",Songbird,,
1978-01-07,67,Soundtrack,"Star Wars",28,257901.928571429
1978-01-07,68,Genesis,"Seconds Out",12,477688.583333333
1978-01-07,69,"Linda Ronstadt","Greatest Hits",17,195693.294117647
1978-01-07,70,"Boz Scaggs","Silk Degrees",13,239546.461538462
1978-01-07,71,"Bob James",Heads,24,184667.041666667
1978-01-07,72,"The Ramones","Rocket To Russia",77,
1978-01-07,73,"Lou Rawls","When You Hear Lou, You've Heard It All",10,225796.666666667
1978-01-07,74,"Barry Manilow","Barry Manilow Live",23,269442.47826087
1978-01-07,75,"Electric Light Orchestra","A New World Record",9,243371.555555556
1978-01-07,76,Boston,Boston,8,273423.0
1978-01-07,77,"Bay City Rollers","Greatest Hits",16,194151.1875
1978-01-07,78,Odyssey,Odyssey,12,258818.0
1978-01-07,79,"Gato Barbieri","Ruby, Ruby",8,329736.375
1978-01-07,80,Soundtrack,"Close Encounters Of A Third Kind",,
1978-01-07,81,"Captain & Tennille","Captain & Tennille's Greatest Hits",12,210838.5
1978-01-07,82,"Bette Midler","Broken Blossom",11,214648.090909091
1978-01-07,83,Nazareth,"Expect No Mercy",10,212346.3
1978-01-07,84,Soundtrack,"The Story Of Star Wars",,
1978-01-07,85,"Johnny Guitar Watson","Funk Beyond The Call Of Duty",,
1978-01-07,86,"Elvis Costello","My Aim Is True",13,173642.769230769
1978-01-07,87,"Bee Gees","Here At Last...Bee Gees...Live",18,281001.333333333
1978-01-07,88,Foghat,"Foghat Live",6,425860.5
1978-01-07,89,"Tom Petty And The Heartbreakers","Tom Petty + The Heartbreakers",10,224259.7
1978-01-07,90,"The Spinners","Spinners 8",9,267935.888888889
1978-01-07,91,"Leif Garrett","Leif Garrett",12,193593.0
1978-01-07,92,Chic,Chic,40,272391.575
1978-01-07,93,"Grover Washington, Jr.","Live At The Bijou",8,569455.875
1978-01-07,94,"Barry White","Barry White Sings For Someone You Love",7,349437.857142857
1978-01-07,95,"Dan Hill","Longer Fuse",10,239394.8
1978-01-07,96,"Dan Fogelberg","Nether Lands",11,263122.181818182
1978-01-07,97,"The Trammps","Trammps Iii",8,324613.125
1978-01-07,98,"Ashford & Simpson","Send It",8,272839.5
1978-01-07,99,"James Taylor","Greatest Hits",12,207276.75
1978-01-07,100,Heatwave,"Too Hot To Handle",9,257460.444444444
1978-01-07,101,Brick,Brick,34,240830.235294118
1978-01-07,102,"The Alan Parsons Project","I Robot",24,251897.375
1978-01-07,103,"Neil Diamond","Neil Diamond/His 12 Greatest Hits",,
1978-01-07,104,Heart,"Little Queen",10,234695.7
1978-01-07,105,"Bing Crosby","Bing Crosby's Greatest Hits",,
1978-01-07,106,"The Rolling Stones","Love You Live",18,286640.444444444
1978-01-07,107,"ZZ Top","The Best Of ZZ Top",38,245646.3
1978-01-07,108,"Sex Pistols","Never Mind The Bollocks Here's The Sex Pistols",12,194667.583333333
1978-01-07,109,Commodores,Commodores,9,261407.0
1978-01-07,110,Meco,"Star Wars & Other Galactic Funk",4,592023.0
1978-01-07,111,"The Salsoul Orchestra",Cuchi-Cuchi,13,266288.615384615
1978-01-07,112,"Meat Loaf","Bat Out Of Hell",7,408818.857142857
1978-01-07,113,"The Temptations","Hear To Tempt You",9,269759.888888889
1978-01-07,114,"Judy Collins","So Early In The Spring - The First 15 Years",,
1978-01-07,115,"The Emotions",Sunshine,14,220868.214285714
1978-01-07,116,"Roberta Flack","Blue Lights In The Basement",10,247782.3
1978-01-07,117,"Gary Wright","Touch And Gone",9,236558.111111111
1978-01-07,118,Slave,"The Hardness Of The World",8,291153.0
1978-01-07,119,"Talking Heads","Talking Heads: 77",16,213942.0625
1978-01-07,120,"Little River Band","Diamantina Cocktail",11,233588.727272727
1978-01-07,121,"Joan Baez","Best Of Joan Baez",9,199973.111111111
1978-01-07,122,"Ramsey Lewis","Tequila Mockingbird",8,300567.875
1978-01-07,123,"Ohio Players","Mr. Mean",7,342384.428571429
1978-01-07,124,"Joe Cocker","Joe Cocker's Greatest Hits",12,249967.583333333
1978-01-07,125,Soundtrack,"You Light Up My Life",,
1978-01-07,126,Pockets,"Come Go With Us",8,267023.125
1978-01-07,127,"Thelma Houston","The Devil In Me",9,269253.222222222
1978-01-07,128,"Crosby, Stills & Nash",Csn,14,243770.214285714
1978-01-07,129,America,America/Live,6,241066.333333333
1978-01-07,130,"Ray Charles","True To Life",,
1978-01-07,131,"Saint Tropez","Je Taime",,
1978-01-07,132,"Ozark Mountain Daredevils","Don't Look Down",14,204665.285714286
1978-01-07,133,"Patti Austin","Havana Candy",8,278647.875
1978-01-07,134,"Alice Cooper","The Alice Cooper Show",11,222845.818181818
1978-01-07,135,"Al Green","The Belle Album",8,295279.75
1978-01-07,136,"Elvis Presley","Elvis In Concert",32,134791.28125
1978-01-07,137,"El Coco",Cocomotion,,
1978-01-07,138,"Dave Mason","Let It Flow",10,225497.5
1978-01-07,139,"Rick Wakeman","Rick Wakeman's Criminal Record",6,394804.0
1978-01-07,140,"Ted Nugent","Cat Scratch Fever",12,232808.666666667
1978-01-07,141,"Phoebe Snow","Never Letting Go",9,212365.555555556
1978-01-07,142,"The Sylvers","New Horizons",,
1978-01-07,143,Chicago,"Chicago XI",13,240022.230769231
1978-01-07,144,"Brass Construction","Brass Construction Iii",8,287014.625
1978-01-07,145,"Donna Summer","I Remember Yesterday",8,277908.0
1978-01-07,146,"Isaac Hayes","New Horizon",5,596135.6
1978-01-07,147,"Blue Oyster Cult",Spectres,10,243823.8
1978-01-07,148,10cc,"Live + Let Live",15,357449.733333333
1978-01-07,149,"Rick Danko","Rick Danko",19,281394.105263158
1978-01-07,150,"The O'Jays","The O'Jays: Collectors' Items",10,
1978-01-07,151,Mandrill,"We Are One",7,330658.857142857
1978-01-07,152,"David Bromberg","Reckless Abandon",19,231623.894736842
1978-01-07,153,"Pablo Cruise","A Place In The Sun",9,266058.888888889
1978-01-07,154,Soundtrack,"Looking For Mr. Goodbar",,
1978-01-07,155,"The Controllers","In Control",7,313033.857142857
1978-01-07,156,"Engelbert Humperdinck","Christmas Tyme",,
1978-01-07,157,"Andy Gibb","Flowing Rivers",10,230314.2
1978-01-07,158,"Jethro Tull","Repeat-The Best Of Jethro Tull, Vol. II",10,
1978-01-07,159,Soundtrack,"Pete's Dragon",,
1978-01-07,160,"Jean Michel Jarre",Oxygene,6,363490.833333333
1978-01-07,161,"Village People","Village People",6,286110.5
1978-01-07,162,"Eddie Money","Eddie Money",10,205046.3
1978-01-07,163,Eagles,"Hotel California",9,340131.666666667
1978-01-07,164,"Grace Jones",Portfolio,7,317011.285714286
1978-01-07,165,"The New Birth","Behold The Mighty Army",8,312648.0
1978-01-07,166,"Jon Stewart","Fire In The Wind",,
1978-01-07,167,"The Doobie Brothers","Livin' On The Fault Line",10,220710.2
1978-01-07,168,"The Jacksons","Goin' Places",9,255566.888888889
1978-01-07,169,"The Charlie Daniels Band","Midnight Wind",,
1978-01-07,170,"Pat Travers","Putting It Straight",8,277643.0
1978-01-07,171,"Fleetwood Mac","Fleetwood Mac",11,227002.090909091
1978-01-07,172,Rush,"A Farewell To Kings",6,403928.666666667
1978-01-07,173,"Daryl Hall John Oates","Beauty On A Back Street",9,241481.111111111
1978-01-07,174,"Lynyrd Skynyrd","One More For The Road",,
1978-01-07,175,"Karla Bonoff","Karla Bonoff",10,216730.5
1978-01-07,176,"The Pointer Sisters","Having A Party",7,308180.571428571
1978-01-07,177,"Elvis Presley","Golden Records Vol. 3",12,147984.083333333
1978-01-07,178,"Patti LaBelle","Patti La Belle",,
1978-01-07,179,"Various Artists","Disco Boogie",14,207222.0
1978-01-07,180,"KC And The Sunshine Band","Part 3",16,244078.875
1978-01-07,181,"Side Effect","Goin' Bananas",,
1978-01-07,182,"Elvis Presley","Moody Blue",10,184551.7
1978-01-07,183,"Jean Luc Ponty","Enigmatic Ocean",11,220948.636363636
1978-01-07,184,"Grinder Switch",Redwing,,
1978-01-07,185,"Donny & Marie Osmond","Winng Combination",,
1978-01-07,186,Eagles,"Their Greatest Hits 1971-1975",10,259820.4
1978-01-07,187,"Glen Campbell","Live At The Royal Festival Hall",21,231692.523809524
1978-01-07,188,"Anne Haslem","Annie In Wonderland",,
1978-01-07,189,"Elvis Presley","Elvis' Golden Records",14,146733.071428571
1978-01-07,190,Firefall,"Luna Sea",10,242356.375
1978-01-07,191,"Bob Seger","Night Moves",9,263074.444444444
1978-01-07,192,"Paul McCartney And Wings","Wings Over America",,
1978-01-07,193,"Leo Sayer","Thunder In My Heart",7,277803.571428571
1978-01-07,194,"Peter Frampton","I'm In You",9,271913.555555556
1978-01-07,195,"The Steve Miller Band","Fly Like An Eagle",2,213553.0
1978-01-07,196,"Pink Floyd","The Dark Side Of The Moon",10,257363.2
1978-01-07,197,"David Crosby/Graham Nash","Crosby/Nash - Live",,
1978-01-07,198,"The Emotions",Rejoice,9,259467.777777778
1978-01-07,199,"Maynard Ferguson","New Vintage",6,355099.666666667
1978-01-07,200,"David Bowie",Heroes,10,227982.5
1978-01-14,1,"Fleetwood Mac",Rumours,58,
1978-01-14,2,"Rod Stewart","Foot Loose + Fancy Free",8,334894.75
1978-01-14,3,"Earth, Wind & Fire","All 'n' All",11,212600.818181818
1978-01-14,4,"Electric Light Orchestra","Out Of The Blue",17,250202.705882353
1978-01-14,5,"Linda Ronstadt","Simple Dreams",10,198135.6
1978-01-14,6,"Shaun Cassidy","Born Late",10,192200.9
1978-01-14,7,KISS,"Alive Ii",20,223676.55
1978-01-14,8,Queen,"News Of The World",16,222138.0
1978-01-14,9,"Neil Diamond","I'm Glad Your Here With Me Tonight",,
1978-01-14,10,Soundtrack,"Saturday Night Fever",21,224416.142857143
1978-01-14,11,"Boz Scaggs","Down Two Then Left",10,257314.4
1978-01-14,12,"Bob Welch","French Kiss",12,181677.5
1978-01-14,13,"Olivia Newton-John","Olivia Newton-John's Greatest Hits",,
1978-01-14,14,"Billy Joel","The Stranger",21,296449.238095238
1978-01-14,15,Styx,"The Grand Illusion",8,312237.875
1978-01-14,16,Aerosmith,"Draw The Line",9,237785.0
1978-01-14,17,"Debby Boone","You Light Up My Life",12,198186.25
1978-01-14,18,Kansas,"Point Of Know Return",12,252448.583333333
1978-01-14,19,"Randy Newman","Little Criminals",12,192984.166666667
1978-01-14,20,Commodores,"Commodores Live!",12,364219.666666667
1978-01-14,21,LTD,"Something To Love",9,261106.333333333
1978-01-14,22,"Dolly Parton","Here You Come Again",10,178703.6
1978-01-14,23,"Paul Simon","Greatest Hits, Ect.",11,
1978-01-14,24,Foreigner,Foreigner,12,240737.833333333
1978-01-14,25,"George Duke","Reach For It",11,292194.727272727
1978-01-14,26,"Donna Summer","Once Upon A Time",16,256053.625
1978-01-14,27,"Jackson Browne","Running On Empty",10,260547.7
1978-01-14,28,"High Inergy","Turnin' On",,
1978-01-14,29,"Steely Dan",Aja,7,343028.142857143
1978-01-14,30,War,Galaxy,5,383439.6
1978-01-14,31,"Joni Mitchell","Don Juan's Reckless Daughter",10,358365.0
1978-01-14,32,"Eric Clapton",Slowhand,27,280855.407407407
1978-01-14,33,"The Steve Miller Band","Book Of Dreams",,
1978-01-14,34,"Lynyrd Skynyrd","Street Survivors",23,260330.043478261
1978-01-14,35,"Millie Jackson","Feelin Bitchy",11,287607.0
1978-01-14,36,"James Taylor",JT,12,189260.75
1978-01-14,37,"Gino Vannelli","A Pauper In Paridise",,
1978-01-14,38,"Emerson, Lake & Palmer","Works Volume II",,
1978-01-14,39,"Diana Ross","Baby It's Me",10,213145.2
1978-01-14,40,"Santa Esmeralda","Don't Let Me Be Misunderstood",7,483053.428571429
1978-01-14,41,"Shaun Cassidy","Shaun Cassidy",10,181727.2
1978-01-14,42,Parliament,"Funkentelechy Vs. The Placebo Syndrome",6,443361.666666667
1978-01-14,43,"Natalie Cole",Thankful,8,266833.0
1978-01-14,44,"Rita Coolidge",Anytime...anywhere,,
1978-01-14,45,"John Denver","I Want To Live",11,235995.909090909
1978-01-14,46,Player,Player,1,249608.0
1978-01-14,47,"Stevie Wonder","Looking Back",,
1978-01-14,48,"The Salsoul Orchestra","Christmas Jollies",9,316703.444444444
1978-01-14,49,"Bill Withers",Menagerie,9,256205.555555556
1978-01-14,50,Barkays,"Flying High On Your Love",,
1978-01-14,51,Soundtrack,"Close Encounters Of A Third Kind",,
1978-01-14,52,Soundtrack,"Star Wars",28,257901.928571429
1978-01-14,53,"Rose Royce","Rose Royce II/In Full Bloom",,
1978-01-14,54,Soundtrack,"The Story Of Star Wars",,
1978-01-14,55,ConFunkShun,Secrets,,
1978-01-14,56,"Lou Rawls","When You Hear Lou, You've Heard It All",10,225796.666666667
1978-01-14,57,"Grover Washington, Jr.","Live At The Bijou",8,569455.875
1978-01-14,58,"The Blackbyrds",Action,7,288761.714285714
1978-01-14,59,Santana,Moonflower,16,294902.1875
1978-01-14,60,"The Ramones","Rocket To Russia",77,
1978-01-14,61,"The Beatles","Love Songs",12,222003.583333333
1978-01-14,62,"The Babys","Broken Heart",10,225057.0
1978-01-14,63,Chic,Chic,40,272391.575
1978-01-14,64,"Leif Garrett","Leif Garrett",12,193593.0
1978-01-14,65,"Stevie Wonder","Songs In The Key Of Life",21,300142.428571429
1978-01-14,66,"Crystal Gayle","We Must Believe In Magic",10,179463.7
1978-01-14,67,Boston,Boston,8,273423.0
1978-01-14,68,Genesis,"Seconds Out",12,477688.583333333
1978-01-14,69,"Linda Ronstadt","Greatest Hits",17,195693.294117647
1978-01-14,70,"Boz Scaggs","Silk Degrees",13,239546.461538462
1978-01-14,71,"Captain & Tennille","Captain & Tennille's Greatest Hits",12,210838.5
1978-01-14,72,"Bette Midler","Broken Blossom",11,214648.090909091
1978-01-14,73,"Barry Manilow","Barry Manilow Live",23,269442.47826087
1978-01-14,74,"Chuck Mangione","Feels So Good",6,394279.5
1978-01-14,75,"Electric Light Orchestra","A New World Record",9,243371.555555556
1978-01-14,76,"Bob James",Heads,24,184667.041666667
1978-01-14,77,"Bee Gees","Here At Last...Bee Gees...Live",18,281001.333333333
1978-01-14,78,"Gato Barbieri","Ruby, Ruby",8,329736.375
1978-01-14,79,"Steve Martin","Lets Get Small",10,228936.9
1978-01-14,80,"The Spinners","Spinners 8",9,267935.888888889
1978-01-14,81,Odyssey,Odyssey,12,258818.0
1978-01-14,82,Nazareth,"Expect No Mercy",10,212346.3
1978-01-14,83,Carpenters,Passage,8,297269.875
1978-01-14,84,"Johnny Guitar Watson","Funk Beyond The Call Of Duty",,
1978-01-14,85,"Dan Hill","Longer Fuse",10,239394.8
1978-01-14,86,"Elvis Costello","My Aim Is True",13,173642.769230769
1978-01-14,87,"The Trammps","Trammps Iii",8,324613.125
1978-01-14,88,"Tom Petty And The Heartbreakers","Tom Petty + The Heartbreakers",10,224259.7
1978-01-14,89,"James Taylor","Greatest Hits",12,207276.75
1978-01-14,90,Foghat,"Foghat Live",6,425860.5
1978-01-14,91,"Neil Young",Decade,35,266146.423076923
1978-01-14,92,"Joan Armatrading","Show Some Emotion",10,218408.4
1978-01-14,93,"Neil Diamond","Neil Diamond/His 12 Greatest Hits",,
1978-01-14,94,"ZZ Top","The Best Of ZZ Top",38,245646.3
1978-01-14,95,"The Alan Parsons Project","I Robot",24,251897.375
1978-01-14,96,Brick,Brick,34,240830.235294118
1978-01-14,97,"Robin Trower","In City Dreams",9,272704.777777778
1978-01-14,98,"Bing Crosby","Bing Crosby's Greatest Hits",,
1978-01-14,99,"Roberta Flack","Blue Lights In The Basement",10,247782.3
1978-01-14,100,"Bay City Rollers","Greatest Hits",16,194151.1875
1978-01-14,101,"Ohio Players","Mr. Mean",7,342384.428571429
1978-01-14,102,"Little River Band","Diamantina Cocktail",11,233588.727272727
1978-01-14,103,Slave,"The Hardness Of The World",8,291153.0
1978-01-14,104,Heart,"Little Queen",10,234695.7
1978-01-14,105,"The Emotions",Sunshine,14,220868.214285714
1978-01-14,106,"Elton John","Elton John's Greatest Hits, Volume II",17,
1978-01-14,107,Commodores,Commodores,9,261407.0
1978-01-14,108,"Sex Pistols","Never Mind The Bollocks Here's The Sex Pistols",12,194667.583333333
1978-01-14,109,Heatwave,"Too Hot To Handle",9,257460.444444444
1978-01-14,110,"Deniece Williams",Songbird,,
1978-01-14,111,"The Salsoul Orchestra",Cuchi-Cuchi,13,266288.615384615
1978-01-14,112,"Barry White","Barry White Sings For Someone You Love",7,349437.857142857
1978-01-14,113,"Dan Fogelberg","Nether Lands",11,263122.181818182
1978-01-14,114,Pockets,"Come Go With Us",8,267023.125
1978-01-14,115,Meco,"Star Wars & Other Galactic Funk",4,592023.0
1978-01-14,116,"Ramsey Lewis","Tequila Mockingbird",8,300567.875
1978-01-14,117,"Gary Wright","Touch And Gone",9,236558.111111111
1978-01-14,118,"Talking Heads","Talking Heads: 77",16,213942.0625
1978-01-14,119,"Ashford & Simpson","Send It",8,272839.5
1978-01-14,120,Meco,"Encounters Of Every Kind",,
1978-01-14,121,"Joan Baez","Best Of Joan Baez",9,199973.111111111
1978-01-14,122,"Isaac Hayes","New Horizon",5,596135.6
1978-01-14,123,"Patti Austin","Havana Candy",8,278647.875
1978-01-14,124,"Andy Gibb","Flowing Rivers",10,230314.2
1978-01-14,125,"Al Green","The Belle Album",8,295279.75
1978-01-14,126,"The Rolling Stones","Love You Live",18,286640.444444444
1978-01-14,127,"Ray Charles","True To Life",,
1978-01-14,128,"Crosby, Stills & Nash",Csn,14,243770.214285714
1978-01-14,129,America,America/Live,6,241066.333333333
1978-01-14,130,"Meat Loaf","Bat Out Of Hell",7,408818.857142857
1978-01-14,131,"Alice Cooper","The Alice Cooper Show",11,222845.818181818
1978-01-14,132,"El Coco",Cocomotion,,
1978-01-14,133,"The Temptations","Hear To Tempt You",9,269759.888888889
1978-01-14,134,"Dave Mason","Let It Flow",10,225497.5
1978-01-14,135,"Rick Wakeman","Rick Wakeman's Criminal Record",6,394804.0
1978-01-14,136,"Elvis Presley","Elvis In Concert",32,134791.28125
1978-01-14,137,"Thelma Houston","The Devil In Me",9,269253.222222222
1978-01-14,138,"Rick Danko","Rick Danko",19,281394.105263158
1978-01-14,139,"Ted Nugent","Cat Scratch Fever",12,232808.666666667
1978-01-14,140,"The O'Jays","The O'Jays: Collectors' Items",10,
1978-01-14,141,"The Sylvers","New Horizons",,
1978-01-14,142,"Judy Collins","So Early In The Spring - The First 15 Years",,
1978-01-14,143,Chicago,"Chicago XI",13,240022.230769231
1978-01-14,144,"Joe Cocker","Joe Cocker's Greatest Hits",12,249967.583333333
1978-01-14,145,"Donna Summer","I Remember Yesterday",8,277908.0
1978-01-14,146,"The Controllers","In Control",7,313033.857142857
1978-01-14,147,10cc,"Live + Let Live",15,357449.733333333
1978-01-14,148,"Phoebe Snow","Never Letting Go",9,212365.555555556
1978-01-14,149,Soundtrack,"Pete's Dragon",,
1978-01-14,150,"Ozark Mountain Daredevils","Don't Look Down",14,204665.285714286
1978-01-14,151,"Village People","Village People",6,286110.5
1978-01-14,152,"Eddie Money","Eddie Money",10,205046.3
1978-01-14,153,"Saint Tropez","Je Taime",,
1978-01-14,154,"Grace Jones",Portfolio,7,317011.285714286
1978-01-14,155,"Jean Michel Jarre",Oxygene,6,363490.833333333
1978-01-14,156,"Brass Construction","Brass Construction Iii",8,287014.625
1978-01-14,157,"Side Effect","Goin' Bananas",,
1978-01-14,158,Soundtrack,"You Light Up My Life",,
1978-01-14,159,"Pat Travers","Putting It Straight",8,277643.0
1978-01-14,160,"Peter Brown","Fantasy Love Affair",8,280169.625
1978-01-14,161,"Fleetwood Mac","Fleetwood Mac",11,227002.090909091
1978-01-14,162,"The Charlie Daniels Band","Midnight Wind",,
1978-01-14,163,Eagles,"Hotel California",9,340131.666666667
1978-01-14,164,"The New Birth","Behold The Mighty Army",8,312648.0
1978-01-14,165,"KC And The Sunshine Band","Part 3",16,244078.875
1978-01-14,166,"Jon Stewart","Fire In The Wind",,
1978-01-14,167,"Blue Oyster Cult",Spectres,10,243823.8
1978-01-14,168,"Various Artists","Disco Boogie",14,207222.0
1978-01-14,169,"Elvis Presley","Golden Records Vol. 3",12,147984.083333333
1978-01-14,170,"Karla Bonoff","Karla Bonoff",10,216730.5
1978-01-14,171,"Donny & Marie Osmond","Winng Combination",,
1978-01-14,172,"Levon Helm","Levon Helm & The RCO All-Stars",11,
1978-01-14,173,"Elvis Presley","Moody Blue",10,184551.7
1978-01-14,174,"Lynyrd Skynyrd","One More For The Road",,
1978-01-14,175,Styx,Equinox,8,258771.375
1978-01-14,176,"Glen Campbell","Live At The Royal Festival Hall",21,231692.523809524
1978-01-14,177,Soundtrack,"Looking For Mr. Goodbar",,
1978-01-14,178,Detective,"It Takes One To Know One",9,284387.888888889
1978-01-14,179,Mandrill,"We Are One",7,330658.857142857
1978-01-14,180,"Johnny Rivers","Outside Help",,
1978-01-14,181,"Elvis Presley","Elvis' Golden Records",14,146733.071428571
1978-01-14,182,Rush,"A Farewell To Kings",6,403928.666666667
1978-01-14,183,"Jean Luc Ponty","Enigmatic Ocean",11,220948.636363636
1978-01-14,184,Eagles,"Their Greatest Hits 1971-1975",10,259820.4
1978-01-14,185,"Pablo Cruise","A Place In The Sun",9,266058.888888889
1978-01-14,186,"Anne Haslem","Annie In Wonderland",,
1978-01-14,187,"The Doobie Brothers","Livin' On The Fault Line",10,220710.2
1978-01-14,188,Firefall,"Luna Sea",10,242356.375
1978-01-14,189,"The Emotions",Rejoice,9,259467.777777778
1978-01-14,190,"The Steve Miller Band","Fly Like An Eagle",2,213553.0
1978-01-14,191,"Leo Sayer","Thunder In My Heart",7,277803.571428571
1978-01-14,192,"Maynard Ferguson","New Vintage",6,355099.666666667
1978-01-14,193,"David Bowie",Heroes,10,227982.5
1978-01-14,194,"Peter Frampton","I'm In You",9,271913.555555556
1978-01-14,195,"David Bromberg","Reckless Abandon",19,231623.894736842
1978-01-14,196,"Pink Floyd","The Dark Side Of The Moon",10,257363.2
1978-01-14,197,"The Osmonds","The Osmonds Greatest Hits",12,166749.75
1978-01-14,198,"Bob Seger","Night Moves",9,263074.444444444
1978-01-14,199,"Paul McCartney And Wings","Wings Over America",,
1978-01-14,200,"Engelbert Humperdinck","Christmas Tyme",,
1978-01-21,1,Soundtrack,"Saturday Night Fever",21,224416.142857143
1978-01-21,2,"Rod Stewart","Foot Loose + Fancy Free",8,334894.75
1978-01-21,3,"Earth, Wind & Fire","All 'n' All",11,212600.818181818
1978-01-21,4,"Electric Light Orchestra","Out Of The Blue",17,250202.705882353
1978-01-21,5,"Fleetwood Mac",Rumours,58,
1978-01-21,6,"Shaun Cassidy","Born Late",10,192200.9
1978-01-21,7,Queen,"News Of The World",16,222138.0
1978-01-21,8,"Neil Diamond","I'm Glad Your Here With Me Tonight",,
1978-01-21,9,Styx,"The Grand Illusion",8,312237.875
1978-01-21,10,"Billy Joel","The Stranger",21,296449.238095238
1978-01-21,11,"Boz Scaggs","Down Two Then Left",10,257314.4
1978-01-21,12,"Bob Welch","French Kiss",12,181677.5
1978-01-21,13,"Olivia Newton-John","Olivia Newton-John's Greatest Hits",,
1978-01-21,14,Aerosmith,"Draw The Line",9,237785.0
1978-01-21,15,"Linda Ronstadt","Simple Dreams",10,198135.6
1978-01-21,16,KISS,"Alive Ii",20,223676.55
1978-01-21,17,Kansas,"Point Of Know Return",12,252448.583333333
1978-01-21,18,"Randy Newman","Little Criminals",12,192984.166666667
1978-01-21,19,"Jackson Browne","Running On Empty",10,260547.7
