rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Flashdance...What A Feeling,Irene Cara,12550.9541,12430.9541,120,1,25,14,20,1983-04-02,1983-09-17
2,Every Breath You Take,The Police,11805.5286,11685.5286,120,1,22,13,20,1983-06-04,1983-10-29
3,Total Eclipse Of The Heart,Bonnie Tyler,11534.0241,11414.0241,120,1,25,11,18,1983-07-16,1983-12-31
4,Beat It,Michael Jackson,11215.5785,11095.5785,120,1,25,10,18,1983-02-26,1983-08-13
5,Billie Jean,Michael Jackson,10879.0365,10759.0365,120,1,24,11,17,1983-01-22,1983-07-02
6,Sweet Dreams (Are Made Of This),Eurythmics,10859.2879,10739.2879,120,1,26,9,17,1983-05-14,1983-11-05
7,Islands In The Stream,Kenny Rogers Duet,10359.3874,10239.3874,120,1,19,12,17,1983-08-27,1983-12-31
8,Do You Really Want To Hurt Me,Culture Club,10151.8915,10076.8915,75,2,21,9,18,1983-01-01,1983-05-21
9,Making Love Out Of Nothing At All,Air Supply,10034.7681,9959.7681,75,2,23,9,17,1983-07-30,1983-12-31
10,Maniac,Michael Sembello,9890.9173,9770.9173,120,1,22,9,16,1983-06-04,1983-10-29
11,She Works Hard For The Money,Donna Summer,9807.8471,9732.8471,75,3,21,8,17,1983-05-28,1983-10-15
12,Shame On The Moon,Bob Seger,9728.1095,9653.1095,75,2,19,8,17,1983-01-01,1983-05-07
13,Hungry Like The Wolf,Duran Duran,9722.8434,9647.8434,75,3,22,9,16,1983-01-01,1983-05-28
14,Never Gonna Let You Go,Sergio Mendes,9631.2736,9591.2736,40,4,23,8,16,1983-04-16,1983-09-17
15,The Safety Dance,Men,9433.1964,9358.1964,75,3,24,7,16,1983-06-25,1983-12-03
16,Electric Avenue,Eddy Grant,9348.1422,9273.1422,75,2,22,8,15,1983-04-16,1983-09-10
17,Let's Dance,David Bowie,9304.6627,9184.6627,120,1,20,10,14,1983-03-26,1983-08-06
18,Jeopardy,Greg Kihn Band,9245.1133,9170.1133,75,2,22,7,14,1983-01-29,1983-06-25
19,Come On Eileen,Dexys Midnight Runners,9191.6070,9071.6070,120,1,23,6,14,1983-01-22,1983-06-25
20,All Night Long (All Night),Lionel Richie,9170.6230,9050.6230,120,1,16,12,14,1983-09-17,1983-12-31
21,She Blinded Me With Science,Thomas Dolby,8960.9495,8920.9495,40,5,22,8,15,1983-02-19,1983-07-16
22,Mr. Roboto,Styx,8787.5034,8712.5034,75,3,18,8,16,1983-02-12,1983-06-11
23,"Tonight, I Celebrate My Love",Peabo Bryson/roberta Flack,8684.7618,8684.7618,0,16,26,0,15,1983-07-09,1983-12-31
24,Little Red Corvette,Prince,8662.2358,8647.2358,15,6,22,6,15,1983-02-26,1983-07-23
25,You Are,Lionel Richie,8647.1145,8607.1145,40,4,18,4,16,1983-01-15,1983-05-14
26,Down Under,Men At Work,8511.8787,8391.8787,120,1,17,9,14,1983-01-01,1983-04-23
27,Back On The Chain Gang,Pretenders,8475.3645,8435.3645,40,5,21,5,14,1983-01-01,1983-05-21
28,Puttin' On The Ritz,Taco,8429.2643,8389.2643,40,4,21,6,14,1983-06-25,1983-11-12
29,Time (Clock Of The Heart),Culture Club,8428.4661,8353.4661,75,2,18,9,13,1983-04-16,1983-08-13
30,Der Kommissar,After The Fire,8377.4985,8337.4985,40,5,21,5,14,1983-02-12,1983-07-02
31,"Baby, Come To Me",Patti Austin A Duet,8341.7235,8221.7235,120,1,17,9,14,1983-01-01,1983-04-23
32,Twilight Zone,Golden Earring,8336.8150,8321.8150,15,10,22,2,15,1983-01-01,1983-05-28
33,Tell Her About It,Billy Joel,8319.6998,8199.6998,120,1,18,7,15,1983-07-30,1983-11-26
34,Separate Ways (Worlds Apart),Journey,8182.7013,8167.7013,15,8,17,7,16,1983-02-05,1983-05-28
35,True,Spandau Ballet,8138.6459,8098.6459,40,4,18,6,13,1983-08-06,1983-12-03
36,Stand Back,Stevie Nicks,8024.8135,7984.8135,40,5,19,6,14,1983-06-04,1983-10-08
37,One On One,Daryl Hall undefined John Oates,8017.6211,8002.6211,15,7,18,6,15,1983-01-29,1983-05-28
38,We've Got Tonight,Kenny Rogers And Sheena Easton,8012.3400,7997.3400,15,6,18,7,15,1983-01-29,1983-05-28
39,Uptown Girl,Billy Joel,7989.0179,7914.0179,75,3,15,10,13,1983-09-24,1983-12-31
40,Stray Cat Strut,Stray Cats,7953.4306,7878.4306,75,3,18,5,14,1983-01-01,1983-04-30
