rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Too Close,Next,16129.8422,16009.8422,120,1,46,23,45,1998-02-14,1998-12-26
2,You're Still The One,Shania Twain,16097.6087,16022.6087,75,2,42,23,41,1998-02-14,1998-11-28
3,Truly Madly Deeply,Savage Garden,15920.1533,15800.1533,120,1,48,25,48,1998-01-03,1998-11-28
4,The Boy Is Mine,Brandy,15351.4131,15231.4131,120,1,27,18,27,1998-05-30,1998-11-28
5,All My Life,K-ci,14477.7354,14357.7354,120,1,36,12,34,1998-03-28,1998-11-28
6,Together Again,Janet,14036.3185,13916.3185,120,1,44,12,32,1998-01-03,1998-10-31
7,Adia,Sarah Mclachlan,13913.6373,13838.6373,75,3,27,13,27,1998-05-30,1998-11-28
8,My Way,Usher,13738.2897,13663.2897,75,2,24,16,24,1998-06-20,1998-11-28
9,"No, No, No",Destiny's Child,13621.6550,13546.6550,75,3,30,8,29,1998-01-03,1998-07-25
10,Crush,Jennifer Paige,13455.8608,13380.8608,75,3,25,17,23,1998-07-04,1998-12-19
11,This Kiss,Faith Hill,13390.3007,13375.3007,15,7,41,8,32,1998-03-21,1998-12-26
12,How Do I Live,Leann Rimes,13366.2817,13291.2817,75,2,41,11,35,1998-01-03,1998-10-10
13,Gettin' Jiggy Wit It,Will Smith,12816.6978,12696.6978,120,1,32,6,28,1998-02-28,1998-10-03
14,Nice & Slow,Usher,12506.5173,12386.5173,120,1,23,14,22,1998-01-24,1998-06-27
15,The First Night,Monica,12445.0738,12325.0738,120,1,20,16,20,1998-08-15,1998-12-26
16,How's It Going To Be,Third Eye Blind,12256.3828,12241.3828,15,9,48,1,36,1998-01-03,1998-11-28
17,When The Lights Go Out,Five,12240.2911,12225.2911,15,10,26,7,22,1998-06-06,1998-11-28
18,Sex And Candy,Marcy Playground,12141.4082,12126.4082,15,8,28,4,22,1998-04-11,1998-10-17
19,I Don't Want To Wait,Paula Cole,11616.0052,11616.0052,0,11,47,0,37,1998-01-03,1998-11-21
20,Say It,Voices Of Theory,11554.5657,11539.5657,15,10,31,1,22,1998-04-04,1998-10-31
21,Everybody [Backstreet's Back],Backstreet Boys,11425.6606,11385.6606,40,4,22,12,20,1998-04-18,1998-09-12
22,Body Bumpin' Yippie-Yi-Yo,Public Announcement,11135.6591,11095.6591,40,5,22,6,20,1998-02-21,1998-07-18
23,You Make Me Wanna...,Usher,11018.5291,11003.5291,15,6,28,6,21,1998-01-03,1998-07-11
24,Make It Hot,Nicole,10978.5179,10938.5179,40,5,23,6,23,1998-06-27,1998-11-28
25,What You Want,Mase,10795.0113,10780.0113,15,6,24,5,20,1998-01-31,1998-07-11
26,I Want You Back,*nsync,10771.2921,10771.2921,0,13,24,0,21,1998-03-07,1998-08-15
27,Make Em' Say Uhh!,Master P,10714.6379,10714.6379,0,16,27,0,25,1998-01-31,1998-08-01
28,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,10573.7551,10453.7551,120,1,30,5,16,1998-01-03,1998-07-25
29,My All,Mariah Carey,10547.0810,10427.0810,120,1,20,12,18,1998-05-09,1998-09-19
30,They Don't Know,Jon B,10404.8635,10389.8635,15,7,31,4,18,1998-01-31,1998-08-29
31,Never Ever,All Saints,10243.9811,10203.9811,40,4,19,7,19,1998-07-25,1998-11-28
32,Let's Ride,Montell Jordan,10036.7736,9961.7736,75,2,21,8,17,1998-03-07,1998-07-25
33,Deja Vu [Uptown Baby],Lord Tariq,9684.5021,9669.5021,15,9,25,2,18,1998-01-03,1998-06-20
34,My Heart Will Go On,Celine Dion,9622.5416,9502.5416,120,1,20,8,16,1998-02-28,1998-07-11
35,Frozen,Madonna,9602.0066,9527.0066,75,2,20,8,16,1998-03-21,1998-08-01
36,Gone Till November,Wyclef Jean,9575.8433,9560.8433,15,7,20,6,18,1998-02-07,1998-06-20
37,Looking Through Your Eyes,Leann Rimes,9539.5481,9539.5481,0,18,24,0,21,1998-04-18,1998-09-26
38,I Don't Ever Want To See You Again,Uncle Sam,9501.6954,9486.6954,15,6,20,6,18,1998-01-03,1998-05-16
39,Kiss The Rain,Billie Myers,9161.3207,9161.3207,0,15,23,0,18,1998-01-03,1998-06-06
40,Lately,Divine,9154.0757,9034.0757,120,1,16,10,16,1998-09-12,1998-12-26
