rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Everybody Wants To Rule The World,Tears For Fears,9414.9419,9294.9419,120,1,24,8,14,1985-03-16,1985-08-24
2,Everytime You Go Away,Paul Young,9410.2939,9290.2939,120,1,23,8,15,1985-05-11,1985-10-12
3,Take On Me,A-ha,9396.2588,9276.2588,120,1,25,7,15,1985-07-13,1985-12-28
4,Cherish,Kool,9274.0687,9199.0687,75,2,25,7,15,1985-07-06,1985-12-21
5,Crazy For You,Madonna,9190.0509,9070.0509,120,1,21,9,14,1985-03-02,1985-07-20
6,Money For Nothing,Dire Straits,9047.7821,8927.7821,120,1,22,8,13,1985-07-13,1985-12-07
7,Careless Whisper,Wham!,9033.5432,8913.5432,120,1,19,9,15,1985-01-05,1985-05-11
8,Don't You (Forget About Me),Simple Minds,8796.3617,8676.3617,120,1,22,8,14,1985-02-23,1985-07-20
9,The Power Of Love,Huey Lewis,8764.2323,8644.2323,120,1,19,8,15,1985-06-29,1985-11-02
10,Saving All My Love For You,Whitney Houston,8631.1235,8511.1235,120,1,20,7,15,1985-08-17,1985-12-28
11,Can't Fight This Feeling,Reo Speedwagon,8609.9933,8489.9933,120,1,18,8,14,1985-01-19,1985-05-18
12,St. Elmo's Fire (Man In Motion),John Parr,8562.8249,8442.8249,120,1,22,7,14,1985-06-22,1985-11-16
13,Part-Time Lover,Stevie Wonder,8482.1600,8362.1600,120,1,17,8,14,1985-09-07,1985-12-28
14,Everything She Wants,Wham!,8444.9689,8324.9689,120,1,20,6,14,1985-03-23,1985-08-03
15,The Heat Is On,Glenn Frey,8410.4482,8335.4482,75,2,20,6,13,1985-01-05,1985-05-18
16,Rhythm Of The Night,Debarge,8389.6737,8314.6737,75,3,22,7,14,1985-02-16,1985-07-13
17,Heaven,Bryan Adams,8354.1639,8234.1639,120,1,19,6,14,1985-04-20,1985-08-24
18,Things Can Only Get Better,Howard Jones,8314.4631,8274.4631,40,5,23,6,14,1985-03-23,1985-08-24
19,Lover Girl,Teena Marie,8281.4052,8241.4052,40,4,21,5,13,1985-01-05,1985-05-25
20,Oh Sheila,Ready For The World,8266.6957,8146.6957,120,1,21,6,13,1985-08-03,1985-12-21
21,Shout,Tears For Fears,8254.9059,8134.9059,120,1,19,7,13,1985-06-15,1985-10-19
