rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Sad Eyes,Robert John,11193.3421,11073.3421,120,1,27,9,19,1979-05-19,1979-11-17
2,I Will Survive,Gloria Gaynor,10879.8265,10759.8265,120,1,24,13,17,1979-01-06,1979-06-16
3,Hot Stuff,Donna Summer,10865.3966,10745.3966,120,1,21,14,17,1979-04-21,1979-09-08
4,I'll Never Love This Way Again,Dionne Warwick,10375.4067,10335.4067,40,5,24,9,17,1979-06-23,1979-12-01
5,Pop Muzik,M,10372.6872,10252.6872,120,1,21,9,19,1979-08-11,1979-12-29
6,My Sharona,The Knack,10320.6905,10200.6905,120,1,22,12,16,1979-06-23,1979-11-17
7,Da Ya Think I'm Sexy?,Rod Stewart,9741.4902,9621.4902,120,1,19,12,16,1979-01-06,1979-05-12
8,Rise,Herb Alpert,9713.3380,9593.3380,120,1,23,9,15,1979-07-28,1979-12-29
9,Bad Girls,Donna Summer,9648.9999,9528.9999,120,1,20,10,15,1979-05-26,1979-10-06
10,Reunited,Peaches,9498.7051,9378.7051,120,1,23,10,15,1979-03-17,1979-08-18
11,Ring My Bell,Anita Ward,9304.2632,9184.2632,120,1,21,11,15,1979-05-12,1979-09-29
12,Makin' It,David Naughton,9289.1006,9249.1006,40,5,24,6,16,1979-03-31,1979-09-08
13,When You're In Love With A Beautiful Woman,Dr. Hook,9207.5379,9192.5379,15,6,25,4,16,1979-04-14,1979-09-29
14,Stumblin' In,Suzi Quatro,8844.8590,8804.8590,40,4,22,7,15,1979-01-27,1979-06-23
15,What A Fool Believes,The Doobie Brothers,8829.5161,8709.5161,120,1,20,9,14,1979-01-20,1979-06-02
16,Good Times,Chic,8815.1366,8695.1366,120,1,19,9,14,1979-06-16,1979-10-20
17,Dim All The Lights,Donna Summer,8757.2613,8682.2613,75,2,19,9,14,1979-08-25,1979-12-29
18,Heart Of Glass,Blondie,8685.7950,8565.7950,120,1,21,7,14,1979-02-17,1979-07-07
19,Lead Me On,Maxine Nightingale,8643.4189,8603.4189,40,5,23,5,14,1979-05-26,1979-10-27
20,Shake Your Body (Down To The Ground),The Jacksons,8539.6448,8524.6448,15,7,22,5,14,1979-02-17,1979-07-14
21,Please Don't Go,Kc And The Sunshine Band,8414.2203,8339.2203,75,2,19,8,14,1979-08-25,1979-12-29
22,Knock On Wood,Amii Stewart,8391.6846,8271.6846,120,1,20,6,14,1979-01-27,1979-06-09
23,Heaven Must Have Sent You,Bonnie Pointer,8096.6325,8096.6325,0,11,23,0,15,1979-06-16,1979-11-17
24,The Logical Song,Supertramp,8055.6738,8040.6738,15,6,21,6,13,1979-03-24,1979-08-11
25,After The Love Has Gone,"Earth, Wind",7973.7218,7898.7218,75,2,17,9,13,1979-07-07,1979-10-27
26,Just When I Needed You Most,Randy Vanwarmer,7960.9935,7920.9935,40,4,20,6,14,1979-03-24,1979-08-04
27,A Little More Love,Olivia Newton-john,7944.1951,7869.1951,75,3,14,10,13,1979-01-06,1979-04-07
28,Tragedy,Bee Gees,7937.7758,7817.7758,120,1,20,9,13,1979-02-10,1979-06-23
29,The Main Event/Fight,Barbra Streisand,7870.2802,7795.2802,75,3,17,7,13,1979-06-16,1979-10-06
30,Don't Stop 'Til You Get Enough,Michael Jackson,7795.7272,7675.7272,120,1,21,6,12,1979-07-28,1979-12-15
31,Fire,The Pointer Sisters,7788.2688,7713.2688,75,2,15,8,13,1979-01-06,1979-04-14
32,Le Freak,Chic,7752.4612,7632.4612,120,1,15,9,12,1979-01-06,1979-04-14
33,Lonesome Loser,Little River Band,7730.6344,7715.6344,15,6,18,6,14,1979-07-21,1979-11-17
34,Still,Commodores,7725.5377,7605.5377,120,1,14,11,12,1979-09-29,1979-12-29
35,Shake Your Groove Thing,Peaches,7677.4300,7637.4300,40,5,19,5,13,1979-01-06,1979-05-12
36,Y.M.C.A.,Village People,7673.9130,7598.9130,75,2,15,10,12,1979-01-06,1979-04-14
37,You Can't Change That,Raydio,7633.1315,7618.1315,15,9,22,2,14,1979-04-28,1979-09-22
38,I Want You To Want Me,Cheap Trick,7588.6408,7573.6408,15,7,19,5,13,1979-04-28,1979-09-01
39,Love You Inside Out,Bee Gees,7587.7342,7467.7342,120,1,19,5,13,1979-04-21,1979-08-25
40,Heaven Knows,Donna Summer,7575.8443,7535.8443,40,4,19,5,14,1979-01-13,1979-05-19
41,Mama Can't Buy You Love,Elton John,7437.2747,7422.2747,15,9,18,3,14,1979-06-09,1979-10-06
42,In The Navy,Village People,7423.7609,7348.7609,75,3,18,6,13,1979-03-17,1979-07-14
43,She Believes In Me,Kenny Rogers,7411.1103,7371.1103,40,5,16,7,13,1979-04-28,1979-08-11
44,Goodnight Tonight,Wings,7374.8831,7334.8831,40,5,16,6,13,1979-03-31,1979-07-14
45,Heartache Tonight,Eagles,7332.7078,7212.7078,120,1,13,9,12,1979-10-06,1979-12-29
46,The Devil Went Down To Georgia,The Charlie Daniels Band,7278.1683,7203.1683,75,3,18,7,12,1979-06-23,1979-10-20
47,We Are Family,Sister Sledge,7262.8373,7187.8373,75,2,19,7,11,1979-04-28,1979-09-01
48,Babe,Styx,7193.3014,7073.3014,120,1,13,9,11,1979-10-06,1979-12-29
49,Gold,John Stewart,7177.0012,7137.0012,40,5,18,5,13,1979-05-19,1979-09-15
50,Music Box Dancer,Frank Mills,7167.3446,7092.3446,75,3,20,5,12,1979-01-27,1979-06-09
51,Lady,Little River Band,7164.3387,7149.3387,15,10,20,2,14,1979-01-06,1979-05-19
52,He's The Greatest Dancer,Sister Sledge,7154.9551,7139.9551,15,9,19,3,13,1979-02-10,1979-06-16
53,Sail On,Commodores,7034.7780,6994.7780,40,4,17,7,12,1979-08-11,1979-12-01
54,Sultans Of Swing,Dire Straits,6958.7169,6918.7169,40,4,15,7,12,1979-02-10,1979-05-19
55,Boogie Wonderland,"Earth, Wind",6949.5766,6934.5766,15,6,16,6,12,1979-05-12,1979-08-25
56,Chuck E.'s In Love,Rickie Lee Jones,6876.4456,6836.4456,40,4,15,6,12,1979-04-28,1979-08-04
57,Don't Bring Me Down,Electric Light Orchestra,6823.9425,6783.9425,40,4,15,6,11,1979-08-04,1979-11-10
58,Don't Cry Out Loud,Melissa Manchester,6762.1013,6747.1013,15,10,16,1,14,1979-01-06,1979-04-21
59,Rock 'n' Roll Fantasy,Bad Company,6661.3290,6661.3290,0,13,20,0,12,1979-03-17,1979-07-28
60,You Decorated My Life,Kenny Rogers,6659.6600,6644.6600,15,7,17,5,12,1979-09-08,1979-12-29
61,Take Me Home,Cher,6647.6031,6632.6031,15,8,19,3,11,1979-02-10,1979-06-16
62,"Lovin', Touchin', Squeezin'",Journey,6598.5402,6598.5402,0,16,20,0,12,1979-07-21,1979-12-01
63,I Want Your Love,Chic,6591.7239,6576.7239,15,7,19,4,12,1979-02-10,1979-06-16
64,You're Only Lonely,J.d. Souther,6558.3743,6543.3743,15,7,17,4,11,1979-09-08,1979-12-29
65,What You Won't Do For Love,Bobby Caldwell,6505.0312,6490.0312,15,9,18,3,12,1979-01-06,1979-05-05
66,Shine A Little Love,Electric Light Orchestra,6435.1617,6420.1617,15,8,15,3,11,1979-05-19,1979-08-25
67,Love Is The Answer,England Dan,6336.0417,6321.0417,15,10,18,2,10,1979-03-10,1979-07-07
68,Ain't No Stoppin' Us Now,Mcfadden,6335.5681,6335.5681,0,13,18,0,11,1979-04-28,1979-08-25
69,Lotta Love,Nicolette Larson,6289.6888,6274.6888,15,8,13,4,12,1979-01-06,1979-03-31
70,Renegade,Styx,6240.9844,6240.9844,0,16,19,0,13,1979-03-17,1979-07-21
71,No More Tears (Enough Is Enough),Barbra Streisand/donna Summer,6209.1937,6089.1937,120,1,11,9,10,1979-10-20,1979-12-29
72,I Just Fall In Love Again,Anne Murray,6201.5097,6201.5097,0,12,16,0,12,1979-01-27,1979-05-12
73,Born To Be Alive,Patrick Hernandez,6167.8664,6167.8664,0,16,19,0,11,1979-06-23,1979-10-27
74,I Was Made For Lovin' You,Kiss,6102.2616,6102.2616,0,11,16,0,11,1979-05-26,1979-09-08
75,Disco Nights (Rock-Freak),G.q,5983.5757,5983.5757,0,12,18,0,11,1979-03-17,1979-07-14
76,Good Girls Don't,The Knack,5973.0845,5973.0845,0,11,16,0,11,1979-09-01,1979-12-15
77,Broken Hearted Me,Anne Murray,5811.5366,5811.5366,0,12,15,0,11,1979-09-22,1979-12-29
78,This Night Won't Last Forever,Michael Johnson,5765.2294,5765.2294,0,19,20,0,9,1979-08-04,1979-12-15
79,Tusk,Fleetwood Mac,5690.2231,5675.2231,15,8,13,5,10,1979-10-06,1979-12-29
80,Too Much Heaven,Bee Gees,5670.1402,5550.1402,120,1,14,6,10,1979-01-06,1979-04-07
81,Ships,Barry Manilow,5657.0414,5642.0414,15,9,12,2,11,1979-10-13,1979-12-29
82,You Take My Breath Away,Rex Smith,5631.4782,5616.4782,15,10,16,2,10,1979-04-21,1979-08-04
83,Got To Be Real,Cheryl Lynn,5599.7716,5599.7716,0,12,13,0,12,1979-01-06,1979-03-31
84,I Was Made For Dancin',Leif Garrett,5554.3857,5539.3857,15,10,13,2,11,1979-01-06,1979-03-31
85,Suspicions,Eddie Rabbitt,5473.7447,5473.7447,0,13,17,0,10,1979-06-09,1979-09-29
86,Take The Long Way Home,Supertramp,5298.4132,5283.4132,15,10,12,3,9,1979-10-13,1979-12-29
87,Every Time I Think Of You,The Babys,5294.2435,5294.2435,0,13,16,0,10,1979-01-06,1979-04-21
88,Get Used To It,Roger Voudouris,5292.3697,5292.3697,0,21,19,0,10,1979-03-17,1979-07-21
89,Cruel To Be Kind,Nick Lowe,5290.0311,5290.0311,0,12,15,0,10,1979-07-28,1979-11-03
90,The Gambler,Kenny Rogers,5260.2610,5260.2610,0,16,13,0,11,1979-01-06,1979-03-31
91,If You Remember Me,Chris Thompson,5221.7804,5221.7804,0,17,19,0,8,1979-08-25,1979-12-29
92,"Bad Case Of Loving You (Doctor, Doctor)",Robert Palmer,5190.9710,5190.9710,0,14,15,0,10,1979-07-21,1979-10-27
93,Somewhere In The Night,Barry Manilow,5040.3453,5025.3453,15,9,12,2,10,1979-01-06,1979-03-24
94,Dance The Night Away,Van Halen,5040.1893,5040.1893,0,15,15,0,9,1979-04-28,1979-08-04
95,I Know A Heartache When I See One,Jennifer Warnes,5039.8620,5039.8620,0,19,22,0,8,1979-06-30,1979-11-24
96,I Got My Mind Made Up (You Can Get It Girl),Instant Funk,4978.3787,4978.3787,0,20,18,0,8,1979-02-17,1979-06-16
97,The Boss,Diana Ross,4964.5903,4964.5903,0,19,16,0,9,1979-07-14,1979-10-27
98,Escape (The Pina Colada Song),Rupert Holmes,4926.5752,4806.5752,120,1,11,5,8,1979-10-20,1979-12-29
99,Let's Go,The Cars,4918.6124,4918.6124,0,14,15,0,9,1979-06-30,1979-10-06
100,Send One Your Love,Stevie Wonder,4892.0405,4852.0405,40,4,9,6,8,1979-11-03,1979-12-29
