rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,One Dance,Drake,16100.9358,15980.9358,120,1,36,20,34,2016-04-23,2016-12-24
2,Love Yourself,Justin Bieber,15858.3018,15738.3018,120,1,37,20,34,2016-01-02,2016-09-10
3,Don't Let Me Down,The Chainsmokers,15680.8763,15605.8763,75,3,44,23,38,2016-02-27,2016-12-31
4,Cheap Thrills,Sia,15440.5773,15320.5773,120,1,44,18,32,2016-03-05,2016-12-31
5,Work,Rihanna,15381.2685,15261.2685,120,1,36,18,33,2016-02-13,2016-10-15
6,Heathens,Twenty One Pilots,15320.9740,15245.9740,75,2,26,18,26,2016-07-09,2016-12-31
7,This Is What You Came For,Calvin Harris,15309.1402,15234.1402,75,3,32,19,32,2016-05-21,2016-12-24
8,Panda,Desiigner,15123.2201,15003.2201,120,1,40,17,32,2016-03-12,2016-12-10
9,Can't Stop The Feeling!,Justin Timberlake,15095.1141,14975.1141,120,1,32,15,32,2016-05-28,2016-12-31
10,Stressed Out,Twenty One Pilots,15042.8218,14967.8218,75,2,40,14,40,2016-01-02,2016-10-01
11,7 Years,Lukas Graham,14605.0351,14530.0351,75,2,36,15,27,2016-02-06,2016-10-08
12,Work From Home,Fifth Harmony,14572.9507,14532.9507,40,4,34,15,31,2016-03-19,2016-11-05
13,Needed Me,Rihanna,14481.2382,14466.2382,15,7,45,16,33,2016-02-20,2016-12-24
14,I Took A Pill In Ibiza,Mike Posner,14382.7875,14342.7875,40,4,37,14,30,2016-02-06,2016-10-15
15,Sorry,Justin Bieber,14365.9239,14245.9239,120,1,35,14,30,2016-01-02,2016-08-27
16,Ride,Twenty One Pilots,14020.1941,13980.1941,40,5,39,13,30,2016-04-02,2016-12-24
17,My House,Flo Rida,14003.5071,13963.5071,40,4,34,11,32,2016-01-02,2016-08-20
18,"Me, Myself & I",G-eazy X Bebe Rexha,13338.3983,13323.3983,15,7,31,12,28,2016-01-02,2016-07-30
19,Treat You Better,Shawn Mendes,13279.9830,13264.9830,15,6,28,8,26,2016-06-25,2016-12-31
20,Cake By The Ocean,Dnce,13201.4286,13186.4286,15,9,38,7,30,2016-01-02,2016-09-17
21,Pillowtalk,Zayn,13045.2525,12925.2525,120,1,24,16,23,2016-02-20,2016-07-30
22,Closer,The Chainsmokers,13026.6735,12906.6735,120,1,20,20,20,2016-08-20,2016-12-31
23,Send My Love (To Your New Lover),Adele,12935.2062,12920.2062,15,8,26,8,26,2016-06-11,2016-12-03
24,Broccoli,D.r.a.m,12765.7153,12725.7153,40,5,27,11,23,2016-07-02,2016-12-31
25,Cold Water,Major Lazer,12272.8380,12197.8380,75,2,21,14,21,2016-08-13,2016-12-31
26,I Hate U I Love U,Gnash,11576.6915,11561.6915,15,10,35,2,22,2016-05-07,2016-12-31
27,Too Good,Drake,11558.0168,11558.0168,0,14,29,0,25,2016-05-21,2016-12-03
28,Let Me Love You,Dj Snake,11206.6718,11166.6718,40,4,19,14,19,2016-08-27,2016-12-31
29,Stitches,Shawn Mendes,11201.4799,11186.4799,15,6,23,7,21,2016-01-02,2016-06-04
30,Just Like Fire,P!nk,11066.0373,11051.0373,15,10,26,2,21,2016-05-07,2016-10-29
31,Controlla,Drake,10896.5763,10896.5763,0,16,26,0,23,2016-05-21,2016-11-12
32,Hello,Adele,10828.4566,10708.4566,120,1,19,11,19,2016-01-02,2016-05-07
33,Roses,The Chainsmokers,10819.1617,10804.1617,15,6,23,6,19,2016-01-02,2016-06-04
34,Dangerous Woman,Ariana Grande,10306.2877,10291.2877,15,8,21,2,20,2016-04-02,2016-08-20
35,Low Life,Future,10192.5767,10192.5767,0,18,35,0,22,2016-02-27,2016-10-22
36,Don't,Bryson Tiller,10018.8804,10018.8804,0,13,23,0,19,2016-01-02,2016-06-04
37,One Call Away,Charlie Puth,9844.5936,9844.5936,0,12,24,0,19,2016-01-02,2016-06-11
38,Never Forget You,Zara Larsson,9791.3764,9791.3764,0,13,23,0,20,2016-03-05,2016-08-06
39,Gold,Kiiara,9711.3875,9711.3875,0,13,27,0,18,2016-06-11,2016-12-10
40,Let It Go,James Bay,9568.5202,9568.5202,0,16,34,0,21,2016-01-09,2016-08-27
41,H.O.L.Y.,Florida Georgia Line,9533.8486,9533.8486,0,14,22,0,19,2016-05-21,2016-10-15
42,Oui,Jeremih,9349.7689,9349.7689,0,19,27,0,18,2016-01-23,2016-07-23
43,We Don't Talk Anymore,Charlie Puth,9307.3256,9292.3256,15,9,24,2,16,2016-02-20,2016-12-03
44,Jumpman,Drake,9148.4709,9148.4709,0,12,20,0,19,2016-01-02,2016-05-14
45,Unsteady,X Ambassadors,9120.6628,9120.6628,0,20,31,0,16,2016-06-04,2016-12-31
46,Into You,Ariana Grande,9040.7037,9040.7037,0,13,24,0,14,2016-05-28,2016-11-12
47,Side To Side,Ariana Grande,8975.5336,8935.5336,40,4,16,10,16,2016-09-17,2016-12-31
48,2 Phones,Kevin Gates,8887.9099,8887.9099,0,17,25,0,17,2016-01-23,2016-07-09
49,Don't Mind,Kent Jones,8850.7193,8835.7193,15,8,20,6,16,2016-05-21,2016-10-01
50,Exchange,Bryson Tiller,8739.5849,8739.5849,0,26,27,0,17,2016-01-02,2016-07-02
51,For Free,Dj Khaled,8693.3644,8693.3644,0,13,20,0,18,2016-06-25,2016-11-05
52,Hands To Myself,Selena Gomez,8581.0638,8566.0638,15,7,19,1,16,2016-01-02,2016-05-07
53,The Hills,The Weeknd,8535.3580,8520.3580,15,7,19,2,17,2016-01-02,2016-05-07
54,Hotline Bling,Drake,8463.7105,8388.7105,75,3,17,6,16,2016-01-02,2016-04-23
55,Starboy,The Weeknd,8124.4152,8049.4152,75,2,13,12,13,2016-10-08,2016-12-31
56,No,Meghan Trainor,8086.3578,8011.3578,75,3,20,5,12,2016-03-26,2016-08-06
57,Sucker For Pain,"Lil Wayne, Wiz Khalifa",8010.6668,8010.6668,0,15,22,0,17,2016-07-16,2016-12-10
58,Never Be Like You,Flume,7963.6558,7963.6558,0,20,26,0,15,2016-04-23,2016-10-15
59,Me Too,Meghan Trainor,7828.7299,7828.7299,0,13,20,0,15,2016-06-04,2016-10-15
60,Starving,Hailee Steinfeld,7814.6972,7814.6972,0,12,20,0,15,2016-08-20,2016-12-31
61,Close,Nick Jonas,7708.7845,7708.7845,0,14,20,0,16,2016-04-16,2016-08-27
62,What Do You Mean?,Justin Bieber,7666.5858,7626.5858,40,5,16,6,15,2016-01-02,2016-04-16
63,Same Old Love,Selena Gomez,7552.8727,7512.8727,40,5,15,7,13,2016-01-02,2016-04-09
64,Luv,Tory Lanez,7466.2558,7466.2558,0,19,22,0,15,2016-07-16,2016-12-10
65,Here,Alessia Cara,7431.8475,7391.8475,40,5,15,7,14,2016-01-02,2016-04-09
66,Down In The DM,Yo Gotti,7320.8114,7320.8114,0,13,19,0,16,2016-01-02,2016-05-07
67,Like I'm Gonna Lose You,Meghan Trainor,7113.6403,7098.6403,15,9,16,5,12,2016-01-02,2016-04-16
68,In The Night,The Weeknd,6939.6776,6939.6776,0,12,15,0,13,2016-01-02,2016-04-09
69,Hymn For The Weekend,Coldplay,6804.0640,6804.0640,0,25,23,0,12,2016-02-20,2016-11-19
70,Black Beatles,Rae Sremmurd,6707.1854,6587.1854,120,1,14,7,11,2016-10-01,2016-12-31
71,Die A Happy Man,Thomas Rhett,6677.8600,6677.8600,0,21,18,0,13,2016-01-02,2016-04-30
72,679,Fetty Wap,6672.8781,6672.8781,0,11,16,0,16,2016-01-02,2016-04-16
73,Sorry,Beyonce,6623.5654,6623.5654,0,11,20,0,13,2016-05-14,2016-09-24
74,The Greatest,Sia,6509.5561,6509.5561,0,18,15,0,14,2016-09-24,2016-12-31
75,Lost Boy,Ruth B,6434.6090,6434.6090,0,24,22,0,10,2016-03-12,2016-08-06
76,Tiimmy Turner,Desiigner,6375.7805,6375.7805,0,34,20,0,14,2016-08-13,2016-12-24
77,Say It,Tory Lanez,6272.5512,6272.5512,0,23,16,0,15,2016-01-02,2016-04-16
78,"Sit Still, Look Pretty",Daya,6227.9402,6227.9402,0,28,24,0,13,2016-06-18,2016-11-26
79,White Iverson,Post Malone,6219.1498,6219.1498,0,14,16,0,10,2016-01-02,2016-04-16
80,Middle,Dj Snake,6207.2416,6207.2416,0,20,21,0,11,2016-02-06,2016-06-25
81,24K Magic,Bruno Mars,6173.2155,6133.2155,40,4,10,10,10,2016-10-29,2016-12-31
82,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,6102.1521,6062.1521,40,5,12,8,10,2016-10-08,2016-12-31
83,Ex's & Oh's,Elle King,5785.8756,5785.8756,0,14,15,0,13,2016-01-02,2016-04-09
84,When We Were Young,Adele,5755.6009,5755.6009,0,14,17,0,9,2016-01-02,2016-04-23
85,Hide Away,Daya,5642.1079,5642.1079,0,23,15,0,11,2016-01-02,2016-04-09
86,Back To Sleep,Chris Brown,5622.3364,5622.3364,0,20,20,0,7,2016-01-02,2016-05-14
87,Caroline,Amine,5572.4981,5572.4981,0,12,15,0,10,2016-09-24,2016-12-31
88,OOOUUU,Young M.a,5546.7725,5546.7725,0,19,16,0,11,2016-09-17,2016-12-31
89,Pop Style,Drake,5542.9932,5542.9932,0,16,20,0,9,2016-04-23,2016-09-03
90,Scars To Your Beautiful,Alessia Cara,5472.9060,5472.9060,0,13,16,0,9,2016-09-17,2016-12-31
91,Don't Wanna Know,Maroon 5,5335.9905,5320.9905,15,7,10,7,9,2016-10-29,2016-12-31
92,In The Name Of Love,Martin Garrix,5303.2632,5303.2632,0,24,18,0,8,2016-09-03,2016-12-31
93,Chill Bill,Rob $tone,5232.9830,5232.9830,0,29,20,0,10,2016-08-20,2016-12-31
94,Can't Feel My Face,The Weeknd,5182.3596,5182.3596,0,15,14,0,10,2016-01-02,2016-04-02
95,Antidote,Travis Scott,5166.8665,5166.8665,0,16,12,0,11,2016-01-02,2016-03-19
96,No Limit,Usher,5019.2105,5019.2105,0,32,20,0,9,2016-07-16,2016-11-26
97,Setting The World On Fire,Kenny Chesney,4937.8665,4937.8665,0,29,20,0,9,2016-08-20,2016-12-31
98,All The Way Up,"Fat Joe, Remy Ma",4870.0348,4870.0348,0,27,20,0,8,2016-04-16,2016-08-27
99,All In My Head (Flex),Fifth Harmony,4846.3567,4846.3567,0,24,18,0,10,2016-07-09,2016-11-05
100,Cut It,O.t. Genasis,4731.0804,4731.0804,0,35,20,0,8,2016-03-12,2016-07-23
