rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Wooly Bully,Sam The Sham And The Pharaohs,8598.1542,8523.1542,75,2,18,9,14,1965-04-03,1965-07-31
2,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,7789.2068,7669.2068,120,1,14,10,13,1965-05-15,1965-08-14
3,You've Lost That Lovin' Feelin',The Righteous Brothers,7740.5198,7620.5198,120,1,13,9,12,1965-01-02,1965-03-27
4,(I Can't Get No) Satisfaction,The Rolling Stones,7686.3414,7566.3414,120,1,14,9,12,1965-06-12,1965-09-11
5,Downtown,Petula Clark,7640.5828,7520.5828,120,1,13,9,13,1965-01-02,1965-03-27
6,You Were On My Mind,We Five,7254.1805,7179.1805,75,3,15,6,13,1965-07-24,1965-10-30
7,Help!,The Beatles,7137.6324,7017.6324,120,1,13,6,12,1965-08-07,1965-10-30
8,"The ""In"" Crowd",Ramsey Lewis Trio,6965.8854,6925.8854,40,5,16,6,12,1965-07-31,1965-11-13
9,My Girl,The Temptations,6955.5412,6835.5412,120,1,13,8,11,1965-01-16,1965-04-10
10,Can't You Hear My Heartbeat,Herman's Hermits,6784.8057,6709.8057,75,2,15,6,11,1965-01-30,1965-05-08
11,Crying In The Chapel,Elvis Presley,6753.9260,6678.9260,75,3,14,7,11,1965-04-24,1965-07-24
12,Hang On Sloopy,The Mccoys,6748.1804,6628.1804,120,1,14,7,11,1965-08-14,1965-11-13
13,"Help Me, Rhonda",The Beach Boys,6710.9499,6590.9499,120,1,14,7,11,1965-04-17,1965-07-17
14,King Of The Road,Roger Miller,6707.5943,6667.5943,40,4,13,7,12,1965-01-30,1965-04-24
15,Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,6686.1903,6566.1903,120,1,11,7,11,1965-04-17,1965-06-26
16,This Diamond Ring,Gary Lewis And The Playboys,6685.8702,6565.8702,120,1,12,9,11,1965-01-16,1965-04-03
17,The Birds And The Bees,Jewel Akens,6575.1313,6500.1313,75,3,14,6,12,1965-01-23,1965-04-24
18,Get Off Of My Cloud,The Rolling Stones,6519.2969,6399.2969,120,1,12,6,11,1965-10-09,1965-12-25
19,Stop! In The Name Of Love,The Supremes,6509.3020,6389.3020,120,1,12,8,10,1965-02-20,1965-05-08
20,I Got You Babe,Sonny,6492.8108,6372.8108,120,1,14,7,10,1965-07-10,1965-10-09
21,A Lover's Concerto,The Toys,6466.6963,6391.6963,75,2,15,6,11,1965-09-11,1965-12-18
22,Shotgun,Jr. Walker,6354.4397,6314.4397,40,4,14,6,10,1965-02-13,1965-05-15
23,1-2-3,Len Barry,6343.7202,6268.7202,75,2,14,7,10,1965-09-25,1965-12-25
24,Taste Of Honey,Herb Alpert,6218.6469,6203.6469,15,7,14,6,11,1965-09-25,1965-12-25
25,Mr. Tambourine Man,The Byrds,6202.4249,6082.4249,120,1,13,7,10,1965-05-15,1965-08-07
26,Unchained Melody,The Righteous Brothers,6148.0163,6108.0163,40,4,13,5,11,1965-07-17,1965-10-09
27,"Hold Me, Thrill Me, Kiss Me",Mel Carter,6110.0127,6095.0127,15,8,15,2,11,1965-06-26,1965-10-02
28,I'll Never Find Another You,The Seekers,6107.2042,6067.2042,40,4,13,6,10,1965-03-27,1965-06-19
29,Yesterday,The Beatles,6093.7174,5973.7174,120,1,11,6,9,1965-09-25,1965-12-04
30,"Cara, Mia",Jay,6087.8729,6047.8729,40,4,13,5,11,1965-06-05,1965-08-28
31,Let's Hang On!,The 4 Seasons,6068.6104,5993.6104,75,3,12,7,9,1965-10-09,1965-12-25
32,Silhouettes,Herman's Hermits,6055.7467,6015.7467,40,5,13,5,10,1965-04-03,1965-06-26
33,Eve Of Destruction,Barry Mcguire,5975.1016,5855.1016,120,1,11,7,10,1965-08-21,1965-10-30
34,Keep On Dancing,The Gentrys,5948.1761,5908.1761,40,4,13,4,11,1965-09-11,1965-12-04
35,Ticket To Ride,The Beatles,5875.0346,5755.0346,120,1,11,6,9,1965-04-24,1965-07-03
36,What's New Pussycat?,Tom Jones,5838.5010,5763.5010,75,3,12,5,10,1965-06-19,1965-09-04
37,Rescue Me,Fontella Bass,5829.8359,5789.8359,40,4,13,6,10,1965-10-02,1965-12-25
38,"Yes, I'm Ready",Barbara Mason,5762.0050,5722.0050,40,5,14,6,10,1965-05-15,1965-08-14
39,Game Of Love,Wayne Fontana,5718.9644,5598.9644,120,1,11,5,10,1965-03-20,1965-05-29
40,Back In My Arms Again,The Supremes,5673.8195,5553.8195,120,1,11,5,10,1965-05-01,1965-07-10
