rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Old Town Road,Lil Nas X,16796.7289,16676.7289,120,1,42,26,39,2019-03-16,2019-12-28
2,Bad Guy,Billie Eilish,16431.8267,16311.8267,120,1,38,30,38,2019-04-13,2019-12-28
3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone,16386.8710,16266.8710,120,1,44,30,44,2019-01-05,2019-11-02
4,Senorita,Shawn Mendes,16259.7290,16139.7290,120,1,26,23,26,2019-07-06,2019-12-28
5,Truth Hurts,Lizzo,15995.8782,15875.8782,120,1,33,22,31,2019-05-18,2019-12-28
6,Without Me,Halsey,15982.8534,15862.8534,120,1,41,21,41,2019-01-05,2019-10-12
7,Wow.,Post Malone,15683.3426,15608.3426,75,2,44,24,41,2019-01-05,2019-11-02
8,Sucker,Jonas Brothers,15645.6792,15525.6792,120,1,38,22,38,2019-03-16,2019-11-30
9,Talk,Khalid,15460.7575,15385.7575,75,3,43,19,36,2019-02-23,2019-12-14
10,No Guidance,Chris Brown,15323.0448,15283.0448,40,5,28,23,28,2019-06-22,2019-12-28
11,7 Rings,Ariana Grande,15254.0601,15134.0601,120,1,33,16,32,2019-02-02,2019-09-14
12,I Don't Care,Ed Sheeran,15204.2902,15129.2902,75,2,30,17,29,2019-05-25,2019-12-14
13,Happier,Marshmello,14733.7633,14658.7633,75,2,34,16,34,2019-01-05,2019-08-24
14,Someone You Loved,Lewis Capaldi,14529.3475,14409.3475,120,1,32,15,24,2019-05-25,2019-12-28
15,High Hopes,Panic! At The Disco,13852.7665,13812.7665,40,4,32,9,32,2019-01-05,2019-08-10
16,Dancing With A Stranger,Sam Smith,13717.4723,13702.4723,15,7,45,8,41,2019-01-26,2019-11-30
17,Ran$om,Lil Tecca,13278.6579,13238.6579,40,4,29,13,25,2019-06-15,2019-12-28
18,Eastside,"Benny Blanco, Halsey",13267.6384,13252.6384,15,9,29,2,29,2019-01-05,2019-07-20
19,Suge,Dababy,13255.1732,13240.1732,15,7,35,7,30,2019-04-13,2019-12-07
20,Middle Child,J. Cole,13194.7097,13154.7097,40,4,27,10,25,2019-02-02,2019-08-03
21,Sicko Mode,Travis Scott,13151.9008,13076.9008,75,3,32,12,25,2019-01-05,2019-08-10
22,Going Bad,Meek Mill,12726.1734,12711.1734,15,10,34,1,28,2019-01-05,2019-08-24
23,Panini,Lil Nas X,12676.3284,12636.3284,40,5,26,9,26,2019-07-06,2019-12-28
24,Sweet But Psycho,Ava Max,12444.2758,12429.2758,15,10,34,3,31,2019-01-05,2019-08-24
25,Shallow,Lady Gaga,12310.0045,12190.0045,120,1,33,5,24,2019-01-05,2019-08-17
26,If I Can't Have You,Shawn Mendes,11651.7342,11576.7342,75,2,23,4,21,2019-05-18,2019-10-19
27,Better,Khalid,11643.3086,11628.3086,15,8,34,1,25,2019-01-05,2019-08-24
28,Goodbyes,Post Malone,11263.0860,11188.0860,75,3,21,12,20,2019-07-20,2019-12-07
29,Money In The Grave,Drake,11253.4178,11238.4178,15,7,23,2,22,2019-06-29,2019-11-30
30,Beautiful People,Ed Sheeran,11122.1909,11122.1909,0,13,24,0,23,2019-07-13,2019-12-21
31,Girls Like You,Maroon 5,10869.9761,10854.9761,15,7,22,6,22,2019-01-05,2019-06-01
32,"Thank U, Next",Ariana Grande,10652.6918,10532.6918,120,1,21,10,17,2019-01-05,2019-05-25
33,Circles,Post Malone,10136.9347,10016.9347,120,1,16,16,16,2019-09-14,2019-12-28
34,You Need To Calm Down,Taylor Swift,9938.1001,9863.1001,75,2,21,2,19,2019-06-29,2019-11-16
35,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,9699.3680,9624.3680,75,2,20,2,18,2019-02-23,2019-07-06
36,A Lot,21 Savage,9669.9454,9669.9454,0,12,23,0,21,2019-01-05,2019-06-08
37,Drip Too Hard,Lil Baby,9658.1673,9643.1673,15,8,21,4,19,2019-01-05,2019-05-25
38,Pop Out,Polo G,9331.4935,9331.4935,0,11,27,0,19,2019-04-06,2019-10-05
39,Please Me,Cardi B,9112.9093,9037.9093,75,3,20,8,15,2019-03-02,2019-07-13
40,God's Country,Blake Shelton,9044.5364,9044.5364,0,17,23,0,16,2019-04-13,2019-09-14
41,Look Back At It,A Boogie Wit Da Hoodie,8943.0887,8943.0887,0,27,29,0,21,2019-01-05,2019-07-20
42,Beautiful Crazy,Luke Combs,8919.4860,8919.4860,0,21,25,0,16,2019-01-05,2019-06-22
43,Trampoline,Shaed,8904.3616,8904.3616,0,13,29,0,15,2019-06-15,2019-12-28
44,Speechless,Dan + Shay,8808.3896,8808.3896,0,24,25,0,16,2019-01-05,2019-10-05
45,Thotiana,Blueface,8554.4137,8539.4137,15,8,20,2,15,2019-01-26,2019-06-08
46,Whiskey Glasses,Morgan Wallen,8490.5174,8490.5174,0,17,27,0,16,2019-03-16,2019-09-14
47,Pure Water,Mustard,8328.0662,8328.0662,0,23,25,0,18,2019-02-02,2019-07-27
48,Good As Hell,Lizzo,8136.2983,8061.2983,75,3,17,8,12,2019-09-07,2019-12-28
49,The Git Up,Blanco Brown,8106.1618,8106.1618,0,14,20,0,15,2019-06-22,2019-11-02
50,The London,"Young Thug, J. Cole",7992.1827,7992.1827,0,12,20,0,18,2019-06-08,2019-10-19
51,Beer Never Broke My Heart,Luke Combs,7962.8708,7962.8708,0,21,21,0,16,2019-05-18,2019-10-05
52,Money,Cardi B,7694.2939,7694.2939,0,13,17,0,15,2019-01-05,2019-04-27
53,Only Human,Jonas Brothers,7693.9855,7693.9855,0,18,27,0,13,2019-06-22,2019-12-28
54,Envy Me,Calboy,7693.1415,7693.1415,0,31,26,0,13,2019-01-05,2019-06-29
55,Better Now,Post Malone,7686.4071,7671.4071,15,10,18,1,17,2019-01-05,2019-05-04
56,"Hey Look Ma, I Made It",Panic! At The Disco,7683.8934,7683.8934,0,16,22,0,15,2019-04-27,2019-09-21
57,ME!,Taylor Swift,7472.7591,7397.7591,75,2,20,4,11,2019-05-04,2019-09-14
58,Youngblood,5 Seconds Of Summer,7462.7775,7462.7775,0,14,19,0,15,2019-01-05,2019-05-11
59,Baby,Lil Baby,7451.3230,7451.3230,0,21,20,0,16,2019-08-03,2019-12-14
60,Close To Me,Ellie Goulding X Diplo,7434.4775,7434.4775,0,24,20,0,17,2019-01-05,2019-05-18
61,How Do You Sleep?,Sam Smith,7394.8419,7394.8419,0,24,20,0,19,2019-08-03,2019-12-14
62,Be Alright,Dean Lewis,7372.9341,7372.9341,0,23,21,0,13,2019-01-05,2019-05-25
63,Memories,Maroon 5,7289.2420,7249.2420,40,4,13,7,13,2019-10-05,2019-12-28
64,Act Up,City Girls,7045.1504,7045.1504,0,26,21,0,16,2019-03-16,2019-08-03
65,Hot,Young Thug,7028.2905,7028.2905,0,11,18,0,17,2019-08-31,2019-12-28
66,ZEZE,Kodak Black,6931.9059,6916.9059,15,9,15,3,14,2019-01-05,2019-04-13
67,MIA,Bad Bunny,6931.6741,6931.6741,0,19,17,0,14,2019-01-05,2019-04-27
68,Con Calma,Daddy Yankee,6892.2464,6892.2464,0,22,25,0,10,2019-02-09,2019-08-03
69,You Say,Lauren Daigle,6797.0493,6797.0493,0,29,20,0,16,2019-01-05,2019-05-18
70,Lover,Taylor Swift,6567.1918,6552.1918,15,10,18,1,11,2019-08-31,2019-12-28
71,My Type,Saweetie,6539.1826,6539.1826,0,21,20,0,14,2019-07-13,2019-11-23
72,On Chill,Wale,6479.7670,6479.7670,0,22,19,0,12,2019-08-24,2019-12-28
73,Murder On My Mind,Ynw Melly,6314.3921,6314.3921,0,14,20,0,10,2019-02-02,2019-06-15
74,Lucid Dreams,Juice Wrld,6281.4550,6266.4550,15,8,16,1,13,2019-01-05,2019-12-28
75,"10,000 Hours",Dan + Shay,6261.8752,6221.8752,40,4,11,7,11,2019-10-19,2019-12-28
76,Baby Shark,Pinkfong,6162.5246,6162.5246,0,32,20,0,12,2019-01-12,2019-05-25
77,Ballin',Mustard,6137.7688,6137.7688,0,14,22,0,11,2019-08-03,2019-12-28
78,Bury A Friend,Billie Eilish,6108.1565,6108.1565,0,14,20,0,7,2019-02-09,2019-06-22
79,HIGHEST IN THE ROOM,Travis Scott,5943.5637,5823.5637,120,1,11,3,11,2019-10-19,2019-12-28
80,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj",5617.4650,5617.4650,0,11,16,0,11,2019-08-24,2019-12-07
81,One Thing Right,Marshmello,5442.5766,5442.5766,0,36,23,0,5,2019-07-06,2019-12-07
82,Lose You To Love Me,Selena Gomez,5379.8492,5259.8492,120,1,9,6,9,2019-11-02,2019-12-28
83,Taki Taki,Dj Snake,5315.3982,5315.3982,0,18,14,0,10,2019-01-05,2019-04-06
84,Bandit,Juice Wrld,5283.7652,5268.7652,15,10,11,1,11,2019-10-19,2019-12-28
85,Knockin' Boots,Luke Bryan,5231.2653,5231.2653,0,31,22,0,8,2019-05-11,2019-10-05
86,Swervin,A Boogie Wit Da Hoodie,5218.2326,5218.2326,0,38,20,0,3,2019-01-05,2019-05-18
87,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,5202.4863,5202.4863,0,12,12,0,10,2019-01-05,2019-03-23
