rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Hurts So Good,John Cougar,13162.2897,13087.2897,75,2,28,16,22,1982-04-24,1982-10-30
2,Eye Of The Tiger,Survivor,12331.5017,12211.5017,120,1,25,15,18,1982-06-05,1982-11-20
3,Don't You Want Me,The Human League,12215.2788,12095.2788,120,1,28,12,21,1982-03-06,1982-09-11
4,Abracadabra,The Steve Miller Band,12206.1779,12086.1779,120,1,25,14,19,1982-05-29,1982-11-13
5,Hard To Say I'm Sorry,Chicago,11162.8589,11042.8589,120,1,24,12,18,1982-06-05,1982-11-13
6,Gloria,Laura Branigan,10627.9545,10552.9545,75,2,25,8,17,1982-07-10,1982-12-25
7,Who Can It Be Now?,Men At Work,10604.4647,10484.4647,120,1,25,9,17,1982-07-10,1982-12-25
8,Jack & Diane,John Cougar,10525.9547,10405.9547,120,1,22,10,17,1982-07-24,1982-12-18
9,Rosanna,Toto,10497.5039,10422.5039,75,2,23,11,18,1982-04-17,1982-09-18
10,Eye In The Sky,The Alan Parsons Project,10227.9523,10152.9523,75,3,25,8,17,1982-07-03,1982-12-18
11,867-5309/jenny,Tommy Tutone,9775.6289,9735.6289,40,4,27,8,16,1982-01-23,1982-07-24
12,Don't Talk To Strangers,Rick Springfield,9745.8500,9670.8500,75,2,21,11,16,1982-03-06,1982-07-24
13,I Love Rock 'N Roll,Joan Jett,9705.8517,9585.8517,120,1,20,12,16,1982-02-06,1982-06-19
14,Chariots Of Fire - Titles,Vangelis,9680.2922,9560.2922,120,1,25,9,15,1982-01-02,1982-06-19
15,Tainted Love,Soft Cell,9648.8873,9633.8873,15,8,43,3,15,1982-01-16,1982-11-06
16,Ebony And Ivory,Paul Mccartney And Stevie Wonder,9602.2150,9482.2150,120,1,19,12,15,1982-04-10,1982-08-14
17,You Should Hear How She Talks About You,Melissa Manchester,9570.3781,9530.3781,40,5,25,5,15,1982-05-22,1982-11-06
18,Centerfold,The J. Geils Band,9229.6769,9109.6769,120,1,17,12,15,1982-01-02,1982-04-24
19,Key Largo,Bertie Higgins,9105.5465,9090.5465,15,8,22,4,17,1982-01-02,1982-05-29
20,Always On My Mind,Willie Nelson,9078.3180,9038.3180,40,5,23,6,15,1982-03-06,1982-08-07
21,Let It Whip,Dazz Band,9009.0150,8969.0150,40,5,23,6,16,1982-04-24,1982-09-25
22,We Got The Beat,Go-go's,8964.9168,8889.9168,75,2,19,9,15,1982-01-30,1982-06-05
23,The Other Woman,Ray Parker Jr,8583.2272,8543.2272,40,4,21,7,14,1982-03-20,1982-08-07
24,Hold Me,Fleetwood Mac,8538.7445,8498.7445,40,4,17,10,15,1982-06-19,1982-10-09
25,You Can Do Magic,America,8482.8431,8467.8431,15,8,20,6,15,1982-07-31,1982-12-11
26,Open Arms,Journey,8479.4325,8404.4325,75,2,18,10,14,1982-01-16,1982-05-15
27,Up Where We Belong,Joe Cocker And Jennifer Warnes,8399.3591,8279.3591,120,1,19,7,13,1982-08-21,1982-12-25
28,Sweet Dreams,Air Supply,8332.8411,8292.8411,40,5,17,7,15,1982-01-02,1982-04-24
29,Only The Lonely,The Motels,8268.5582,8253.5582,15,9,23,4,15,1982-04-24,1982-09-25
30,Heart Attack,Olivia Newton-john,8130.4064,8055.4064,75,3,17,7,13,1982-09-04,1982-12-25
31,I Keep Forgettin' (Every Time You're Near),Michael Mcdonald,7916.4345,7876.4345,40,4,19,7,13,1982-08-07,1982-12-11
32,Even The Nights Are Better,Air Supply,7855.3203,7815.3203,40,5,18,8,13,1982-06-12,1982-10-09
33,Shake It Up,The Cars,7838.5366,7798.5366,40,4,16,7,14,1982-01-02,1982-04-17
34,I've Never Been To Me,Charlene,7696.0886,7621.0886,75,3,20,6,14,1982-03-06,1982-07-17
35,'65 Love Affair,Paul Davis,7631.8271,7616.8271,15,6,20,7,13,1982-02-27,1982-07-10
36,Heat Of The Moment,Asia,7624.0924,7584.0924,40,4,18,6,12,1982-04-17,1982-08-14
37,That Girl,Stevie Wonder,7590.5072,7550.5072,40,4,18,9,13,1982-01-16,1982-05-15
38,I Can't Go For That (No Can Do),Daryl Hall undefined John Oates,7412.7736,7292.7736,120,1,14,10,11,1982-01-02,1982-04-03
39,Freeze-frame,The J. Geils Band,7263.9667,7223.9667,40,4,16,8,12,1982-02-20,1982-06-05
40,Somebody's Baby,Jackson Browne,7203.1337,7188.1337,15,7,19,6,12,1982-07-31,1982-12-04
