rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Rhinestone Cowboy,Glen Campbell,10751.7023,10631.7023,120,1,23,9,18,1975-05-31,1975-11-01
2,Feelings,Morris Albert,10194.6243,10179.6243,15,6,28,6,16,1975-06-21,1975-12-27
3,Philadelphia Freedom,The Elton John Band,10141.0190,10021.0190,120,1,21,9,17,1975-03-08,1975-07-26
4,Love Will Keep Us Together,The Captain,9775.1743,9655.1743,120,1,23,6,16,1975-04-19,1975-09-20
5,I'm Sorry,John Denver,9031.7721,8911.7721,120,1,18,9,13,1975-08-16,1975-12-13
6,Ballroom Blitz,Sweet,9026.8665,8986.8665,40,5,25,5,14,1975-06-14,1975-11-29
7,Before The Next Teardrop Falls,Freddy Fender,9024.7507,8904.7507,120,1,21,8,15,1975-02-01,1975-06-21
8,Shining Star,"Earth, Wind",8675.7055,8555.7055,120,1,20,5,14,1975-02-15,1975-06-28
9,One Of These Nights,Eagles,8525.2038,8405.2038,120,1,17,10,14,1975-05-31,1975-09-20
10,Fame,David Bowie,8388.8130,8268.8130,120,1,21,6,14,1975-06-28,1975-11-15
11,Thank God I'm A Country Boy,John Denver,8110.0542,7990.0542,120,1,19,5,15,1975-03-22,1975-07-26
12,Lovin' You,Minnie Riperton,8110.0497,7990.0497,120,1,18,8,13,1975-01-18,1975-05-17
13,At Seventeen,Janis Ian,8098.7213,8023.7213,75,3,20,6,14,1975-06-14,1975-10-25
14,My Eyes Adored You,Frankie Valli,8032.7587,7912.7587,120,1,17,8,14,1975-01-04,1975-04-26
15,Love Won't Let Me Wait,Major Harris,7958.1525,7918.1525,40,5,18,5,14,1975-03-29,1975-07-26
16,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.j. Thomas,7948.3099,7828.3099,120,1,18,7,14,1975-02-01,1975-05-31
17,Fight The Power Part 1,The Isley Brothers,7768.5154,7728.5154,40,4,18,5,13,1975-06-21,1975-10-18
18,Why Can't We Be Friends?,War,7747.5654,7732.5654,15,6,20,4,13,1975-05-03,1975-09-13
19,Lady Marmalade,Labelle,7731.3382,7611.3382,120,1,18,7,13,1975-01-04,1975-05-03
20,Jive Talkin',Bee Gees,7710.0927,7590.0927,120,1,17,8,12,1975-05-31,1975-09-20
21,Who Loves You,The 4 Seasons,7654.9652,7579.9652,75,3,19,7,12,1975-08-23,1975-12-27
22,Wasted Days And Wasted Nights,Freddy Fender,7650.5300,7635.5300,15,8,19,3,14,1975-06-21,1975-10-25
23,Black Water,The Doobie Brothers,7619.2828,7499.2828,120,1,15,7,12,1975-01-04,1975-04-12
24,They Just Can't Stop It the (Games People Play),The Spinners,7618.4977,7578.4977,40,5,18,4,13,1975-08-09,1975-12-06
25,The Hustle,Van Mccoy,7611.4156,7491.4156,120,1,19,7,12,1975-04-19,1975-08-23
26,Miracles,Jefferson Starship,7580.1042,7505.1042,75,3,17,6,13,1975-08-23,1975-12-13
27,Jackie Blue,Ozark Mountain Daredevils,7423.7156,7348.7156,75,3,21,4,12,1975-02-08,1975-06-28
28,Magic,Pilot,7364.4593,7324.4593,40,5,20,4,12,1975-04-05,1975-08-16
29,Sky High,Jigsaw,7318.5062,7243.5062,75,3,18,5,12,1975-08-30,1975-12-27
30,Wildfire,Michael Murphey,7299.8444,7224.8444,75,3,19,4,13,1975-03-29,1975-08-02
31,When Will I Be Loved,Linda Ronstadt,7297.9318,7222.9318,75,2,15,7,13,1975-04-12,1975-07-19
32,Fallin' In Love,"Hamilton, Joe Frank",7259.2316,7139.2316,120,1,17,6,12,1975-06-21,1975-10-11
33,I'm Not Lisa,Jessi Colter,7257.4759,7217.4759,40,4,17,5,14,1975-04-05,1975-07-26
34,I'm Not In Love,10cc,7243.6091,7168.6091,75,2,17,5,11,1975-05-17,1975-09-06
35,Best Of My Love,Eagles,7202.4559,7082.4559,120,1,14,6,13,1975-01-04,1975-04-05
36,Could It Be Magic,Barry Manilow,7198.1081,7183.1081,15,6,18,4,13,1975-06-28,1975-10-25
37,Please Mr. Please,Olivia Newton-john,7190.1625,7115.1625,75,3,15,8,12,1975-06-07,1975-09-13
38,Sister Golden Hair,America,7089.3522,6969.3522,120,1,16,4,12,1975-04-05,1975-07-19
39,Have You Never Been Mellow,Olivia Newton-john,6989.6076,6869.6076,120,1,16,7,11,1975-01-25,1975-05-10
40,Chevy Van,Sammy Johns,6958.5767,6918.5767,40,5,17,4,12,1975-02-01,1975-05-24
