rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,I Just Want To Be Your Everything,Andy Gibb,13983.2682,13863.2682,120,1,31,16,23,1977-04-23,1977-11-19
2,Best Of My Love,The Emotions,10963.0903,10843.0903,120,1,23,12,17,1977-06-11,1977-11-12
3,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,10755.6104,10635.6104,120,1,22,13,18,1977-01-01,1977-05-28
4,Angel In Your Arms,Hot,10604.4560,10589.4560,15,6,27,6,19,1977-02-19,1977-08-20
5,Boogie Nights,Heatwave,10485.4902,10410.4902,75,2,24,9,17,1977-07-23,1977-12-31
6,(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge,10275.4574,10200.4574,75,2,27,7,17,1977-05-07,1977-11-05
7,You Light Up My Life,Debby Boone,10261.9214,10141.9214,120,1,18,13,16,1977-09-03,1977-12-31
8,Don't Leave Me This Way,Thelma Houston,10197.2430,10077.2430,120,1,22,8,17,1977-01-01,1977-05-28
9,Undercover Angel,Alan O'day,10052.5350,9932.5350,120,1,25,7,17,1977-04-02,1977-09-17
10,Nobody Does It Better,Carly Simon,9935.6344,9860.6344,75,2,24,8,15,1977-07-23,1977-12-31
11,I'm Your Boogie Man,Kc And The Sunshine Band,9474.3077,9354.3077,120,1,23,6,16,1977-02-26,1977-07-30
12,Don't It Make My Brown Eyes Blue,Crystal Gayle,9469.5942,9394.5942,75,2,21,10,15,1977-08-13,1977-12-31
13,That's Rock 'N' Roll,Shaun Cassidy,9380.8217,9305.8217,75,3,24,7,15,1977-07-23,1977-12-31
14,I Like Dreamin',Kenny Nolan,9285.3190,9210.3190,75,3,19,7,17,1977-01-01,1977-05-07
15,Dancing Queen,Abba,9227.2559,9107.2559,120,1,19,8,15,1977-01-01,1977-05-07
16,Hotel California,Eagles,9015.5467,8895.5467,120,1,19,8,15,1977-02-26,1977-07-02
17,Telephone Line,Electric Light Orchestra,8891.4993,8876.4993,15,7,23,5,16,1977-06-11,1977-11-12
18,Got To Give It Up (Pt. I),Marvin Gaye,8891.0304,8771.0304,120,1,18,9,15,1977-04-16,1977-08-13
19,Do You Wanna Make Love,Peter Mccann,8882.4891,8842.4891,40,5,22,6,16,1977-04-23,1977-09-17
20,Heaven On The 7th Floor,Paul Nicholas,8764.7897,8749.7897,15,6,20,6,16,1977-08-20,1977-12-31
21,Swayin' To The Music (slow Dancin'),Johnny Rivers,8717.8195,8702.8195,15,10,24,1,15,1977-06-25,1977-12-03
22,Gonna Fly Now,Bill Conti,8694.6008,8574.6008,120,1,20,8,13,1977-04-23,1977-09-03
23,Southern Nights,Glen Campbell,8689.9697,8569.9697,120,1,21,8,15,1977-02-12,1977-07-02
24,Fly Like An Eagle,Steve Miller,8680.5892,8605.5892,75,2,18,6,15,1977-01-01,1977-04-30
25,Margaritaville,Jimmy Buffett,8644.1955,8629.1955,15,8,22,5,15,1977-04-02,1977-08-27
26,On And On,Stephen Bishop,8639.6160,8639.6160,0,11,28,0,15,1977-05-07,1977-11-19
27,I Feel Love,Donna Summer,8633.3198,8618.3198,15,6,22,5,14,1977-08-06,1977-12-31
28,Cold As Ice,Foreigner,8578.1183,8563.1183,15,6,21,5,15,1977-07-23,1977-12-10
29,Torn Between Two Lovers,Mary Macgregor,8540.5626,8420.5626,120,1,16,10,15,1977-01-01,1977-04-16
30,When I Need You,Leo Sayer,8539.9066,8419.9066,120,1,20,7,14,1977-02-26,1977-07-09
31,Keep It Comin' Love,Kc And The Sunshine Band,8484.3147,8409.3147,75,2,20,7,14,1977-07-30,1977-12-10
32,Whatcha Gonna Do?,Pablo Cruise,8468.9051,8453.9051,15,6,26,5,14,1977-04-16,1977-10-08
33,Star Wars Theme/Cantina Band,Meco,8307.2555,8187.2555,120,1,20,6,13,1977-08-06,1977-12-17
34,Don't Give Up On Us,David Soul,8294.4240,8174.4240,120,1,19,7,13,1977-01-29,1977-06-04
35,Easy,Commodores,8205.5665,8165.5665,40,4,22,6,13,1977-06-04,1977-10-29
36,Couldn't Get It Right,Climax Blues Band,8202.8501,8127.8501,75,3,22,6,14,1977-02-19,1977-07-16
37,Rich Girl,Daryl Hall undefined John Oates,8195.1649,8075.1649,120,1,20,6,14,1977-01-22,1977-06-04
38,I'm In You,Peter Frampton,8177.4829,8102.4829,75,2,20,6,13,1977-05-28,1977-10-08
39,Feels Like The First Time,Foreigner,8176.2719,8136.2719,40,4,22,5,13,1977-03-26,1977-08-20
40,I've Got Love On My Mind,Natalie Cole,8137.2931,8097.2931,40,5,21,6,14,1977-01-29,1977-06-18
