rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,The Sign,Ace Of Base,16037.4202,15917.4202,120,1,41,21,33,1994-01-01,1994-10-08
2,I Swear,All-4-one,15174.9341,15054.9341,120,1,30,18,26,1994-04-23,1994-11-12
3,The Power Of Love,Celine Dion,14852.0269,14732.0269,120,1,28,16,25,1994-01-01,1994-07-09
4,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb,14644.8799,14524.8799,120,1,30,16,25,1994-05-07,1994-11-26
5,Don't Turn Around,Ace Of Base,14447.3058,14407.3058,40,4,31,15,28,1994-05-07,1994-12-03
6,Wild Night,John Mellencamp,14064.2638,13989.2638,75,3,32,13,29,1994-05-28,1994-12-31
7,When Can I See You,Babyface,13535.2537,13495.2537,40,4,29,11,26,1994-06-18,1994-12-31
8,"I'll Remember (From ""With Honors"")",Madonna,13486.9725,13411.9725,75,2,26,10,24,1994-04-02,1994-09-24
9,I'll Make Love To You,Boyz Ii Men,13385.0898,13265.0898,120,1,21,20,21,1994-08-13,1994-12-31
10,You Mean The World To Me,Toni Braxton,13248.8060,13233.8060,15,7,31,8,28,1994-04-02,1994-10-29
11,Whatta Man,Salt-n-pepa,13124.1637,13049.1637,75,3,29,11,24,1994-01-22,1994-08-06
12,The Most Beautiful Girl In The World,Prince,13000.0011,12925.0011,75,3,26,11,22,1994-03-05,1994-08-27
13,Bump N' Grind,R. Kelly,12955.8793,12835.8793,120,1,25,12,23,1994-02-05,1994-07-23
14,"Baby I Love Your Way (From ""Reality Bites"")",Big Mountain,12922.4136,12907.4136,15,6,28,9,24,1994-02-26,1994-09-03
15,If You Go,Jon Secada,12894.9713,12879.9713,15,10,31,4,27,1994-05-07,1994-12-03
16,Breathe Again,Toni Braxton,12810.9013,12735.9013,75,3,24,13,24,1994-01-01,1994-06-11
17,"Can You Feel The Love Tonight (From ""The Lion King"")",Elton John,12767.0063,12727.0063,40,4,26,12,23,1994-05-21,1994-11-12
18,Now And Forever,Richard Marx,12468.0879,12453.0879,15,7,27,11,23,1994-01-22,1994-07-23
19,100% Pure Love,Crystal Waters,12353.9791,12353.9791,0,11,32,0,26,1994-05-28,1994-12-31
20,Without You/Never Forget You,Mariah Carey,12218.9173,12143.9173,75,3,23,13,21,1994-01-29,1994-07-02
21,Shine,Collective Soul,12108.5445,12108.5445,0,11,29,0,23,1994-05-07,1994-11-19
22,Fantastic Voyage,Coolio,11970.7675,11895.7675,75,3,25,11,21,1994-06-04,1994-11-19
23,Back & Forth,Aaliyah,11935.8156,11895.8156,40,5,24,12,21,1994-04-30,1994-10-08
24,All I Wanna Do,Sheryl Crow,11590.5350,11515.5350,75,2,22,14,19,1994-08-06,1994-12-31
25,Return To Innocence,Enigma,11460.8882,11420.8882,40,4,26,6,21,1994-03-05,1994-08-27
26,Tootsee Roll,69 Boyz,11442.3120,11427.3120,15,9,26,1,22,1994-07-09,1994-12-31
27,Never Lie,Immature,10866.5715,10826.5715,40,5,23,9,20,1994-07-30,1994-12-31
28,"Any Time, Any Place/And On And On",Janet Jackson,10833.6976,10758.6976,75,2,20,11,19,1994-05-28,1994-10-08
29,"Regulate (From ""Above The Rim"")",Warren G,10763.5958,10688.5958,75,2,20,11,18,1994-04-23,1994-09-03
30,So Much In Love,All-4-one,10584.9807,10544.9807,40,5,22,11,19,1994-01-01,1994-05-28
31,Hero,Mariah Carey,10308.0426,10188.0426,120,1,20,10,17,1994-01-01,1994-05-14
32,Stroke You Up,Changing Faces,10250.3487,10175.3487,75,3,21,9,18,1994-07-30,1994-12-17
33,Mmm Mmm Mmm Mmm,Crash Test Dummies,10171.2145,10131.2145,40,4,24,8,18,1994-01-29,1994-07-09
34,Another Night,Real Mccoy,10102.2562,10027.2562,75,3,19,13,16,1994-08-27,1994-12-31
35,Come To My Window,Melissa Etheridge,9986.2651,9986.2651,0,25,44,0,26,1994-02-26,1994-12-24
36,All That She Wants,Ace Of Base,9972.1610,9897.1610,75,3,21,7,18,1994-01-01,1994-05-21
37,Cantaloop (Flip Fantasia),Us3,9928.0255,9913.0255,15,9,22,4,18,1994-01-01,1994-05-28
38,I'm Ready,Tevin Campbell,9874.7707,9859.7707,15,9,22,3,18,1994-03-12,1994-08-06
39,All For Love,Bryan Adams/rod Stewart/sting,9611.6826,9491.6826,120,1,17,11,16,1994-01-01,1994-04-23
40,Funkdafied,Da Brat,9595.9991,9580.9991,15,6,20,8,17,1994-06-04,1994-10-15
41,Because The Night,"10,000 Maniacs",9443.4690,9443.4690,0,11,21,0,19,1994-01-01,1994-05-21
42,Anytime You Need A Friend,Mariah Carey,9414.6870,9414.6870,0,12,21,0,18,1994-05-28,1994-10-15
43,Loser,Beck,9029.2526,9014.2526,15,10,24,1,15,1994-01-29,1994-07-09
44,Flava In Ya Ear,Craig Mack,9001.8924,8986.8924,15,9,21,2,18,1994-08-13,1994-12-31
45,Because Of Love,Janet Jackson,8946.2826,8931.2826,15,10,20,1,16,1994-01-29,1994-06-11
46,Found Out About You,Gin Blossoms,8912.5830,8912.5830,0,25,28,0,17,1994-01-01,1994-07-09
47,I Miss You,Aaron Hall,8841.0683,8841.0683,0,14,23,0,15,1994-05-14,1994-10-15
48,Please Forgive Me,Bryan Adams,8621.9500,8606.9500,15,7,18,3,18,1994-01-01,1994-04-30
49,Gin And Juice,Snoop Doggy Dogg,8420.3041,8405.3041,15,8,20,3,15,1994-01-29,1994-06-11
50,"December 1963 (Oh, What A Night)",The 4 Seasons,8357.2475,8357.2475,0,14,21,0,16,1994-08-13,1994-12-31
51,This D.J.,Warren G,8335.7585,8320.7585,15,9,20,4,14,1994-07-23,1994-12-03
52,"Streets Of Philadelphia (From ""Philadelphia"")",Bruce Springsteen,8330.2203,8315.2203,15,9,20,3,15,1994-02-19,1994-07-02
53,I'm The Only One,Melissa Etheridge,8287.5347,8272.5347,15,10,22,1,14,1994-08-06,1994-12-31
54,Crazy,Aerosmith,8211.1260,8211.1260,0,17,23,0,16,1994-05-21,1994-10-22
55,Always,Erasure,8095.0557,8095.0557,0,20,23,0,15,1994-04-30,1994-10-01
56,Endless Love,Luther Vandross,8059.7723,7984.7723,75,2,17,9,13,1994-09-10,1994-12-31
57,Your Body's Callin',R. Kelly,7989.9905,7989.9905,0,13,20,0,15,1994-05-14,1994-09-24
58,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,7985.9268,7865.9268,120,1,16,10,12,1994-09-17,1994-12-31
59,At Your Best (You Are Love),Aaliyah,7968.2891,7953.2891,15,6,18,6,14,1994-09-03,1994-12-31
60,Understanding,Xscape,7905.4038,7890.4038,15,8,19,2,14,1994-01-01,1994-05-07
61,I'll Stand By You,Pretenders,7810.6690,7810.6690,0,16,21,0,15,1994-08-13,1994-12-31
62,Secret,Madonna,7677.8977,7602.8977,75,3,13,11,13,1994-10-08,1994-12-31
63,Beautiful In My Eyes,Joshua Kadison,7555.4167,7555.4167,0,19,21,0,15,1994-04-16,1994-09-03
64,Always,Bon Jovi,7544.8547,7504.8547,40,4,14,10,13,1994-10-01,1994-12-31
65,"Anything (From ""Above The Rim"")",Swv,7422.8995,7422.8995,0,18,20,0,15,1994-04-09,1994-08-20
66,I Wanna Be Down,Brandy,7403.8488,7388.8488,15,6,14,9,13,1994-10-01,1994-12-31
67,Said I Loved You...But I Lied,Michael Bolton,7302.2130,7287.2130,15,6,16,7,13,1994-01-01,1994-04-16
68,Prayer For The Dying,Seal,7246.2318,7246.2318,0,21,20,0,14,1994-06-11,1994-10-22
69,Groove Thang,Zhane,7181.0048,7181.0048,0,17,20,0,14,1994-01-15,1994-05-28
70,Far Behind,Candlebox,7172.7590,7172.7590,0,18,19,0,15,1994-08-27,1994-12-31
71,Rock And Roll Dreams Come Through,Meat Loaf,6932.7075,6932.7075,0,13,20,0,13,1994-01-29,1994-06-11
72,Can We Talk,Tevin Campbell,6838.0055,6823.0055,15,9,15,3,13,1994-01-01,1994-04-09
73,Cry For You,Jodeci,6815.5954,6815.5954,0,15,15,0,14,1994-01-01,1994-04-09
74,Got Me Waiting,Heavy D,6716.9885,6716.9885,0,20,20,0,13,1994-03-26,1994-08-06
75,Everyday,Phil Collins,6693.9383,6693.9383,0,24,20,0,13,1994-01-29,1994-06-11
76,Amazing,Aerosmith,6693.7228,6693.7228,0,24,17,0,16,1994-01-01,1994-04-23
77,Getto Jam,Domino,6580.0870,6565.0870,15,7,15,2,11,1994-01-01,1994-04-09
78,Linger,The Cranberries,6572.3201,6557.3201,15,8,14,1,13,1994-01-01,1994-04-02
79,Again,Janet Jackson,6506.9346,6431.9346,75,2,13,6,12,1994-01-01,1994-03-26
80,"Turn The Beat Around (From ""The Specialist"")",Gloria Estefan,6498.6246,6498.6246,0,13,15,0,12,1994-09-24,1994-12-31
81,Mary Jane's Last Dance,Tom Petty And The Heartbreakers,6481.2228,6481.2228,0,14,19,0,10,1994-01-01,1994-05-07
82,"I'll Take You There (From ""Threesome"")",General Public,6478.6989,6478.6989,0,22,20,0,13,1994-04-09,1994-08-20
83,Don't Take The Girl,Tim Mcgraw,6409.2452,6409.2452,0,17,20,0,13,1994-05-21,1994-10-01
84,"Circle Of Life (From ""The Lion King"")",Elton John,6374.3832,6374.3832,0,18,19,0,11,1994-08-27,1994-12-31
85,Shoop,Salt-n-pepa,6368.8321,6353.8321,15,8,13,4,13,1994-01-01,1994-03-26
86,Lucky One,Amy Grant,6359.2545,6359.2545,0,18,20,0,11,1994-08-13,1994-12-24
87,"What's The Frequency, Kenneth?",R.e.m,6327.3120,6327.3120,0,21,15,0,14,1994-09-24,1994-12-31
88,Stay,Eternal,6312.1588,6312.1588,0,19,20,0,11,1994-01-15,1994-05-28
89,Back In The Day,Ahmad,6263.9994,6263.9994,0,26,20,0,12,1994-05-28,1994-10-08
90,Love Sneakin' Up On You,Bonnie Raitt,6243.3465,6243.3465,0,19,20,0,10,1994-03-12,1994-07-23
