rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,I Just Want To Be Your Everything,Andy Gibb,13983.2682,13863.2682,120,1,31,16,23,1977-04-23,1977-11-19
2,Best Of My Love,The Emotions,10963.0903,10843.0903,120,1,23,12,17,1977-06-11,1977-11-12
3,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,10755.6104,10635.6104,120,1,22,13,18,1977-01-01,1977-05-28
4,Angel In Your Arms,Hot,10604.4560,10589.4560,15,6,27,6,19,1977-02-19,1977-08-20
5,Boogie Nights,Heatwave,10485.4902,10410.4902,75,2,24,9,17,1977-07-23,1977-12-31
6,(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge,10275.4574,10200.4574,75,2,27,7,17,1977-05-07,1977-11-05
7,You Light Up My Life,Debby Boone,10261.9214,10141.9214,120,1,18,13,16,1977-09-03,1977-12-31
8,Don't Leave Me This Way,Thelma Houston,10197.2430,10077.2430,120,1,22,8,17,1977-01-01,1977-05-28
9,Undercover Angel,Alan O'day,10052.5350,9932.5350,120,1,25,7,17,1977-04-02,1977-09-17
10,Nobody Does It Better,Carly Simon,9935.6344,9860.6344,75,2,24,8,15,1977-07-23,1977-12-31
11,I'm Your Boogie Man,Kc And The Sunshine Band,9474.3077,9354.3077,120,1,23,6,16,1977-02-26,1977-07-30
12,Don't It Make My Brown Eyes Blue,Crystal Gayle,9469.5942,9394.5942,75,2,21,10,15,1977-08-13,1977-12-31
13,That's Rock 'N' Roll,Shaun Cassidy,9380.8217,9305.8217,75,3,24,7,15,1977-07-23,1977-12-31
14,I Like Dreamin',Kenny Nolan,9285.3190,9210.3190,75,3,19,7,17,1977-01-01,1977-05-07
15,Dancing Queen,Abba,9227.2559,9107.2559,120,1,19,8,15,1977-01-01,1977-05-07
16,Hotel California,Eagles,9015.5467,8895.5467,120,1,19,8,15,1977-02-26,1977-07-02
17,Telephone Line,Electric Light Orchestra,8891.4993,8876.4993,15,7,23,5,16,1977-06-11,1977-11-12
18,Got To Give It Up (Pt. I),Marvin Gaye,8891.0304,8771.0304,120,1,18,9,15,1977-04-16,1977-08-13
