rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Only In My Dreams,Debbie Gibson,9671.7447,9631.7447,40,4,28,5,16,1987-05-09,1987-11-14
2,Here I Go Again,Whitesnake,9666.8070,9546.8070,120,1,26,7,14,1987-07-04,1987-12-26
3,Don't Dream It's Over,Crowded House,9361.5367,9286.5367,75,2,24,7,15,1987-01-17,1987-06-27
4,Nothing's Gonna Stop Us Now,Starship,9246.5191,9126.5191,120,1,22,8,15,1987-01-31,1987-06-27
5,The Lady In Red,Chris De Burgh,9226.8085,9151.8085,75,3,26,6,14,1987-02-14,1987-08-08
6,Heart And Soul,T'pau,9217.8064,9177.8064,40,4,27,5,16,1987-05-02,1987-10-31
7,Alone,Heart,8851.9029,8731.9029,120,1,21,8,15,1987-05-16,1987-10-03
8,Always,Atlantic Starr,8725.5490,8605.5490,120,1,22,7,14,1987-03-28,1987-08-22
9,La Bamba,Los Lobos,8640.2287,8520.2287,120,1,21,7,14,1987-06-27,1987-11-14
10,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,8597.6476,8477.6476,120,1,18,9,14,1987-05-16,1987-09-12
11,"I Want Your Sex (From ""Beverly Hills Cop II"")",George Michael,8387.9770,8312.9770,75,2,20,6,14,1987-06-06,1987-10-17
12,"Shakedown (From ""Beverly Hills Cop II"")",Bob Seger,8383.6161,8263.6161,120,1,18,7,14,1987-05-23,1987-09-19
13,U Got The Look,Prince,8335.4209,8260.4209,75,2,22,6,13,1987-08-01,1987-12-26
14,Head To Toe,Lisa Lisa And Cult Jam,8285.4746,8165.4746,120,1,20,7,14,1987-04-11,1987-08-22
15,I Think We're Alone Now,Tiffany,8253.6697,8133.6697,120,1,18,6,13,1987-08-29,1987-12-26
16,Looking For A New Love,Jody Watley,8104.3856,8029.3856,75,2,19,6,14,1987-03-07,1987-07-11
17,With Or Without You,U2,8064.1777,7944.1777,120,1,18,8,13,1987-03-21,1987-07-18
18,Livin' On A Prayer,Bon Jovi,8040.8116,7920.8116,120,1,18,7,13,1987-01-03,1987-05-02
19,"Mony Mony ""Live""",Billy Idol,7925.6354,7805.6354,120,1,17,6,12,1987-09-05,1987-12-26
20,Can't We Try,Dan Hill,7915.6379,7900.6379,15,6,24,4,13,1987-06-06,1987-11-14
21,(I Just) Died In Your Arms,Cutting Crew,7889.1207,7769.1207,120,1,19,6,13,1987-03-07,1987-07-11
22,I Still Haven't Found What I'm Looking For,U2,7796.1438,7676.1438,120,1,17,7,13,1987-06-13,1987-10-03
23,"Somewhere Out There (From ""An American Tail"")",Linda Ronstadt,7778.2952,7703.2952,75,2,20,5,12,1987-01-03,1987-05-16
24,Songbird,Kenny G,7769.9943,7729.9943,40,4,22,4,12,1987-04-04,1987-08-29
25,Lost In Emotion,Lisa Lisa And Cult Jam,7765.0197,7645.0197,120,1,20,6,13,1987-08-01,1987-12-12
26,Rock Steady,The Whispers,7759.9784,7744.9784,15,7,23,3,12,1987-06-06,1987-11-07
27,Nothing's Gonna Change My Love For You,Glenn Medeiros,7756.1527,7756.1527,0,12,25,0,13,1987-02-14,1987-08-01
28,You Keep Me Hangin' On,Kim Wilde,7717.3971,7597.3971,120,1,21,6,13,1987-03-28,1987-08-15
29,Didn't We Almost Have It All,Whitney Houston,7663.7082,7543.7082,120,1,17,7,13,1987-08-01,1987-11-21
30,You Got It All,The Jets,7655.2300,7580.2300,75,3,19,4,12,1987-01-03,1987-05-09
31,Don't Mean Nothing,Richard Marx,7596.1110,7521.1110,75,3,21,4,12,1987-06-13,1987-10-31
32,Little Lies,Fleetwood Mac,7578.0929,7538.0929,40,4,18,5,13,1987-08-29,1987-12-26
33,Don't Disturb This Groove,The System,7500.9194,7460.9194,40,4,21,4,13,1987-04-11,1987-08-29
34,I Knew You Were Waiting (For Me),Aretha Franklin,7500.5859,7380.5859,120,1,17,7,12,1987-02-21,1987-06-13
35,Lean On Me,Club Nouveau,7490.4185,7370.4185,120,1,17,6,12,1987-02-14,1987-06-06
