rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Macarena (Bayside Boys Mix),Los Del Rio,16409.4871,16289.4871,120,1,36,22,33,1996-01-06,1996-12-28
2,Nobody Knows,The Tony Rich Project,15870.0288,15795.0288,75,2,44,23,38,1996-01-06,1996-11-02
3,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,15505.8150,15385.8150,120,1,33,19,30,1996-03-09,1996-10-19
4,You're Makin' Me High/Let It Flow,Toni Braxton,15250.5166,15130.5166,120,1,30,20,30,1996-06-08,1996-12-28
5,Twisted,Keith Sweat,15187.4938,15112.4938,75,2,28,18,28,1996-06-22,1996-12-28
6,Give Me One Reason,Tracy Chapman,15141.5816,15066.5816,75,3,39,17,34,1996-04-06,1996-12-28
7,Always Be My Baby,Mariah Carey,14712.1920,14592.1920,120,1,32,15,26,1996-04-06,1996-11-09
8,I Love You Always Forever,Donna Lewis,14698.1293,14623.1293,75,2,28,16,24,1996-06-22,1996-12-28
9,C'mon N' Ride It (The Train),Quad City Dj's,14459.3615,14384.3615,75,3,42,15,29,1996-03-16,1996-12-28
10,Missing,Everything But The Girl,14348.4139,14273.4139,75,2,34,13,29,1996-01-06,1996-08-24
11,Ironic,Alanis Morissette,14272.5062,14232.5062,40,4,32,15,29,1996-03-16,1996-10-19
12,"Sittin' Up In My Room (From ""Waiting To Exhale"")",Brandy,13982.5272,13907.5272,75,2,32,11,29,1996-01-06,1996-08-10
13,Follow You Down/Til I Hear It From You,Gin Blossoms,13624.6666,13609.6666,15,9,46,8,33,1996-02-10,1996-12-21
14,Change The World,Eric Clapton,13421.9196,13381.9196,40,5,24,16,24,1996-07-20,1996-12-28
15,Where Do You Go,No Mercy,12894.3441,12854.3441,40,5,26,12,22,1996-07-06,1996-12-28
16,"Insensitive (From ""Bed Of Roses"")",Jann Arden,12553.6408,12553.6408,0,12,40,0,30,1996-02-10,1996-11-09
17,How Do U Want It/California Love,2pac,12466.4400,12346.4400,120,1,24,11,21,1996-06-15,1996-11-23
18,Loungin,Ll Cool J,12438.5868,12363.5868,75,3,26,11,23,1996-07-06,1996-12-28
