rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Party Rock Anthem,Lmfao,16282.7293,16162.7293,120,1,39,26,34,2011-02-12,2011-12-31
2,Rolling In The Deep,Adele,15746.3149,15626.3149,120,1,49,19,43,2011-01-29,2011-12-31
3,Give Me Everything,Pitbull,15598.4635,15478.4635,120,1,38,17,37,2011-04-16,2011-12-31
4,E.T.,Katy Perry,15511.1688,15391.1688,120,1,29,20,27,2011-03-05,2011-09-17
5,Super Bass,Nicki Minaj,14978.7807,14903.7807,75,3,34,15,32,2011-05-14,2011-12-31
6,Moves Like Jagger,Maroon 5,14845.4501,14725.4501,120,1,26,21,23,2011-07-09,2011-12-31
7,F**k You! (Forget You),Ceelo Green,14162.5968,14087.5968,75,2,32,11,29,2011-01-01,2011-08-06
8,Just Can't Get Enough,The Black Eyed Peas,14069.4383,13994.4383,75,3,31,13,26,2011-03-05,2011-10-01
9,Firework,Katy Perry,13924.2436,13804.2436,120,1,31,12,28,2011-01-01,2011-07-30
10,On The Floor,Jennifer Lopez,13880.6521,13805.6521,75,3,29,15,25,2011-03-12,2011-09-24
11,Pumped Up Kicks,Foster The People,13721.0196,13646.0196,75,3,34,14,23,2011-05-14,2011-12-31
12,Grenade,Bruno Mars,13414.3768,13294.3768,120,1,25,14,23,2011-01-01,2011-06-18
13,Look At Me Now,Chris Brown,13124.1160,13109.1160,15,6,27,10,25,2011-02-19,2011-08-20
14,The Good Life,Onerepublic,13076.3626,13061.3626,15,8,34,7,26,2011-04-23,2011-12-10
15,F**kin' Perfect,P!nk,12952.9503,12877.9503,75,2,30,10,23,2011-01-01,2011-08-06
16,How To Love,Lil Wayne,12531.3658,12491.3658,40,5,24,11,23,2011-06-11,2011-11-19
17,Down On Me,Jeremih,12452.9980,12412.9980,40,4,28,8,24,2011-01-01,2011-07-09
18,sssS&M,Rihanna,12416.1251,12296.1251,120,1,25,13,20,2011-02-05,2011-07-23
19,Last Friday Night (T.G.I.F.),Katy Perry,12186.8638,12066.8638,120,1,23,12,22,2011-06-18,2011-11-19
20,The Show Goes On,Lupe Fiasco,12055.4579,12040.4579,15,9,31,3,23,2011-01-29,2011-08-27
21,Stereo Hearts,Gym Class Heroes,12033.9929,11993.9929,40,4,27,14,20,2011-07-02,2011-12-31
22,The Lazy Song,Bruno Mars,12014.8003,11974.8003,40,4,26,10,21,2011-03-19,2011-09-10
23,Till The World Ends,Britney Spears,12001.1980,11926.1980,75,3,24,9,23,2011-03-19,2011-08-27
24,The Edge Of Glory,Lady Gaga,11957.7599,11882.7599,75,3,24,11,22,2011-05-28,2011-11-05
25,Tonight Tonight,Hot Chelle Rae,11947.4537,11932.4537,15,7,30,6,22,2011-04-30,2011-11-19
26,Someone Like You,Adele,11914.4413,11794.4413,120,1,24,16,18,2011-03-12,2011-12-31
27,Just A Kiss,Lady Antebellum,11498.6971,11483.6971,15,7,33,1,33,2011-05-21,2011-12-31
28,Tonight (I'm Lovin' You),Enrique Iglesias,11469.7714,11429.7714,40,4,22,12,21,2011-01-01,2011-05-28
29,You Make Me Feel...,Cobra Starship,11400.8196,11385.8196,15,7,23,9,21,2011-07-30,2011-12-31
30,Blow,Ke$ha,11286.3056,11271.3056,15,7,25,4,21,2011-02-12,2011-07-30
31,Just The Way You Are,Bruno Mars,11262.5719,11247.5719,15,6,27,5,23,2011-01-01,2011-07-02
32,Lighters,Bad Meets Evil,11152.4711,11112.4711,40,4,22,10,20,2011-07-02,2011-11-26
33,If I Die Young,The Band Perry,10953.4454,10953.4454,0,14,30,0,26,2011-01-01,2011-12-10
34,Dirt Road Anthem,Jason Aldean,10583.5675,10568.5675,15,7,27,2,19,2011-04-23,2011-10-22
35,Motivation,Kelly Rowland,10410.1454,10410.1454,0,17,25,0,21,2011-04-30,2011-10-15
36,I'm On One,Dj Khaled,10365.9058,10350.9058,15,10,23,1,20,2011-06-04,2011-11-05
37,Born This Way,Lady Gaga,10213.7716,10093.7716,120,1,20,9,16,2011-02-26,2011-07-09
38,Coming Home,Diddy - Dirty Money,9823.4636,9823.4636,0,11,21,0,20,2011-01-01,2011-05-21
39,Hey Baby (Drop It To The Floor),Pitbull,9555.9401,9540.9401,15,7,20,3,19,2011-01-01,2011-05-14
40,6 Foot 7 Foot,Lil Wayne,9504.9929,9489.9929,15,9,21,1,20,2011-01-01,2011-05-21
