rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Dark Horse,Katy Perry,16282.4142,16162.4142,120,1,44,22,39,2014-01-04,2014-11-01
2,Happy,Pharrell Williams,16249.1590,16129.1590,120,1,47,22,41,2014-01-18,2014-12-06
3,All Of Me,John Legend,16228.0172,16108.0172,120,1,49,23,43,2014-01-04,2014-12-06
4,Fancy,Iggy Azalea,15353.1219,15233.1219,120,1,39,17,29,2014-03-22,2014-12-13
5,Stay With Me,Sam Smith,15344.3364,15269.3364,75,2,36,21,30,2014-04-19,2014-12-27
6,Talk Dirty,Jason Derulo,15190.1916,15115.1916,75,3,33,18,28,2014-01-04,2014-08-16
7,Rude,Magic!,15104.6585,14984.6585,120,1,34,16,30,2014-05-10,2014-12-27
8,Counting Stars,Onerepublic,14706.3941,14631.3941,75,2,42,17,35,2014-01-04,2014-10-18
9,Pompeii,Bastille,14463.5776,14423.5776,40,5,35,15,33,2014-01-04,2014-08-30
10,Am I Wrong,Nico,14341.5862,14301.5862,40,4,31,14,29,2014-05-03,2014-11-29
11,Problem,Ariana Grande,14086.5809,14011.5809,75,2,25,16,24,2014-05-17,2014-11-01
12,Turn Down For What,Dj Snake,13967.6205,13927.6205,40,4,37,15,30,2014-01-11,2014-09-20
13,Timber,Pitbull,13815.9300,13695.9300,120,1,29,12,26,2014-01-04,2014-07-19
14,All About That Bass,Meghan Trainor,13663.7586,13543.7586,120,1,23,20,21,2014-07-26,2014-12-27
15,Team,Lorde,13601.1756,13586.1756,15,6,26,14,25,2014-01-04,2014-06-28
16,Let It Go,Idina Menzel,13329.5636,13289.5636,40,5,30,9,28,2014-01-04,2014-07-26
17,Chandelier,Sia,13232.3242,13217.3242,15,8,32,8,28,2014-05-24,2014-12-27
18,Habits (Stay High),Tove Lo,12118.4804,12043.4804,75,3,29,10,20,2014-06-14,2014-12-27
19,Black Widow,Iggy Azalea,12084.0033,12009.0033,75,3,24,13,21,2014-07-19,2014-12-27
20,Bang Bang,"Jessie J, Ariana Grande",11925.7393,11850.7393,75,3,20,16,20,2014-08-16,2014-12-27
21,Latch,Disclosure,11819.9214,11804.9214,15,7,33,4,23,2014-03-29,2014-11-15
22,Loyal,Chris Brown,11777.6669,11762.6669,15,9,36,2,26,2014-02-01,2014-10-04
23,Best Day Of My Life,American Authors,11760.6515,11760.6515,0,11,31,0,26,2014-01-04,2014-08-02
24,Rather Be,Clean Bandit,11732.5238,11717.5238,15,10,27,1,23,2014-06-28,2014-12-27
25,Story Of My Life,One Direction,11682.8257,11667.8257,15,9,25,4,21,2014-01-04,2014-06-21
26,Boom Clap,Charli Xcx,11623.3264,11608.3264,15,8,25,4,22,2014-06-21,2014-12-06
27,Wake Me Up!,Avicii,11586.5513,11571.5513,15,8,28,4,26,2014-01-04,2014-07-12
28,Let Her Go,Passenger,11537.3205,11497.3205,40,5,23,9,21,2014-01-04,2014-06-07
29,Summer,Calvin Harris,11368.1270,11353.1270,15,7,26,9,19,2014-04-05,2014-09-27
30,Demons,Imagine Dragons,11351.5171,11336.5171,15,6,27,4,23,2014-01-04,2014-07-05
31,Maps,Maroon 5,11328.4320,11313.4320,15,6,22,8,21,2014-07-05,2014-11-29
32,Don't Tell 'Em,Jeremih,11085.5088,11070.5088,15,6,25,8,21,2014-07-12,2014-12-27
33,Break Free,Ariana Grande,11021.0465,10981.0465,40,4,22,8,20,2014-07-19,2014-12-13
34,Bailando,Enrique Iglesias,10991.4336,10991.4336,0,12,30,0,21,2014-05-17,2014-12-06
35,Shake It Off,Taylor Swift,10980.0008,10860.0008,120,1,17,17,17,2014-09-06,2014-12-27
36,Show Me,Kid Ink,10944.6176,10944.6176,0,13,25,0,22,2014-01-04,2014-06-21
37,Say Something,A Great Big World,10731.8623,10691.8623,40,4,20,11,19,2014-01-04,2014-05-17
38,The Monster,Eminem,10691.5079,10571.5079,120,1,22,6,18,2014-01-04,2014-05-31
39,Drunk In Love,Beyonce,10397.2822,10322.2822,75,2,20,8,18,2014-01-04,2014-05-17
40,Not A Bad Thing,Justin Timberlake,10091.0757,10076.0757,15,8,22,6,18,2014-03-15,2014-08-09
41,This Is How We Roll,Florida Georgia Line,9870.2270,9870.2270,0,15,27,0,18,2014-03-01,2014-08-30
42,Burn,Ellie Goulding,9857.7239,9857.7239,0,13,21,0,19,2014-01-04,2014-05-24
43,Ain't It Fun,Paramore,9811.9447,9796.9447,15,10,24,1,17,2014-03-15,2014-08-23
44,Royals,Lorde,9716.4972,9676.4972,40,4,20,7,17,2014-01-04,2014-05-17
45,Wiggle,Jason Derulo,9680.0803,9640.0803,40,5,21,9,16,2014-05-17,2014-10-04
46,Don't,Ed Sheeran,9536.7962,9521.7962,15,9,27,3,16,2014-06-28,2014-12-27
47,The Man,Aloe Blacc,9314.3858,9299.3858,15,8,19,5,18,2014-01-18,2014-05-24
48,Na Na,Trey Songz,9132.5943,9132.5943,0,21,28,0,19,2014-02-08,2014-08-16
49,Hot Boy,Bobby Shmurda,9077.3764,9062.3764,15,6,20,6,16,2014-08-16,2014-12-27
50,Anaconda,Nicki Minaj,8888.7751,8813.7751,75,2,19,8,15,2014-08-23,2014-12-27
51,Classic,Mkto,8838.3402,8838.3402,0,14,27,0,17,2014-03-01,2014-08-30
52,A Sky Full Of Stars,Coldplay,8715.4974,8700.4974,15,10,26,1,15,2014-05-17,2014-11-08
53,Cool Kids,Echosmith,8674.1321,8674.1321,0,13,23,0,17,2014-07-26,2014-12-27
54,Animals,Maroon 5,8123.2625,8048.2625,75,3,17,11,12,2014-09-06,2014-12-27
55,Hey Brother,Avicii,8079.3732,8079.3732,0,16,21,0,16,2014-01-04,2014-05-24
56,Trumpets,Jason Derulo,7946.7362,7946.7362,0,14,29,0,13,2014-06-14,2014-12-27
57,Lifestyle,Rich Gang,7940.9162,7940.9162,0,16,22,0,17,2014-08-02,2014-12-27
58,Bottoms Up,Brantley Gilbert,7861.8997,7861.8997,0,20,25,0,15,2014-01-04,2014-06-21
59,Play It Again,Luke Bryan,7807.4343,7807.4343,0,14,20,0,15,2014-03-29,2014-08-09
60,Burnin' It Down,Jason Aldean,7755.1357,7755.1357,0,12,20,0,16,2014-08-09,2014-12-20
61,Sing,Ed Sheeran,7691.3305,7691.3305,0,13,20,0,13,2014-04-26,2014-09-06
62,2 On,Tinashe,7602.0750,7602.0750,0,24,24,0,16,2014-05-24,2014-11-01
63,Dirt,Florida Georgia Line,7461.3383,7461.3383,0,11,20,0,15,2014-07-26,2014-12-06
64,Love Runs Out,Onerepublic,7347.0607,7347.0607,0,15,20,0,14,2014-05-03,2014-10-04
65,Roar,Katy Perry,7242.1190,7227.1190,15,8,16,1,14,2014-01-04,2014-04-19
66,Radioactive,Imagine Dragons,7174.9967,7174.9967,0,13,19,0,15,2014-01-04,2014-05-10
67,Me And My Broken Heart,Rixton,7043.5658,7043.5658,0,14,20,0,12,2014-04-12,2014-08-23
68,Animals,Martin Garrix,7030.9633,7030.9633,0,21,21,0,12,2014-01-04,2014-05-24
69,My Hitta,Yg,7017.3472,7017.3472,0,19,17,0,15,2014-01-04,2014-04-26
70,Shower,Becky G,6906.1378,6906.1378,0,16,20,0,12,2014-06-21,2014-11-01
71,New Flame,Chris Brown,6642.3479,6642.3479,0,27,22,0,14,2014-07-19,2014-12-27
72,Wrecking Ball,Miley Cyrus,6407.9315,6392.9315,15,9,15,2,13,2014-01-04,2014-04-12
73,Take Me To Church,Hozier,6375.2895,6300.2895,75,2,18,8,9,2014-08-30,2014-12-27
74,American Kids,Kenny Chesney,6334.6775,6334.6775,0,23,20,0,13,2014-07-05,2014-11-15
75,I'm Not The Only One,Sam Smith,6129.9647,6089.9647,40,5,15,5,10,2014-06-21,2014-12-27
76,Blame,Calvin Harris,5984.1281,5984.1281,0,19,14,0,14,2014-09-27,2014-12-27
77,Waves,Mr. Probz,5942.8372,5942.8372,0,14,17,0,11,2014-09-06,2014-12-27
78,"Hold On, We're Going Home",Drake,5770.7068,5770.7068,0,13,14,0,12,2014-01-04,2014-04-05
79,La La La,Naughty Boy,5763.9569,5763.9569,0,19,20,0,11,2014-03-08,2014-07-19
80,Drunk On A Plane,Dierks Bentley,5636.3576,5636.3576,0,27,20,0,9,2014-05-31,2014-10-11
81,Jealous,Nick Jonas,5590.5907,5575.5907,15,8,14,3,11,2014-09-27,2014-12-27
82,Bartender,Lady Antebellum,5539.9638,5539.9638,0,31,20,0,9,2014-06-07,2014-10-18
83,Brave,Sara Bareilles,5360.5712,5360.5712,0,23,15,0,12,2014-01-04,2014-04-12
84,Can't Remember To Forget You,Shakira,5356.5360,5356.5360,0,15,19,0,10,2014-02-01,2014-06-07
85,Partition,Beyonce,5302.3988,5302.3988,0,23,21,0,12,2014-01-25,2014-06-14
86,Believe Me,Lil Wayne,5280.8405,5280.8405,0,26,20,0,10,2014-06-14,2014-10-25
87,0 To 100 / The Catch Up,Drake,5270.2020,5270.2020,0,35,20,0,7,2014-08-09,2014-12-20
88,Birthday,Katy Perry,5255.6589,5255.6589,0,17,18,0,11,2014-04-26,2014-08-23
