rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
57,Ten Commandments Of Love,Harvey,3806.2891,3806.2891,0,22,16,0,4,1958-09-15,1958-12-29
58,Love Is All We Need,Tommy Edwards,3778.0713,3778.0713,0,15,10,0,7,1958-10-27,1958-12-29
59,Itchy Twitchy Feeling,Bobby Hendricks,3726.8105,3726.8105,0,25,14,0,4,1958-08-04,1958-11-03
60,Splish Splash,Bobby Darin,3500.8291,3425.8291,75,3,8,3,5,1958-08-04,1958-09-22
61,"Promise Me, Love",Andy Williams,3486.2076,3486.2076,0,17,12,0,6,1958-09-01,1958-11-17
62,Down The Aisle Of Love,The Quin-tones,3472.7858,3472.7858,0,20,12,0,6,1958-08-18,1958-11-03
63,Cannonball,Duane Eddy His Twangy Guitar And The Rebels,3458.8719,3458.8719,0,15,9,0,7,1958-11-03,1958-12-29
64,The Secret,Gordon Macrae,3384.9727,3384.9727,0,18,13,0,6,1958-09-15,1958-12-08
65,If Dreams Came True,Pat Boone,3375.7276,3375.7276,0,12,10,0,6,1958-08-04,1958-10-06
66,A Letter To An Angel,Jimmy Clanton,3318.3093,3318.3093,0,25,11,0,5,1958-10-20,1958-12-29
67,Smoke Gets In Your Eyes,The Platters,3270.6736,3195.6736,75,2,7,3,5,1958-11-17,1958-12-29
68,Treasure Of Your Love,Eileen Rodgers,3253.5740,3253.5740,0,26,15,0,4,1958-08-25,1958-12-01
69,Carol,Chuck Berry,3244.5456,3244.5456,0,18,10,0,5,1958-08-25,1958-10-27
70,Bimbombey,Jimmie Rodgers,3215.1686,3215.1686,0,11,8,0,5,1958-11-10,1958-12-29
71,For My Good Fortune,Pat Boone,3116.9854,3116.9854,0,23,11,0,4,1958-09-22,1958-12-01
72,One Summer Night,The Danleers,3116.3075,3116.3075,0,16,8,0,6,1958-08-04,1958-09-22
73,Lazy Summer Night,The Four Preps,3052.3175,3052.3175,0,21,10,0,6,1958-08-18,1958-10-20
74,Hard Headed Woman,Elvis Presley,2990.3864,2950.3864,40,4,8,2,5,1958-08-04,1958-09-22
75,She Was Only Seventeen (He Was One Year More),Marty Robbins,2954.2709,2954.2709,0,27,13,0,5,1958-08-04,1958-10-27
76,Whole Lotta Loving,Fats Domino,2899.9571,2884.9571,15,10,7,1,5,1958-11-17,1958-12-29
77,The World Outside,The Four Coins,2795.9740,2795.9740,0,21,8,0,7,1958-11-10,1958-12-29
78,That Old Black Magic,Louis Prima And Keely Smith,2762.8210,2762.8210,0,18,9,0,6,1958-11-03,1958-12-29
79,A Certain Smile,Johnny Mathis,2759.0909,2759.0909,0,22,9,0,6,1958-08-04,1958-09-29
80,Walking Along,The Diamonds,2712.2033,2712.2033,0,29,10,0,6,1958-10-27,1958-12-29
81,I'll Remember Tonight,Pat Boone,2699.1039,2699.1039,0,34,10,0,5,1958-10-27,1958-12-29
82,Topsy I,Cozy Cole,2683.8592,2683.8592,0,27,13,0,3,1958-09-15,1958-12-08
83,Moon Talk,Perry Como,2676.3279,2676.3279,0,29,9,0,6,1958-08-04,1958-09-29
84,"Summertime, Summertime",The Jamies,2660.0168,2660.0168,0,26,11,0,4,1958-08-18,1958-10-27
85,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,2587.3854,2587.3854,0,13,7,0,5,1958-08-04,1958-09-15
86,The Chipmunk Song,The Chipmunks,2509.4690,2389.4690,120,1,5,3,4,1958-12-01,1958-12-29
