rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Hanging By A Moment,Lifehouse,15618.7948,15543.7948,75,2,47,20,43,2001-02-10,2001-12-29
2,I'm Real,Jennifer Lopez,15124.1166,15004.1166,120,1,26,19,25,2001-07-07,2001-12-29
3,Fallin',Alicia Keys,14843.9915,14723.9915,120,1,29,19,24,2001-06-16,2001-12-29
4,Let Me Blow Ya Mind,Eve,14803.8149,14728.8149,75,2,33,17,28,2001-04-28,2001-12-08
5,Drops Of Jupiter (Tell Me),Train,14451.5493,14411.5493,40,5,42,14,35,2001-03-17,2001-12-29
6,It's Been Awhile,Staind,14256.1629,14216.1629,40,5,38,12,29,2001-04-14,2001-12-29
7,Where The Party At,Jagged Edge,13823.3406,13748.3406,75,3,29,13,25,2001-06-02,2001-12-15
8,Again,Lenny Kravitz,13670.8779,13630.8779,40,4,25,14,24,2001-01-06,2001-06-23
9,Hit 'Em Up Style (Oops!),Blu Cantrell,13645.9250,13570.9250,75,2,34,16,21,2001-05-05,2001-12-22
10,Thank You,Dido,13625.2324,13550.2324,75,3,39,11,29,2001-01-13,2001-10-06
11,Ride Wit Me,Nelly,13517.3443,13442.3443,75,3,29,12,26,2001-02-24,2001-09-08
12,Peaches & Cream,112,13437.0641,13397.0641,40,4,29,8,25,2001-04-14,2001-10-27
13,Angel,Shaggy,13204.1116,13084.1116,120,1,26,13,22,2001-01-06,2001-07-07
14,U Remind Me,Usher,13133.8865,13013.8865,120,1,24,16,22,2001-06-16,2001-11-24
15,Stutter,Joe,13019.6162,12899.6162,120,1,25,13,22,2001-01-06,2001-06-30
16,If You're Gone,Matchbox Twenty,12879.4104,12839.4104,40,5,31,9,25,2001-01-06,2001-08-04
17,Follow Me,Uncle Kracker,12850.5989,12810.5989,40,5,33,8,27,2001-03-10,2001-10-20
18,What Would You Do?,City High,12730.7698,12715.7698,15,8,28,4,25,2001-03-24,2001-09-29
19,Family Affair,Mary J. Blige,12622.7207,12502.7207,120,1,23,15,20,2001-07-28,2001-12-29
20,All For You,Janet,12205.9746,12085.9746,120,1,22,14,20,2001-03-17,2001-08-11
21,Fill Me In,Craig David,12157.9417,12157.9417,0,15,27,0,23,2001-06-09,2001-12-08
22,Drive,Incubus,11819.9897,11804.9897,15,9,39,3,23,2001-02-17,2001-11-10
23,I Hope You Dance,Lee Ann Womack,11372.0452,11372.0452,0,14,28,0,24,2001-01-27,2001-08-04
24,Put It On Me,Ja Rule,11214.1754,11199.1754,15,8,24,7,21,2001-01-06,2001-06-23
25,Differences,Ginuwine,11075.8694,11035.8694,40,4,23,12,19,2001-07-28,2001-12-29
26,South Side,Moby,11030.8713,11030.8713,0,14,26,0,25,2001-01-06,2001-07-07
27,Get Ur Freak On,"Missy ""misdemeanor"" Elliott",10845.3213,10830.3213,15,7,24,7,19,2001-03-24,2001-09-01
28,Butterfly,Crazy Town,10748.8629,10628.8629,120,1,23,8,18,2001-01-06,2001-06-09
29,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya",10515.8733,10395.8733,120,1,20,12,17,2001-04-14,2001-08-25
30,Only Time,Enya,10174.3695,10159.3695,15,10,25,3,18,2001-07-14,2001-12-29
31,Someone To Call My Lover,Janet,9644.6421,9569.6421,75,3,20,6,17,2001-06-23,2001-11-03
32,Survivor,Destiny's Child,9639.6092,9564.6092,75,2,20,11,15,2001-03-17,2001-07-28
33,The Way You Love Me,Faith Hill,9445.4375,9430.4375,15,6,21,6,17,2001-01-06,2001-05-26
34,Love Don't Cost A Thing,Jennifer Lopez,9424.1772,9349.1772,75,3,17,10,16,2001-01-06,2001-04-28
35,Crazy,K-ci,9391.8743,9391.8743,0,11,20,0,19,2001-01-06,2001-05-26
36,All Or Nothing,O-town,9361.0926,9286.0926,75,3,20,6,16,2001-06-09,2001-10-20
37,I'm Like A Bird,Nelly Furtado,9337.2585,9322.2585,15,9,24,1,17,2001-03-03,2001-08-11
38,Turn Off The Light,Nelly Furtado,9334.1885,9294.1885,40,5,20,8,16,2001-08-18,2001-12-29
39,When It's Over,Sugar Ray,9312.9716,9312.9716,0,13,22,0,18,2001-06-02,2001-10-27
40,Izzo (H.O.V.A.),Jay-z,8965.9505,8950.9505,15,8,20,5,17,2001-07-28,2001-12-08
