rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Yeah!,Usher,16428.4123,16308.4123,120,1,45,24,41,2004-01-10,2004-11-13
2,Burn,Usher,15245.1946,15125.1946,120,1,30,18,27,2004-03-13,2004-10-02
3,If I Ain't Got You,Alicia Keys,15212.8399,15172.8399,40,4,40,20,38,2004-03-06,2004-12-04
4,Lean Back,Terror Squad,14842.1221,14722.1221,120,1,27,17,25,2004-06-26,2004-12-25
5,The Reason,Hoobastank,14695.6013,14620.6013,75,2,38,14,34,2004-03-20,2004-12-04
6,Goodies,Ciara,14446.2112,14326.2112,120,1,27,17,24,2004-06-26,2004-12-25
7,This Love,Maroon 5,14435.3796,14395.3796,40,5,43,14,38,2004-02-14,2004-12-04
8,I Don't Wanna Know,Mario Winans,14087.6588,14012.6588,75,2,30,14,25,2004-02-21,2004-09-11
9,Tipsy,J-kwon,14041.2522,13966.2522,75,2,30,12,26,2004-01-17,2004-08-07
10,Slow Motion,Juvenile,13915.6028,13795.6028,120,1,28,12,23,2004-05-01,2004-11-06
11,The Way You Move,Outkast,13801.5355,13681.5355,120,1,25,13,23,2004-01-03,2004-06-19
12,Confessions Part II,Usher,13376.9589,13256.9589,120,1,25,13,22,2004-05-01,2004-10-16
13,Freek-A-Leek,Petey Pablo,12850.1526,12835.1526,15,7,39,7,26,2004-01-03,2004-09-25
14,My Immortal,Evanescence,12467.4941,12452.4941,15,7,32,5,27,2004-01-10,2004-08-14
15,Dirt Off Your Shoulder,Jay-z,12465.4012,12425.4012,40,5,26,7,23,2004-01-24,2004-07-17
16,Move Ya Body,Nina Sky,12463.2162,12423.2162,40,4,26,9,22,2004-05-01,2004-10-23
17,Diary,Alicia Keys,12404.0541,12389.0541,15,8,28,4,25,2004-06-19,2004-12-25
18,Someday,Nickelback,12213.4120,12198.4120,15,7,31,4,25,2004-01-03,2004-07-31
19,She Will Be Loved,Maroon 5,12178.4920,12138.4920,40,5,23,11,21,2004-07-24,2004-12-25
20,Here Without You,3 Doors Down,11887.1556,11872.1556,15,7,33,6,27,2004-01-03,2004-08-14
21,Dip It Low,Christina Milian,11742.6351,11702.6351,40,5,30,9,20,2004-04-24,2004-11-13
22,The First Cut Is The Deepest,Sheryl Crow,11479.7871,11479.7871,0,14,26,0,23,2004-01-03,2004-06-26
23,Heaven,Los Lonely Boys,11424.4106,11424.4106,0,16,30,0,25,2004-05-15,2004-12-04
24,Turn Me On,Kevin Lyttle,11325.1542,11285.1542,40,4,25,10,20,2004-05-22,2004-11-06
25,Sunshine,Lil' Flip,11211.7654,11136.7654,75,2,23,11,18,2004-06-19,2004-11-20
26,Naughty Girl,Beyonce,11147.9396,11072.9396,75,3,22,11,19,2004-03-27,2004-08-21
27,Hey Ya!,Outkast,11064.0853,10944.0853,120,1,21,11,19,2004-01-03,2004-05-22
28,Numb,Linkin Park,10710.6646,10710.6646,0,11,24,0,22,2004-01-03,2004-06-12
29,Hotel,Cassidy,10627.4968,10587.4968,40,4,22,9,18,2004-01-03,2004-05-29
30,White Flag,Dido,10512.8141,10512.8141,0,18,26,0,23,2004-01-03,2004-06-26
31,Jesus Walks,Kanye West,10418.6391,10418.6391,0,11,25,0,20,2004-05-08,2004-10-23
32,Slow Jamz,Twista,10326.4257,10206.4257,120,1,18,13,17,2004-01-03,2004-05-01
33,Leave (Get Out),Jojo,10143.8811,10143.8811,0,12,29,0,19,2004-04-10,2004-10-23
34,One Call Away,Chingy,10115.6248,10040.6248,75,2,20,9,17,2004-01-31,2004-06-12
35,Locked Up,Akon,10109.6187,10094.6187,15,8,27,7,18,2004-06-12,2004-12-11
36,My Place,Nelly,10052.4135,10012.4135,40,4,20,10,17,2004-07-24,2004-12-04
37,My Boo,Usher And Alicia Keys,10031.0112,9911.0112,120,1,16,14,16,2004-09-11,2004-12-25
38,Overnight Celebrity,Twista,9987.6096,9972.6096,15,6,20,9,18,2004-03-27,2004-08-07
39,Pieces Of Me,Ashlee Simpson,9882.9652,9842.9652,40,5,21,6,18,2004-07-03,2004-11-20
40,Meant To Live,Switchfoot,9771.9945,9771.9945,0,18,28,0,18,2004-04-03,2004-10-09
