rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,The Sign,Ace Of Base,16037.4202,15917.4202,120,1,41,21,33,1994-01-01,1994-10-08
2,I Swear,All-4-one,15174.9341,15054.9341,120,1,30,18,26,1994-04-23,1994-11-12
3,The Power Of Love,Celine Dion,14852.0269,14732.0269,120,1,28,16,25,1994-01-01,1994-07-09
4,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb,14644.8799,14524.8799,120,1,30,16,25,1994-05-07,1994-11-26
5,Don't Turn Around,Ace Of Base,14447.3058,14407.3058,40,4,31,15,28,1994-05-07,1994-12-03
6,Wild Night,John Mellencamp,14064.2638,13989.2638,75,3,32,13,29,1994-05-28,1994-12-31
7,When Can I See You,Babyface,13535.2537,13495.2537,40,4,29,11,26,1994-06-18,1994-12-31
8,"I'll Remember (From ""With Honors"")",Madonna,13486.9725,13411.9725,75,2,26,10,24,1994-04-02,1994-09-24
9,I'll Make Love To You,Boyz Ii Men,13385.0898,13265.0898,120,1,21,20,21,1994-08-13,1994-12-31
10,You Mean The World To Me,Toni Braxton,13248.8060,13233.8060,15,7,31,8,28,1994-04-02,1994-10-29
11,Whatta Man,Salt-n-pepa,13124.1637,13049.1637,75,3,29,11,24,1994-01-22,1994-08-06
12,The Most Beautiful Girl In The World,Prince,13000.0011,12925.0011,75,3,26,11,22,1994-03-05,1994-08-27
13,Bump N' Grind,R. Kelly,12955.8793,12835.8793,120,1,25,12,23,1994-02-05,1994-07-23
14,"Baby I Love Your Way (From ""Reality Bites"")",Big Mountain,12922.4136,12907.4136,15,6,28,9,24,1994-02-26,1994-09-03
15,If You Go,Jon Secada,12894.9713,12879.9713,15,10,31,4,27,1994-05-07,1994-12-03
16,Breathe Again,Toni Braxton,12810.9013,12735.9013,75,3,24,13,24,1994-01-01,1994-06-11
17,"Can You Feel The Love Tonight (From ""The Lion King"")",Elton John,12767.0063,12727.0063,40,4,26,12,23,1994-05-21,1994-11-12
18,Now And Forever,Richard Marx,12468.0879,12453.0879,15,7,27,11,23,1994-01-22,1994-07-23
19,100% Pure Love,Crystal Waters,12353.9791,12353.9791,0,11,32,0,26,1994-05-28,1994-12-31
20,Without You/Never Forget You,Mariah Carey,12218.9173,12143.9173,75,3,23,13,21,1994-01-29,1994-07-02
21,Shine,Collective Soul,12108.5445,12108.5445,0,11,29,0,23,1994-05-07,1994-11-19
22,Fantastic Voyage,Coolio,11970.7675,11895.7675,75,3,25,11,21,1994-06-04,1994-11-19
23,Back & Forth,Aaliyah,11935.8156,11895.8156,40,5,24,12,21,1994-04-30,1994-10-08
24,All I Wanna Do,Sheryl Crow,11590.5350,11515.5350,75,2,22,14,19,1994-08-06,1994-12-31
25,Return To Innocence,Enigma,11460.8882,11420.8882,40,4,26,6,21,1994-03-05,1994-08-27
26,Tootsee Roll,69 Boyz,11442.3120,11427.3120,15,9,26,1,22,1994-07-09,1994-12-31
27,Never Lie,Immature,10866.5715,10826.5715,40,5,23,9,20,1994-07-30,1994-12-31
28,"Any Time, Any Place/And On And On",Janet Jackson,10833.6976,10758.6976,75,2,20,11,19,1994-05-28,1994-10-08
29,"Regulate (From ""Above The Rim"")",Warren G,10763.5958,10688.5958,75,2,20,11,18,1994-04-23,1994-09-03
30,So Much In Love,All-4-one,10584.9807,10544.9807,40,5,22,11,19,1994-01-01,1994-05-28
31,Hero,Mariah Carey,10308.0426,10188.0426,120,1,20,10,17,1994-01-01,1994-05-14
32,Stroke You Up,Changing Faces,10250.3487,10175.3487,75,3,21,9,18,1994-07-30,1994-12-17
33,Mmm Mmm Mmm Mmm,Crash Test Dummies,10171.2145,10131.2145,40,4,24,8,18,1994-01-29,1994-07-09
34,Another Night,Real Mccoy,10102.2562,10027.2562,75,3,19,13,16,1994-08-27,1994-12-31
35,Come To My Window,Melissa Etheridge,9986.2651,9986.2651,0,25,44,0,26,1994-02-26,1994-12-24
36,All That She Wants,Ace Of Base,9972.1610,9897.1610,75,3,21,7,18,1994-01-01,1994-05-21
37,Cantaloop (Flip Fantasia),Us3,9928.0255,9913.0255,15,9,22,4,18,1994-01-01,1994-05-28
38,I'm Ready,Tevin Campbell,9874.7707,9859.7707,15,9,22,3,18,1994-03-12,1994-08-06
39,All For Love,Bryan Adams/rod Stewart/sting,9611.6826,9491.6826,120,1,17,11,16,1994-01-01,1994-04-23
40,Funkdafied,Da Brat,9595.9991,9580.9991,15,6,20,8,17,1994-06-04,1994-10-15
