rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Kiss From A Rose,Seal,15158.3712,15038.3712,120,1,28,17,26,1995-06-24,1995-12-30
2,Waterfalls,Tlc,15113.1602,14993.1602,120,1,30,18,28,1995-06-10,1995-12-30
3,Take A Bow,Madonna,14613.7754,14493.7754,120,1,27,15,25,1995-01-07,1995-07-08
4,I Can Love You Like That,All-4-one,14271.9447,14231.9447,40,5,29,15,28,1995-06-17,1995-12-30
5,Don't Take It Personal (Just One Of Dem Days),Monica,14250.1780,14175.1780,75,2,29,14,27,1995-04-29,1995-11-11
6,Freak Like Me,Adina Howard,14050.9873,13975.9873,75,2,30,12,27,1995-02-11,1995-09-02
7,Run-Around,Blues Traveler,13896.1596,13881.1596,15,8,41,9,33,1995-03-25,1995-12-30
8,Water Runs Dry,Boyz Ii Men,13877.0216,13802.0216,75,2,28,16,25,1995-04-29,1995-11-04
9,This Is How We Do It,Montell Jordan,13795.8636,13675.8636,120,1,29,14,24,1995-02-25,1995-09-09
10,I Know,Dionne Farris,13711.9870,13671.9870,40,4,38,10,29,1995-01-28,1995-10-14
11,Creep,Tlc,13198.3937,13078.3937,120,1,24,15,22,1995-01-07,1995-06-17
12,Boombastic/In The Summertime,Shaggy,13055.0042,12980.0042,75,3,29,12,23,1995-05-20,1995-12-02
13,You Gotta Be,Des'ree,12835.7133,12795.7133,40,5,26,10,23,1995-01-07,1995-07-01
14,Candy Rain,Soul For Real,12786.2165,12711.2165,75,2,25,12,21,1995-01-07,1995-06-24
15,Hold My Hand,Hootie,12740.3681,12725.3681,15,10,31,3,30,1995-01-07,1995-08-05
16,Another Night,Real Mccoy,12697.9598,12622.9598,75,3,26,10,24,1995-01-07,1995-07-01
17,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio,12683.8229,12563.8229,120,1,20,19,20,1995-08-19,1995-12-30
18,Have You Ever Really Loved A Woman?,Bryan Adams,12366.7391,12246.7391,120,1,24,12,20,1995-04-15,1995-09-23
19,Let Her Cry,Hootie,12275.6030,12260.6030,15,9,35,3,25,1995-03-11,1995-11-04
20,Total Eclipse Of The Heart,Nicki French,12157.9465,12082.9465,75,2,27,11,21,1995-04-01,1995-09-30
21,I Believe,Blessid Union Of Souls,12155.9526,12140.9526,15,8,31,8,23,1995-02-18,1995-09-16
22,Strong Enough,Sheryl Crow,11826.8917,11786.8917,40,5,25,11,21,1995-01-07,1995-06-24
23,Only Wanna Be With You,Hootie,11822.8246,11807.8246,15,6,22,11,22,1995-08-05,1995-12-30
24,As I Lay Me Down,Sophie B. Hawkins,11758.5275,11743.5275,15,6,31,9,21,1995-06-03,1995-12-30
25,Someone To Love,Jon B,11549.0493,11534.0493,15,10,30,1,22,1995-04-29,1995-11-18
26,In The House Of Stone And Light,Martin Page,11451.6311,11451.6311,0,14,32,0,26,1995-01-07,1995-08-12
27,Red Light Special,Tlc,11449.3784,11374.3784,75,2,22,12,19,1995-03-04,1995-07-29
28,Big Poppa/Warning,The Notorious B.i.g,11031.1156,11016.1156,15,6,24,7,20,1995-01-14,1995-06-24
29,December,Collective Soul,11024.8738,11024.8738,0,20,34,0,30,1995-05-13,1995-12-30
30,If You Love Me,Brownstone,10934.5420,10919.5420,15,8,23,5,22,1995-01-07,1995-06-10
31,Every Little Thing I Do,Soul For Real,10895.2222,10895.2222,0,17,26,0,24,1995-05-06,1995-10-28
32,I Got 5 On It,Luniz,10817.4708,10802.4708,15,8,25,4,20,1995-06-10,1995-11-25
33,"Colors Of The Wind (From ""Pocahontas"")",Vanessa Williams,10691.8027,10651.8027,40,4,23,7,19,1995-06-24,1995-11-25
34,On Bended Knee,Boyz Ii Men,10688.7399,10568.7399,120,1,20,11,18,1995-01-07,1995-05-20
35,"Shy Guy (From ""Bad Boys"")",Diana King,10545.2162,10545.2162,0,13,29,0,20,1995-04-01,1995-10-14
36,Roll To Me,Del Amitri,10476.9701,10461.9701,15,10,26,1,19,1995-07-08,1995-12-30
37,One More Chance/Stay With Me,The Notorious B.i.g,10131.8725,10056.8725,75,2,20,10,17,1995-06-24,1995-11-04
38,Hold On,Jamie Walters,10097.1818,10097.1818,0,16,27,0,20,1995-01-28,1995-07-29
39,Run Away,Real Mccoy,10088.5474,10013.5474,75,3,20,8,17,1995-03-11,1995-07-22
40,Baby,Brandy,10024.7337,9984.7337,40,4,20,9,18,1995-02-04,1995-06-17
41,Carnival,Natalie Merchant,9945.5632,9930.5632,15,10,22,1,19,1995-08-05,1995-12-30
42,Back For Good,Take That,9838.4780,9823.4780,15,7,21,5,18,1995-08-12,1995-12-30
43,He's Mine,Mokenstef,9825.0558,9810.0558,15,7,23,4,18,1995-06-17,1995-11-18
44,Runaway,Janet Jackson,9772.6709,9697.6709,75,3,16,14,16,1995-09-16,1995-12-30
45,You Are Not Alone,Michael Jackson,9197.7581,9077.7581,120,1,18,10,14,1995-09-02,1995-12-30
46,Always,Bon Jovi,9154.0439,9114.0439,40,4,18,8,16,1995-01-07,1995-05-06
47,Tell Me,Groove Theory,9129.3465,9089.3465,40,5,19,7,15,1995-08-26,1995-12-30
48,Fantasy,Mariah Carey,9126.7969,9006.7969,120,1,14,14,14,1995-09-30,1995-12-30
49,Dear Mama/Old School,2pac,9094.6956,9079.6956,15,9,20,4,17,1995-03-11,1995-07-22
50,"Keep Their Heads Ringin' (From ""Friday"")",Dr. Dre,8915.2446,8900.2446,15,10,20,1,18,1995-03-18,1995-07-29
51,I'll Be There For You/You're All I Need To Get By,Method Man,8618.8446,8543.8446,75,3,20,8,13,1995-05-06,1995-09-16
52,Believe,Elton John,8385.9955,8385.9955,0,13,20,0,16,1995-03-11,1995-07-22
53,The Rhythm Of The Night,Corona,8312.1515,8312.1515,0,11,19,0,17,1995-01-07,1995-05-13
54,Freek'n You,Jodeci,8070.5783,8070.5783,0,14,20,0,15,1995-06-17,1995-10-28
55,Sukiyaki,4pm,8060.3108,8045.3108,15,8,16,6,15,1995-01-07,1995-04-22
56,I'm The Only One,Melissa Etheridge,7991.0898,7976.0898,15,8,18,4,15,1995-01-07,1995-05-06
57,This Lil' Game We Play,Subway,7863.8331,7863.8331,0,15,20,0,14,1995-02-04,1995-06-17
58,I Wish,Skee-lo,7835.0872,7835.0872,0,13,27,0,13,1995-04-29,1995-10-28
59,Like The Way I Do/If I Wanted To,Melissa Etheridge,7772.6483,7772.6483,0,16,20,0,14,1995-02-18,1995-07-01
60,Before I Let You Go,Blackstreet,7638.9855,7623.9855,15,7,16,6,14,1995-01-07,1995-04-22
61,"Can't You See (From ""New Jersey Drive"")",Total,7509.3846,7509.3846,0,13,20,0,14,1995-04-08,1995-08-19
62,You Don't Know How It Feels,Tom Petty,7427.7057,7427.7057,0,13,17,0,14,1995-01-07,1995-04-29
63,Brokenhearted,Brandy,7317.4978,7302.4978,15,9,17,2,14,1995-09-09,1995-12-30
64,Breakfast At Tiffany's,Deep Blue Something,7160.1842,7145.1842,15,8,20,2,12,1995-08-19,1995-12-30
65,Come And Get Your Love,Real Mccoy,7084.3145,7084.3145,0,19,20,0,13,1995-06-10,1995-10-21
66,"No More ""I Love You's""",Annie Lennox,7000.7048,7000.7048,0,23,21,0,13,1995-03-11,1995-07-29
67,This Ain't A Love Song,Bon Jovi,6840.4611,6840.4611,0,14,20,0,13,1995-06-10,1995-10-21
68,Dream About You/Funky Melody,Stevie B,6710.4936,6710.4936,0,29,23,0,12,1995-02-11,1995-07-15
69,'Til You Do Me Right,After 7,6680.5293,6680.5293,0,31,22,0,11,1995-07-08,1995-12-02
70,Name,Goo Goo Dolls,6606.8130,6591.8130,15,8,12,8,12,1995-10-14,1995-12-30
71,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,6549.6298,6474.6298,75,3,14,5,11,1995-01-07,1995-04-08
72,Feel Me Flow,Naughty By Nature,6421.7701,6421.7701,0,17,20,0,11,1995-06-10,1995-10-21
73,Every Day Of The Week,Jade,6411.2753,6411.2753,0,20,16,0,14,1995-01-07,1995-04-22
74,Player's Anthem,Junior M.a.f.i.a,6285.7745,6285.7745,0,13,20,0,11,1995-07-22,1995-12-02
75,"Ask Of You (From ""Higher Learning"")",Raphael Saadiq,6214.4469,6214.4469,0,19,20,0,12,1995-03-25,1995-08-05
76,Sugar Hill,Az,6208.7745,6208.7745,0,25,20,0,13,1995-07-15,1995-11-25
77,You Used To Love Me,Faith Evans,6188.9214,6188.9214,0,24,20,0,12,1995-07-01,1995-11-11
78,Scream/Childhood,Michael Jackson,6178.3891,6138.3891,40,5,17,6,9,1995-06-17,1995-10-07
79,I Wanna Be Down,Brandy,6071.8826,6056.8826,15,6,14,3,12,1995-01-07,1995-04-08
80,Good,Better Than Ezra,6052.7221,6052.7221,0,30,20,0,11,1995-07-01,1995-11-11
81,The Sweetest Days,Vanessa Williams,6052.4838,6052.4838,0,18,15,0,12,1995-01-07,1995-04-15
82,Who Can I Run To,Xscape,5997.0036,5982.0036,15,8,12,2,12,1995-10-14,1995-12-30
83,I Live My Life For You,Firehouse,5940.2258,5940.2258,0,26,20,0,11,1995-02-25,1995-07-08
84,Pretty Girl,Jon B,5858.6898,5858.6898,0,25,18,0,10,1995-09-02,1995-12-30
85,Do You Sleep?,Lisa Loeb,5824.0601,5824.0601,0,18,15,0,12,1995-09-23,1995-12-30
86,Let Me Be The One,Blessid Union Of Souls,5823.9064,5823.9064,0,29,20,0,10,1995-08-05,1995-12-16
87,Constantly,Immature,5774.9089,5774.9089,0,16,14,0,11,1995-01-07,1995-04-08
88,Everlasting Love,Gloria Estefan,5751.6431,5751.6431,0,27,20,0,10,1995-01-28,1995-06-10
89,Cotton Eye Joe,Rednex,5741.5868,5741.5868,0,25,20,0,11,1995-03-11,1995-07-22
90,Brown Sugar,D'angelo,5713.8512,5713.8512,0,27,20,0,11,1995-07-01,1995-11-11
91,"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,5660.1153,5660.1153,0,16,17,0,10,1995-06-24,1995-10-14
92,Thank You,Boyz Ii Men,5659.9772,5659.9772,0,21,20,0,10,1995-02-25,1995-07-08
