rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
71,If I Were A Carpenter,Bobby Darin,5011.7004,4996.7004,15,8,11,3,9,1966-09-24,1966-12-03
72,She's Just My Style,Gary Lewis And The Playboys,4985.9307,4910.9307,75,3,9,5,9,1966-01-01,1966-02-26
73,My World Is Empty Without You,The Supremes,4905.6788,4865.6788,40,5,11,4,8,1966-01-15,1966-03-26
74,Yellow Submarine,The Beatles,4902.3200,4827.3200,75,2,9,6,8,1966-08-20,1966-10-15
75,"Somewhere, My Love",Ray Conniff And The Singers,4891.7976,4876.7976,15,9,12,3,9,1966-06-18,1966-09-03
76,Wipe Out,The Surfaris,4891.3730,4891.3730,0,16,14,0,10,1966-07-30,1966-10-29
77,"Cherry, Cherry",Neil Diamond,4855.1353,4840.1353,15,6,12,3,9,1966-08-20,1966-11-05
78,Don't Mess With Bill,The Marvelettes,4831.5444,4816.5444,15,7,12,3,8,1966-01-01,1966-03-19
79,Working In The Coal Mine,Lee Dorsey,4810.5459,4795.5459,15,8,12,2,9,1966-07-23,1966-10-08
80,Love Makes The World Go Round,Deon Jackson,4799.7803,4799.7803,0,11,14,0,9,1966-01-22,1966-04-23
81,Message To Michael,Dionne Warwick,4771.3836,4756.3836,15,8,12,2,8,1966-04-02,1966-06-18
82,Black Is Black,Los Bravos,4768.5524,4728.5524,40,4,12,3,8,1966-08-13,1966-10-29
83,Dandy,Herman's Hermits,4768.4497,4728.4497,40,5,11,4,8,1966-10-01,1966-12-10
84,Coming On Strong,Brenda Lee,4760.3419,4760.3419,0,11,13,0,8,1966-10-01,1966-12-24
85,Land Of 1000 Dances,Wilson Pickett,4757.2405,4742.2405,15,6,11,3,8,1966-07-30,1966-10-08
86,Gloria,Shadows Of Knight,4744.1342,4729.1342,15,10,12,2,8,1966-03-19,1966-06-04
87,Guantanamera,The Sandpipers,4721.7165,4706.7165,15,9,11,2,9,1966-07-30,1966-10-08
88,Oh How Happy,Shades Of Blue,4654.5919,4654.5919,0,12,12,0,8,1966-05-07,1966-07-23
