rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,As It Was,Harry Styles,17069.1381,16949.1381,120,1,38,32,38,2022-04-16,2022-12-31
2,Heat Waves,Glass Animals,16492.0515,16372.0515,120,1,43,30,43,2022-01-01,2022-10-22
3,Stay,The Kid Laroi,15739.5878,15664.5878,75,2,40,21,40,2022-01-01,2022-10-01
4,About Damn Time,Lizzo,15662.3530,15542.3530,120,1,33,22,28,2022-04-30,2022-12-10
5,Wait For U,Future,15507.6518,15387.6518,120,1,32,20,30,2022-05-14,2022-12-17
6,First Class,Jack Harlow,15505.3446,15385.3446,120,1,28,18,27,2022-04-23,2022-10-29
7,Big Energy,Latto,14672.1181,14597.1181,75,3,43,14,37,2022-01-01,2022-10-22
8,I Like You (A Happier Song),Post Malone,14425.2697,14350.2697,75,3,27,13,27,2022-06-18,2022-12-17
9,Super Gremlin,Kodak Black,14411.3797,14336.3797,75,3,36,17,30,2022-01-01,2022-09-03
10,Ghost,Justin Bieber,14204.2929,14164.2929,40,5,40,12,40,2022-01-01,2022-10-01
11,Me Porto Bonito,Bad Bunny,13988.9255,13973.9255,15,6,26,13,24,2022-05-21,2022-11-12
12,Bad Habit,Steve Lacy,13985.8700,13865.8700,120,1,25,16,23,2022-07-16,2022-12-31
13,Shivers,Ed Sheeran,13730.9532,13690.9532,40,4,38,11,38,2022-01-01,2022-09-17
14,Bad Habits,Ed Sheeran,13575.9862,13560.9862,15,8,31,5,31,2022-01-01,2022-07-30
15,Titi Me Pregunto,Bad Bunny,13510.7847,13470.7847,40,5,30,3,28,2022-05-21,2022-12-10
16,You Proof,Morgan Wallen,13352.3414,13312.3414,40,5,32,8,29,2022-05-28,2022-12-31
17,Cold Heart (PNAU Remix),Elton John,13112.3616,13097.3616,15,7,37,6,36,2022-01-01,2022-09-10
18,Wasted On You,Morgan Wallen,13088.7566,13088.7566,0,11,37,0,35,2022-04-09,2022-12-17
19,Enemy,Imagine Dragons X Jid,12962.8771,12922.8771,40,5,32,8,25,2022-01-01,2022-08-06
20,Sunroof,Nicky Youre,12821.0251,12781.0251,40,4,27,11,23,2022-06-11,2022-12-10
21,Thats What I Want,Lil Nas X,12781.1838,12766.1838,15,8,32,8,27,2022-01-01,2022-08-06
22,Late Night Talking,Harry Styles,12693.0909,12618.0909,75,3,24,7,24,2022-06-04,2022-11-12
23,Woman,Doja Cat,12086.2862,12071.2862,15,7,32,6,25,2022-01-01,2022-08-06
24,Easy On Me,Adele,12068.5935,11948.5935,120,1,21,14,20,2022-01-01,2022-05-21
25,abcdefu,Gayle,11834.9211,11759.9211,75,3,21,13,20,2022-01-01,2022-05-21
26,Running Up That Hill (A Deal With God),Kate Bush,11461.7791,11386.7791,75,3,20,15,19,2022-06-11,2022-10-22
27,Jimmy Cooks,Drake,11452.2635,11332.2635,120,1,24,5,23,2022-07-02,2022-12-10
28,I Ain't Worried,Onerepublic,11134.1392,11119.1392,15,6,25,7,20,2022-06-25,2022-12-10
29,The Kind Of Love We Make,Luke Combs,11120.9879,11105.9879,15,8,23,3,22,2022-07-02,2022-12-03
30,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz",10789.4893,10669.4893,120,1,20,13,17,2022-01-08,2022-05-21
31,Vegas,Doja Cat,10713.8289,10698.8289,15,10,26,1,23,2022-06-18,2022-12-10
32,Need To Know,Doja Cat,10665.1579,10650.1579,15,8,21,3,20,2022-01-01,2022-05-21
33,Industry Baby,Lil Nas X,10230.1464,10215.1464,15,6,21,1,20,2022-01-01,2022-05-21
34,Something In The Orange,Zach Bryan,10177.7611,10177.7611,0,12,35,0,19,2022-05-07,2022-12-31
35,Moscow Mule,Bad Bunny,9943.4216,9903.4216,40,4,23,1,22,2022-05-21,2022-10-22
36,Super Freaky Girl,Nicki Minaj,9900.8970,9780.8970,120,1,19,11,17,2022-08-27,2022-12-31
37,She Had Me At Heads Carolina,Cole Swindell,9868.5876,9868.5876,0,16,27,0,21,2022-06-11,2022-12-10
38,Numb Little Bug,Em Beihold,9615.2566,9615.2566,0,18,32,0,16,2022-02-12,2022-09-17
39,One Right Now,Post Malone,9114.0196,9114.0196,0,17,21,0,20,2022-01-01,2022-06-18
40,Break My Soul,Beyonce,8911.4746,8791.4746,120,1,18,10,15,2022-07-02,2022-10-29
41,In A Minute,Lil Baby,8848.2265,8848.2265,0,14,28,0,17,2022-04-23,2022-10-29
42,'Til You Can't,Cody Johnson,8608.7624,8608.7624,0,18,26,0,14,2022-01-01,2022-06-25
43,Levitating,Dua Lipa,8547.0749,8547.0749,0,12,17,0,17,2022-01-15,2022-05-07
44,Glimpse Of Us,Joji,8539.4978,8524.4978,15,8,20,3,18,2022-06-25,2022-11-05
45,Boyfriend,Dove Cameron,8480.8847,8480.8847,0,16,24,0,16,2022-02-26,2022-08-06
46,Save Your Tears,The Weeknd,8316.6541,8316.6541,0,16,17,0,17,2022-01-15,2022-05-07
47,Good 4 U,Olivia Rodrigo,8149.2919,8149.2919,0,15,20,0,19,2022-01-01,2022-05-14
48,Unholy,Sam Smith,8111.5997,7991.5997,120,1,13,12,13,2022-10-08,2022-12-31
49,Hrs And Hrs,Muni Long,8094.6230,8094.6230,0,16,20,0,17,2022-01-08,2022-05-21
50,Pushin P,Gunna,8005.9546,7990.9546,15,7,20,5,14,2022-01-22,2022-06-04
51,Fall In Love,Bailey Zimmerman,7897.8821,7897.8821,0,29,32,0,12,2022-04-30,2022-12-17
52,I'm Good (Blue),David Guetta,7721.8615,7706.8615,15,7,17,2,15,2022-09-10,2022-12-31
53,Rock And A Hard Place,Bailey Zimmerman,7617.7600,7617.7600,0,24,28,0,14,2022-06-25,2022-12-31
54,I Hate U,Sza,7524.9026,7524.9026,0,22,19,0,17,2022-01-01,2022-05-07
55,MAMIII,Becky G X Karol G,7498.8270,7498.8270,0,15,20,0,14,2022-02-26,2022-07-09
56,Surface Pressure,Jessica Darrow,7473.0074,7458.0074,15,8,19,4,13,2022-01-08,2022-05-14
57,Sweetest Pie,Megan Thee Stallion,7128.2324,7128.2324,0,15,21,0,12,2022-03-26,2022-08-27
58,Provenza,Karol G,7037.8455,7037.8455,0,25,21,0,12,2022-05-07,2022-09-24
59,Fancy Like,Walker Hayes,6859.1118,6859.1118,0,16,19,0,15,2022-01-01,2022-05-07
60,Bam Bam,Camila Cabello,6830.6988,6830.6988,0,21,20,0,16,2022-03-19,2022-07-30
61,5 Foot 9,Tyler Hubbard,6795.8633,6795.8633,0,22,22,0,11,2022-06-25,2022-11-19
62,AA,Walker Hayes,6566.4589,6566.4589,0,28,24,0,10,2022-01-15,2022-07-02
63,You Right,Doja Cat,6381.0220,6381.0220,0,25,18,0,15,2022-01-08,2022-05-07
64,Buy Dirt,Jordan Davis,6327.4678,6327.4678,0,22,18,0,14,2022-01-01,2022-04-30
65,Die For You,The Weeknd,6326.6865,6326.6865,0,12,18,0,11,2022-09-03,2022-12-31
66,Efecto,Bad Bunny,6300.7798,6300.7798,0,34,22,0,9,2022-05-21,2022-10-15
67,Under The Influence,Chris Brown,6242.2640,6242.2640,0,14,15,0,14,2022-09-24,2022-12-31
68,Fingers Crossed,Lauren Spencer Smith,6073.5315,6073.5315,0,19,19,0,14,2022-01-15,2022-05-21
69,Cuff It,Beyonce,5999.5490,5999.5490,0,13,19,0,12,2022-08-13,2022-12-31
70,Anti-Hero,Taylor Swift,5828.0208,5708.0208,120,1,9,9,9,2022-11-05,2022-12-31
71,Son Of A Sinner,Jelly Roll,5689.2709,5689.2709,0,31,25,0,7,2022-07-16,2022-12-31
72,Sand In My Boots,Morgan Wallen,5610.4149,5610.4149,0,30,19,0,8,2022-01-01,2022-05-07
73,Get Into It (Yuh),Doja Cat,5567.0859,5567.0859,0,20,24,0,9,2022-02-12,2022-08-27
74,Love Nwantiti (Ah Ah Ah),Ckay,5489.0825,5489.0825,0,26,16,0,10,2022-01-01,2022-04-16
75,Party,Bad Bunny,5266.5944,5266.5944,0,14,20,0,6,2022-05-21,2022-10-01
76,Like I Love Country Music,Kane Brown,5150.2661,5150.2661,0,26,20,0,9,2022-06-04,2022-10-15
77,Hold Me Closer,Elton John,5132.7018,5117.7018,15,6,17,1,9,2022-09-10,2022-12-31
78,Doin' This,Luke Combs,5111.5884,5111.5884,0,26,21,0,8,2022-01-08,2022-05-28
79,All I Want For Christmas Is You,Mariah Carey,5100.5110,4980.5110,120,1,8,7,8,2022-01-01,2022-12-31
80,Smokin Out The Window,Silk Sonic,5095.9487,5095.9487,0,13,14,0,10,2022-01-01,2022-04-02
81,Take My Name,Parmalee,4910.3336,4910.3336,0,22,20,0,5,2022-04-16,2022-08-27
82,Despues de La Playa,Bad Bunny,4886.5012,4871.5012,15,6,20,1,6,2022-05-21,2022-10-01
83,Rockin' Around The Christmas Tree,Brenda Lee,4851.1373,4776.1373,75,2,8,7,7,2022-01-01,2022-12-31
84,Tomorrow 2,Glorilla,4817.2186,4802.2186,15,9,13,1,9,2022-10-08,2022-12-31
85,What Happened To Virgil,Lil Durk,4763.0837,4763.0837,0,22,20,0,4,2022-03-26,2022-08-06
86,Jingle Bell Rock,Bobby Helms,4692.4761,4617.4761,75,3,8,7,7,2022-01-01,2022-12-31
87,Knife Talk,Drake,4684.6221,4684.6221,0,27,14,0,9,2022-01-01,2022-04-02
88,Broadway Girls,Lil Durk,4679.0028,4679.0028,0,14,20,0,3,2022-01-01,2022-05-14
89,Left And Right,Charlie Puth,4660.0991,4660.0991,0,22,17,0,3,2022-07-09,2022-10-29
90,Light Switch,Charlie Puth,4564.8892,4564.8892,0,27,15,0,7,2022-02-05,2022-05-14
91,Unstoppable,Sia,4552.6685,4552.6685,0,28,20,0,7,2022-07-16,2022-11-26
92,The Family Madrigal,"Stephanie Beatriz, Olga Merediz",4486.6240,4486.6240,0,20,16,0,7,2022-01-15,2022-04-30
93,Ojitos Lindos,Bad Bunny,4391.4636,4391.4636,0,26,20,0,3,2022-05-21,2022-10-01
94,Never Say Never,Cole Swindell / Lainey Wilson,4387.7136,4387.7136,0,27,20,0,5,2022-01-29,2022-06-11
95,Betty (Get Money),Yung Gravy,4377.8182,4377.8182,0,30,17,0,8,2022-07-23,2022-11-12
96,Thank God,Kane Brown,4364.2657,4364.2657,0,22,15,0,6,2022-09-24,2022-12-31
97,Last Night Lonely,Jon Pardi,4354.9613,4354.9613,0,27,20,0,7,2022-06-11,2022-10-22
98,A Holly Jolly Christmas,Burl Ives,4340.8197,4300.8197,40,4,7,7,7,2022-01-01,2022-12-31
99,Sticky,Drake,4339.0212,4324.0212,15,6,13,1,8,2022-07-02,2022-09-24
100,Trouble With A Heartbreak,Jason Aldean,4293.9054,4293.9054,0,32,20,0,3,2022-01-29,2022-08-13
