rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Girls Like You,Maroon 5,16690.7047,16570.7047,120,1,30,27,29,2018-06-09,2018-12-29
2,God's Plan,Drake,16680.4982,16560.4982,120,1,36,26,35,2018-02-03,2018-10-06
3,Lucid Dreams,Juice Wrld,15927.0491,15852.0491,75,2,32,25,31,2018-05-26,2018-12-29
4,Psycho,Post Malone,15903.4863,15783.4863,120,1,39,21,33,2018-03-10,2018-12-01
5,I Like It,"Cardi B, Bad Bunny",15887.5819,15767.5819,120,1,37,21,36,2018-04-21,2018-12-29
6,Perfect,Ed Sheeran,15712.2537,15592.2537,120,1,40,19,40,2018-01-06,2018-10-06
7,Meant To Be,Bebe Rexha,15423.8361,15348.8361,75,2,43,19,43,2018-01-06,2018-10-27
8,Better Now,Post Malone,15404.6573,15329.6573,75,3,34,18,34,2018-05-12,2018-12-29
9,The Middle,"Zedd, Maren Morris",14820.0728,14780.0728,40,5,40,16,35,2018-02-10,2018-11-10
10,Nice For What,Drake,14447.5966,14327.5966,120,1,25,17,25,2018-04-21,2018-10-06
11,Havana,Camila Cabello,14125.7700,14005.7700,120,1,27,14,27,2018-01-06,2018-07-07
12,Rockstar,Post Malone,13786.8216,13711.8216,75,2,27,11,27,2018-01-06,2018-07-07
13,Boo'd Up,Ella Mai,13732.9503,13692.9503,40,5,35,12,27,2018-04-14,2018-12-08
14,No Tears Left To Cry,Ariana Grande,13433.4772,13358.4772,75,3,27,12,23,2018-05-05,2018-11-03
15,Look Alive,Blocboy Jb,12942.0322,12902.0322,40,5,25,13,24,2018-02-24,2018-08-11
16,Love Lies,Khalid,12890.3716,12875.3716,15,9,44,3,29,2018-03-03,2018-12-29
17,Youngblood,5 Seconds Of Summer,12887.0059,12872.0059,15,7,29,7,24,2018-06-16,2018-12-29
18,Mine,Bazzi,12705.1873,12705.1873,0,11,34,0,30,2018-02-03,2018-09-22
19,In My Feelings,Drake,12695.2103,12575.2103,120,1,22,14,22,2018-07-14,2018-12-08
20,Yes Indeed,Lil Baby,12632.4502,12617.4502,15,6,29,2,27,2018-05-26,2018-12-08
21,Taste,Tyga,12509.0767,12494.0767,15,8,29,8,25,2018-06-09,2018-12-22
22,Sicko Mode,Travis Scott,12458.1991,12338.1991,120,1,20,20,20,2018-08-18,2018-12-29
23,Never Be The Same,Camila Cabello,12402.0685,12387.0685,15,6,35,3,30,2018-01-13,2018-09-08
24,Sad!,Xxxtentacion,12326.7282,12206.7282,120,1,38,6,28,2018-03-17,2018-12-01
25,New Rules,Dua Lipa,12283.1875,12268.1875,15,6,27,5,26,2018-01-06,2018-07-07
26,Finesse,Bruno Mars,12239.8831,12164.8831,75,3,23,14,22,2018-01-13,2018-06-16
27,Friends,Marshmello,11316.6431,11316.6431,0,11,29,0,23,2018-02-24,2018-09-08
28,Delicate,Taylor Swift,10938.9779,10938.9779,0,12,35,0,24,2018-03-24,2018-11-17
29,Back To You,Selena Gomez,10379.7219,10379.7219,0,18,26,0,22,2018-05-26,2018-11-17
30,FEFE,6ix9ine,10294.2610,10219.2610,75,3,20,11,18,2018-08-04,2018-12-15
31,Nonstop,Drake,10176.1169,10101.1169,75,2,22,1,21,2018-07-14,2018-12-08
32,Whatever It Takes,Imagine Dragons,10147.9985,10147.9985,0,12,26,0,22,2018-02-17,2018-08-11
33,God Is A Woman,Ariana Grande,9859.6533,9844.6533,15,8,22,2,20,2018-07-28,2018-12-22
34,Natural,Imagine Dragons,9629.8167,9629.8167,0,13,22,0,18,2018-08-04,2018-12-29
35,Pray For Me,The Weeknd,9447.1333,9432.1333,15,7,20,6,17,2018-02-17,2018-06-30
36,Walk It Talk It,Migos,9420.5454,9405.5454,15,10,22,1,16,2018-02-10,2018-07-07
37,Happier,Marshmello,9374.4291,9299.4291,75,3,18,11,15,2018-09-01,2018-12-29
38,Eastside,"Benny Blanco, Halsey",9345.1429,9345.1429,0,16,23,0,18,2018-07-28,2018-12-29
39,In My Blood,Shawn Mendes,9197.0501,9197.0501,0,11,23,0,20,2018-03-31,2018-09-01
40,Tequila,Dan + Shay,9136.6097,9136.6097,0,21,38,0,18,2018-01-27,2018-12-08
