rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,What's Love Got To Do With It,Tina Turner,11429.2412,11309.2412,120,1,28,10,18,1984-05-19,1984-11-24
2,Against All Odds (Take A Look At Me Now),Phil Collins,10453.6689,10333.6689,120,1,24,10,16,1984-02-25,1984-08-04
3,Hello,Lionel Richie,10438.3333,10318.3333,120,1,24,10,17,1984-02-25,1984-08-04
4,Footloose,Kenny Loggins,10409.6671,10289.6671,120,1,23,11,16,1984-01-28,1984-06-30
5,When Doves Cry,Prince,10272.1515,10152.1515,120,1,21,11,16,1984-06-02,1984-10-20
6,Missing You,John Waite,9939.6926,9819.6926,120,1,24,9,16,1984-06-23,1984-12-01
7,Jump,Van Halen,9740.3230,9620.3230,120,1,21,10,15,1984-01-14,1984-06-02
8,I Just Called To Say I Love You,Stevie Wonder,9720.9019,9600.9019,120,1,20,10,15,1984-08-18,1984-12-29
9,Dancing In The Dark,Bruce Springsteen,9551.4402,9476.4402,75,2,21,9,15,1984-05-26,1984-10-13
10,Ghostbusters,Ray Parker Jr,9438.9286,9318.9286,120,1,21,10,14,1984-06-16,1984-11-03
11,Hard Habit To Break,Chicago,9371.8248,9296.8248,75,3,22,6,15,1984-08-04,1984-12-29
12,Self Control,Laura Branigan,9272.9131,9232.9131,40,4,25,6,15,1984-04-14,1984-09-29
13,Jump (for My Love),The Pointer Sisters,9213.2502,9138.2502,75,3,24,8,15,1984-04-28,1984-10-06
14,Girls Just Want To Have Fun,Cyndi Lauper,9134.4556,9059.4556,75,2,22,8,14,1984-01-07,1984-06-02
15,Caribbean Queen (No More Love On The Run),Billy Ocean,9129.5015,9009.5015,120,1,21,7,15,1984-08-11,1984-12-29
16,The Glamorous Life,Sheila E,9062.6984,9047.6984,15,7,26,5,16,1984-06-16,1984-12-08
17,Let's Hear It For The Boy,Deniece Williams,9049.5830,8929.5830,120,1,19,9,14,1984-04-07,1984-08-11
18,The Reflex,Duran Duran,9013.9852,8893.9852,120,1,21,8,15,1984-04-21,1984-09-08
19,Hold Me Now,Thompson Twins,9011.8196,8936.8196,75,3,21,7,15,1984-02-11,1984-06-30
20,I Can Dream About You,Dan Hartman,8954.9132,8939.9132,15,6,25,4,16,1984-05-05,1984-10-20
21,Borderline,Madonna,8832.1079,8817.1079,15,10,30,1,15,1984-03-10,1984-09-29
22,Time After Time,Cyndi Lauper,8730.5597,8610.5597,120,1,20,9,14,1984-04-14,1984-08-25
23,Let's Go Crazy,Prince And The Revolution,8628.6731,8508.6731,120,1,19,9,14,1984-08-04,1984-12-08
24,Somebody's Watching Me,Rockwell,8528.9469,8453.9469,75,2,19,8,14,1984-01-28,1984-06-02
25,Sunglasses At Night,Corey Hart,8521.8419,8506.8419,15,7,23,5,15,1984-05-26,1984-10-27
26,Wake Me Up Before You Go-Go,Wham!,8442.5856,8322.5856,120,1,17,8,13,1984-09-08,1984-12-29
27,"Oh, Sherrie",Steve Perry,8402.3542,8327.3542,75,3,20,7,13,1984-04-07,1984-08-18
28,Stuck On You,Lionel Richie,8327.0496,8252.0496,75,3,19,7,14,1984-06-23,1984-10-27
29,I Feel For You,Chaka Khan,8234.9147,8159.9147,75,3,17,9,14,1984-09-08,1984-12-29
30,She Bop,Cyndi Lauper,8183.8710,8108.8710,75,3,18,8,14,1984-07-21,1984-11-17
31,Eyes Without A Face,Billy Idol,8132.1322,8092.1322,40,4,22,6,14,1984-05-05,1984-09-29
32,The Warrior,Scandal,8092.3889,8077.3889,15,7,21,5,15,1984-06-30,1984-11-17
33,Drive,The Cars,8069.9699,7994.9699,75,3,19,7,14,1984-08-04,1984-12-08
34,Sister Christian,Night Ranger,8049.7788,8009.7788,40,5,24,4,12,1984-03-10,1984-08-18
35,If Ever You're In My Arms Again,Peabo Bryson,8035.5580,8020.5580,15,10,25,3,13,1984-05-12,1984-10-27
36,Here Comes The Rain Again,Eurythmics,8023.7085,7983.7085,40,4,20,7,14,1984-01-28,1984-06-09
37,The Heart Of Rock & Roll,Huey Lewis,8008.7931,7993.7931,15,6,20,7,14,1984-04-21,1984-09-01
38,99 Luftballons,Nena,7978.3113,7903.3113,75,2,19,6,13,1984-01-07,1984-05-12
39,Strut,Sheena Easton,7935.7123,7920.7123,15,7,19,3,15,1984-08-25,1984-12-29
40,Automatic,The Pointer Sisters,7880.1273,7840.1273,40,5,20,6,14,1984-01-28,1984-06-09
