rv_rank,title,artist,total_score,weekly_score_top26,peak_bonus,peak_rank,weeks_on_chart,weeks_in_top_10,weeks_in_top_40,first_chart_date,last_chart_date
1,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn,10696.5246,10576.5246,120,1,23,11,17,1973-02-17,1973-07-21
2,Let's Get It On,Marvin Gaye,10395.9729,10275.9729,120,1,19,13,17,1973-07-14,1973-11-17
3,"Bad, Bad Leroy Brown",Jim Croce,9935.6445,9815.6445,120,1,22,8,16,1973-04-21,1973-09-15
4,Why Me,Kris Kristofferson,9882.4754,9882.4754,0,16,38,0,19,1973-04-07,1973-12-22
5,Touch Me In The Morning,Diana Ross,9584.6474,9464.6474,120,1,21,8,16,1973-06-02,1973-10-20
6,Keep On Truckin' (Part 1),Eddie Kendricks,9559.6290,9439.6290,120,1,19,10,16,1973-08-25,1973-12-29
7,Playground In My Mind,Clint Holmes,9392.6644,9317.6644,75,2,23,8,15,1973-03-24,1973-08-25
8,Midnight Train To Georgia,Gladys Knight And The Pips,9237.4781,9117.4781,120,1,18,8,16,1973-09-01,1973-12-29
9,Will It Go Round In Circles,Billy Preston,9018.0421,8898.0421,120,1,22,8,14,1973-03-31,1973-08-25
10,Half-Breed,Cher,8894.1206,8774.1206,120,1,20,8,14,1973-08-04,1973-12-15
11,Delta Dawn,Helen Reddy,8846.7102,8726.7102,120,1,20,8,14,1973-06-23,1973-11-03
12,My Love,Paul Mccartney And Wings,8795.4722,8675.4722,120,1,18,9,15,1973-04-14,1973-08-11
13,The Night The Lights Went Out In Georgia,Vicki Lawrence,8626.0556,8506.0556,120,1,20,7,14,1973-02-10,1973-06-23
14,That Lady (Part 1),The Isley Brothers,8598.2958,8583.2958,15,6,20,6,15,1973-07-14,1973-11-24
15,Brother Louie,Stories,8580.1727,8460.1727,120,1,18,8,15,1973-06-23,1973-10-20
16,Little Willy,The Sweet,8515.3086,8440.3086,75,3,23,7,15,1973-01-20,1973-06-23
